rows	columns	distances	method
20x_K_Mock	30x_ACC_Mock	0.083505	perfect
20x_PHU_Mock	30x_ACC_Mock	0.065765	perfect
20x_PL_Mock	30x_ACC_Mock	0.090206	perfect
20x_Q5_Mock	30x_ACC_Mock	0.068598	perfect
25x_ACC_Mock	30x_ACC_Mock	0.083177	perfect
25x_K_Mock	30x_ACC_Mock	0.057686	perfect
25x_PHU_Mock	30x_ACC_Mock	0.075083	perfect
25x_PL_Mock	30x_ACC_Mock	0.074251	perfect
25x_Q5_Mock	30x_ACC_Mock	0.067016	perfect
15x_PL_Mock	30x_K_Mock	0.109498	perfect
20x_K_Mock	30x_K_Mock	0.065405	perfect
20x_PHU_Mock	30x_K_Mock	0.072622	perfect
20x_PL_Mock	30x_K_Mock	0.11359	perfect
20x_Q5_Mock	30x_K_Mock	0.060414	perfect
25x_ACC_Mock	30x_K_Mock	0.061596	perfect
25x_K_Mock	30x_K_Mock	0.060088	perfect
25x_PHU_Mock	30x_K_Mock	0.075014	perfect
25x_PL_Mock	30x_K_Mock	0.094227	perfect
25x_Q5_Mock	30x_K_Mock	0.061546	perfect
30x_ACC_Mock	30x_K_Mock	0.07927	perfect
15x_PL_Mock	30x_PHU_Mock	0.091588	perfect
20x_K_Mock	30x_PHU_Mock	0.091858	perfect
20x_PHU_Mock	30x_PHU_Mock	0.087699	perfect
20x_PL_Mock	30x_PHU_Mock	0.098561	perfect
20x_Q5_Mock	30x_PHU_Mock	0.082427	perfect
25x_ACC_Mock	30x_PHU_Mock	0.07996	perfect
25x_K_Mock	30x_PHU_Mock	0.060908	perfect
25x_PHU_Mock	30x_PHU_Mock	0.079114	perfect
25x_PL_Mock	30x_PHU_Mock	0.068633	perfect
25x_Q5_Mock	30x_PHU_Mock	0.084304	perfect
30x_ACC_Mock	30x_PHU_Mock	0.070876	perfect
30x_K_Mock	30x_PHU_Mock	0.076292	perfect
15x_PL_Mock	30x_PL_Mock	0.16585	perfect
20x_K_Mock	30x_PL_Mock	0.145309	perfect
20x_PHU_Mock	30x_PL_Mock	0.129836	perfect
20x_PL_Mock	30x_PL_Mock	0.168656	perfect
20x_Q5_Mock	30x_PL_Mock	0.155164	perfect
25x_ACC_Mock	30x_PL_Mock	0.126824	perfect
25x_K_Mock	30x_PL_Mock	0.125693	perfect
25x_PHU_Mock	30x_PL_Mock	0.131715	perfect
25x_PL_Mock	30x_PL_Mock	0.127982	perfect
25x_Q5_Mock	30x_PL_Mock	0.154502	perfect
30x_ACC_Mock	30x_PL_Mock	0.128143	perfect
30x_K_Mock	30x_PL_Mock	0.125765	perfect
30x_PHU_Mock	30x_PL_Mock	0.096199	perfect
15x_PL_Mock	30x_Q5_Mock	0.089915	perfect
20x_K_Mock	30x_Q5_Mock	0.074642	perfect
20x_PHU_Mock	30x_Q5_Mock	0.077436	perfect
20x_PL_Mock	30x_Q5_Mock	0.096667	perfect
20x_Q5_Mock	30x_Q5_Mock	0.066707	perfect
25x_ACC_Mock	30x_Q5_Mock	0.076553	perfect
25x_K_Mock	30x_Q5_Mock	0.050845	perfect
25x_PHU_Mock	30x_Q5_Mock	0.075679	perfect
25x_PL_Mock	30x_Q5_Mock	0.067999	perfect
25x_Q5_Mock	30x_Q5_Mock	0.067497	perfect
30x_ACC_Mock	30x_Q5_Mock	0.054871	perfect
30x_K_Mock	30x_Q5_Mock	0.070648	perfect
30x_PHU_Mock	30x_Q5_Mock	0.05295	perfect
30x_PL_Mock	30x_Q5_Mock	0.113325	perfect
15x_PL_Mock	35x_ACC_Mock	0.145147	perfect
20x_K_Mock	35x_ACC_Mock	0.092962	perfect
20x_PHU_Mock	35x_ACC_Mock	0.134238	perfect
20x_PL_Mock	35x_ACC_Mock	0.151322	perfect
20x_Q5_Mock	35x_ACC_Mock	0.12378	perfect
25x_ACC_Mock	35x_ACC_Mock	0.096724	perfect
25x_K_Mock	35x_ACC_Mock	0.093608	perfect
25x_PHU_Mock	35x_ACC_Mock	0.126711	perfect
25x_PL_Mock	35x_ACC_Mock	0.113692	perfect
25x_Q5_Mock	35x_ACC_Mock	0.119085	perfect
30x_ACC_Mock	35x_ACC_Mock	0.09374	perfect
30x_K_Mock	35x_ACC_Mock	0.109301	perfect
30x_PHU_Mock	35x_ACC_Mock	0.073786	perfect
30x_PL_Mock	35x_ACC_Mock	0.095668	perfect
30x_Q5_Mock	35x_ACC_Mock	0.079702	perfect
15x_PL_Mock	35x_K_Mock	0.111755	perfect
20x_K_Mock	35x_K_Mock	0.084784	perfect
20x_PHU_Mock	35x_K_Mock	0.088912	perfect
20x_PL_Mock	35x_K_Mock	0.11274	perfect
20x_Q5_Mock	35x_K_Mock	0.070628	perfect
25x_ACC_Mock	35x_K_Mock	0.110462	perfect
25x_K_Mock	35x_K_Mock	0.092844	perfect
25x_PHU_Mock	35x_K_Mock	0.106199	perfect
25x_PL_Mock	35x_K_Mock	0.11832	perfect
25x_Q5_Mock	35x_K_Mock	0.070818	perfect
30x_ACC_Mock	35x_K_Mock	0.085167	perfect
30x_K_Mock	35x_K_Mock	0.084071	perfect
30x_PHU_Mock	35x_K_Mock	0.124343	perfect
30x_PL_Mock	35x_K_Mock	0.188159	perfect
30x_Q5_Mock	35x_K_Mock	0.102284	perfect
35x_ACC_Mock	35x_K_Mock	0.158404	perfect
15x_PL_Mock	35x_PHU_Mock	0.106327	perfect
20x_K_Mock	35x_PHU_Mock	0.076858	perfect
20x_PHU_Mock	35x_PHU_Mock	0.087305	perfect
20x_PL_Mock	35x_PHU_Mock	0.112607	perfect
20x_Q5_Mock	35x_PHU_Mock	0.081339	perfect
25x_ACC_Mock	35x_PHU_Mock	0.077712	perfect
25x_K_Mock	35x_PHU_Mock	0.059905	perfect
25x_PHU_Mock	35x_PHU_Mock	0.087823	perfect
25x_PL_Mock	35x_PHU_Mock	0.07901	perfect
25x_Q5_Mock	35x_PHU_Mock	0.07868	perfect
30x_ACC_Mock	35x_PHU_Mock	0.062672	perfect
30x_K_Mock	35x_PHU_Mock	0.072785	perfect
30x_PHU_Mock	35x_PHU_Mock	0.050631	perfect
30x_PL_Mock	35x_PHU_Mock	0.09478	perfect
30x_Q5_Mock	35x_PHU_Mock	0.049525	perfect
35x_ACC_Mock	35x_PHU_Mock	0.06697	perfect
35x_K_Mock	35x_PHU_Mock	0.115216	perfect
15x_PL_Mock	35x_PL_Mock	0.176195	perfect
20x_K_Mock	35x_PL_Mock	0.130853	perfect
20x_PHU_Mock	35x_PL_Mock	0.170078	perfect
20x_PL_Mock	35x_PL_Mock	0.183698	perfect
20x_Q5_Mock	35x_PL_Mock	0.167085	perfect
25x_ACC_Mock	35x_PL_Mock	0.138836	perfect
25x_K_Mock	35x_PL_Mock	0.132724	perfect
25x_PHU_Mock	35x_PL_Mock	0.167324	perfect
25x_PL_Mock	35x_PL_Mock	0.14093	perfect
25x_Q5_Mock	35x_PL_Mock	0.162976	perfect
30x_ACC_Mock	35x_PL_Mock	0.129584	perfect
30x_K_Mock	35x_PL_Mock	0.14956	perfect
30x_PHU_Mock	35x_PL_Mock	0.107826	perfect
30x_PL_Mock	35x_PL_Mock	0.092144	perfect
30x_Q5_Mock	35x_PL_Mock	0.117066	perfect
35x_ACC_Mock	35x_PL_Mock	0.075195	perfect
35x_K_Mock	35x_PL_Mock	0.196829	perfect
35x_PHU_Mock	35x_PL_Mock	0.102933	perfect
15x_PL_Mock	35x_Q5_Mock	0.139095	perfect
20x_K_Mock	35x_Q5_Mock	0.074769	perfect
20x_PHU_Mock	35x_Q5_Mock	0.115856	perfect
20x_PL_Mock	35x_Q5_Mock	0.146232	perfect
20x_Q5_Mock	35x_Q5_Mock	0.103115	perfect
25x_ACC_Mock	35x_Q5_Mock	0.092478	perfect
25x_K_Mock	35x_Q5_Mock	0.080377	perfect
25x_PHU_Mock	35x_Q5_Mock	0.117252	perfect
25x_PL_Mock	35x_Q5_Mock	0.110239	perfect
25x_Q5_Mock	35x_Q5_Mock	0.098526	perfect
30x_ACC_Mock	35x_Q5_Mock	0.076863	perfect
30x_K_Mock	35x_Q5_Mock	0.092864	perfect
30x_PHU_Mock	35x_Q5_Mock	0.078377	perfect
30x_PL_Mock	35x_Q5_Mock	0.115846	perfect
30x_Q5_Mock	35x_Q5_Mock	0.069338	perfect
35x_ACC_Mock	35x_Q5_Mock	0.064813	perfect
35x_K_Mock	35x_Q5_Mock	0.134077	perfect
35x_PHU_Mock	35x_Q5_Mock	0.068333	perfect
35x_PL_Mock	35x_Q5_Mock	0.094924	perfect
15x_PL_Mock	20x_K_Mock	0.138972	vsearch
15x_PL_Mock	20x_PHU_Mock	0.080321	vsearch
20x_K_Mock	20x_PHU_Mock	0.105013	vsearch
15x_PL_Mock	20x_PL_Mock	0.044071	vsearch
20x_K_Mock	20x_PL_Mock	0.146255	vsearch
20x_PHU_Mock	20x_PL_Mock	0.083876	vsearch
15x_PL_Mock	20x_Q5_Mock	0.077726	vsearch
20x_K_Mock	20x_Q5_Mock	0.080898	vsearch
20x_PHU_Mock	20x_Q5_Mock	0.069948	vsearch
20x_PL_Mock	20x_Q5_Mock	0.084367	vsearch
15x_PL_Mock	25x_ACC_Mock	0.106486	vsearch
20x_K_Mock	25x_ACC_Mock	0.083595	vsearch
20x_PHU_Mock	25x_ACC_Mock	0.083289	vsearch
20x_PL_Mock	25x_ACC_Mock	0.112984	vsearch
20x_Q5_Mock	25x_ACC_Mock	0.072405	vsearch
15x_PL_Mock	25x_K_Mock	0.08008	vsearch
20x_K_Mock	25x_K_Mock	0.084552	vsearch
20x_PHU_Mock	25x_K_Mock	0.070494	vsearch
20x_PL_Mock	25x_K_Mock	0.085611	vsearch
20x_Q5_Mock	25x_K_Mock	0.05352	vsearch
25x_ACC_Mock	25x_K_Mock	0.066525	vsearch
15x_PL_Mock	25x_PHU_Mock	0.06431	vsearch
20x_K_Mock	25x_PHU_Mock	0.119779	vsearch
20x_PHU_Mock	25x_PHU_Mock	0.058842	vsearch
20x_PL_Mock	25x_PHU_Mock	0.067717	vsearch
20x_Q5_Mock	25x_PHU_Mock	0.069961	vsearch
25x_ACC_Mock	25x_PHU_Mock	0.076455	vsearch
25x_K_Mock	25x_PHU_Mock	0.06205	vsearch
15x_PL_Mock	25x_PL_Mock	0.058049	vsearch
20x_K_Mock	25x_PL_Mock	0.116122	vsearch
20x_PHU_Mock	25x_PL_Mock	0.078915	vsearch
20x_PL_Mock	25x_PL_Mock	0.064249	vsearch
20x_Q5_Mock	25x_PL_Mock	0.075255	vsearch
25x_ACC_Mock	25x_PL_Mock	0.0893	vsearch
25x_K_Mock	25x_PL_Mock	0.066725	vsearch
25x_PHU_Mock	25x_PL_Mock	0.068025	vsearch
15x_PL_Mock	25x_Q5_Mock	0.084865	vsearch
20x_K_Mock	25x_Q5_Mock	0.075162	vsearch
20x_PHU_Mock	25x_Q5_Mock	0.077754	vsearch
20x_PL_Mock	25x_Q5_Mock	0.090465	vsearch
20x_Q5_Mock	25x_Q5_Mock	0.048237	vsearch
25x_ACC_Mock	25x_Q5_Mock	0.067789	vsearch
25x_K_Mock	25x_Q5_Mock	0.058385	vsearch
25x_PHU_Mock	25x_Q5_Mock	0.073507	vsearch
25x_PL_Mock	25x_Q5_Mock	0.079836	vsearch
15x_PL_Mock	30x_ACC_Mock	0.087461	vsearch
20x_K_Mock	30x_ACC_Mock	0.086473	vsearch
20x_PHU_Mock	30x_ACC_Mock	0.072551	vsearch
20x_PL_Mock	30x_ACC_Mock	0.095415	vsearch
20x_Q5_Mock	30x_ACC_Mock	0.071419	vsearch
25x_ACC_Mock	30x_ACC_Mock	0.08694	vsearch
25x_K_Mock	30x_ACC_Mock	0.063186	vsearch
25x_PHU_Mock	30x_ACC_Mock	0.080996	vsearch
25x_PL_Mock	30x_ACC_Mock	0.082072	vsearch
25x_Q5_Mock	30x_ACC_Mock	0.074126	vsearch
15x_PL_Mock	30x_K_Mock	0.111443	vsearch
20x_K_Mock	30x_K_Mock	0.062965	vsearch
20x_PHU_Mock	30x_K_Mock	0.071939	vsearch
20x_PL_Mock	30x_K_Mock	0.117073	vsearch
20x_Q5_Mock	30x_K_Mock	0.063807	vsearch
25x_ACC_Mock	30x_K_Mock	0.061043	vsearch
25x_K_Mock	30x_K_Mock	0.061998	vsearch
25x_PHU_Mock	30x_K_Mock	0.080141	vsearch
25x_PL_Mock	30x_K_Mock	0.094239	vsearch
25x_Q5_Mock	30x_K_Mock	0.063581	vsearch
30x_ACC_Mock	30x_K_Mock	0.088858	vsearch
15x_PL_Mock	30x_PHU_Mock	0.090627	vsearch
20x_K_Mock	30x_PHU_Mock	0.096693	vsearch
20x_PHU_Mock	30x_PHU_Mock	0.08653	vsearch
20x_PL_Mock	30x_PHU_Mock	0.09719	vsearch
20x_Q5_Mock	30x_PHU_Mock	0.083446	vsearch
25x_ACC_Mock	30x_PHU_Mock	0.082123	vsearch
25x_K_Mock	30x_PHU_Mock	0.060122	vsearch
25x_PHU_Mock	30x_PHU_Mock	0.078838	vsearch
25x_PL_Mock	30x_PHU_Mock	0.06632	vsearch
25x_Q5_Mock	30x_PHU_Mock	0.087147	vsearch
30x_ACC_Mock	30x_PHU_Mock	0.078464	vsearch
30x_K_Mock	30x_PHU_Mock	0.080431	vsearch
15x_PL_Mock	30x_PL_Mock	0.16228	vsearch
20x_K_Mock	30x_PL_Mock	0.15051	vsearch
20x_PHU_Mock	30x_PL_Mock	0.128481	vsearch
20x_PL_Mock	30x_PL_Mock	0.166605	vsearch
20x_Q5_Mock	30x_PL_Mock	0.15397	vsearch
25x_ACC_Mock	30x_PL_Mock	0.132785	vsearch
25x_K_Mock	30x_PL_Mock	0.123771	vsearch
25x_PHU_Mock	30x_PL_Mock	0.130814	vsearch
25x_PL_Mock	30x_PL_Mock	0.124041	vsearch
25x_Q5_Mock	30x_PL_Mock	0.155023	vsearch
30x_ACC_Mock	30x_PL_Mock	0.138099	vsearch
30x_K_Mock	30x_PL_Mock	0.129597	vsearch
30x_PHU_Mock	30x_PL_Mock	0.095705	vsearch
15x_PL_Mock	30x_Q5_Mock	0.084104	vsearch
20x_K_Mock	30x_Q5_Mock	0.081989	vsearch
20x_PHU_Mock	30x_Q5_Mock	0.075185	vsearch
20x_PL_Mock	30x_Q5_Mock	0.089924	vsearch
20x_Q5_Mock	30x_Q5_Mock	0.063375	vsearch
25x_ACC_Mock	30x_Q5_Mock	0.077028	vsearch
25x_K_Mock	30x_Q5_Mock	0.049311	vsearch
25x_PHU_Mock	30x_Q5_Mock	0.07216	vsearch
25x_PL_Mock	30x_Q5_Mock	0.062676	vsearch
25x_Q5_Mock	30x_Q5_Mock	0.069832	vsearch
30x_ACC_Mock	30x_Q5_Mock	0.062824	vsearch
30x_K_Mock	30x_Q5_Mock	0.07377	vsearch
30x_PHU_Mock	30x_Q5_Mock	0.0517	vsearch
30x_PL_Mock	30x_Q5_Mock	0.11542	vsearch
15x_PL_Mock	35x_ACC_Mock	0.144313	vsearch
20x_K_Mock	35x_ACC_Mock	0.096081	vsearch
20x_PHU_Mock	35x_ACC_Mock	0.134562	vsearch
20x_PL_Mock	35x_ACC_Mock	0.149706	vsearch
20x_Q5_Mock	35x_ACC_Mock	0.122474	vsearch
25x_ACC_Mock	35x_ACC_Mock	0.100255	vsearch
25x_K_Mock	35x_ACC_Mock	0.091327	vsearch
25x_PHU_Mock	35x_ACC_Mock	0.126588	vsearch
25x_PL_Mock	35x_ACC_Mock	0.110998	vsearch
25x_Q5_Mock	35x_ACC_Mock	0.12115	vsearch
30x_ACC_Mock	35x_ACC_Mock	0.100394	vsearch
30x_K_Mock	35x_ACC_Mock	0.111202	vsearch
30x_PHU_Mock	35x_ACC_Mock	0.075574	vsearch
30x_PL_Mock	35x_ACC_Mock	0.098489	vsearch
30x_Q5_Mock	35x_ACC_Mock	0.087113	vsearch
15x_PL_Mock	35x_K_Mock	0.108521	vsearch
20x_K_Mock	35x_K_Mock	0.083137	vsearch
20x_PHU_Mock	35x_K_Mock	0.089669	vsearch
20x_PL_Mock	35x_K_Mock	0.111223	vsearch
20x_Q5_Mock	35x_K_Mock	0.071232	vsearch
25x_ACC_Mock	35x_K_Mock	0.109805	vsearch
25x_K_Mock	35x_K_Mock	0.090059	vsearch
25x_PHU_Mock	35x_K_Mock	0.107811	vsearch
25x_PL_Mock	35x_K_Mock	0.11704	vsearch
25x_Q5_Mock	35x_K_Mock	0.072365	vsearch
30x_ACC_Mock	35x_K_Mock	0.08924	vsearch
30x_K_Mock	35x_K_Mock	0.082258	vsearch
30x_PHU_Mock	35x_K_Mock	0.123792	vsearch
30x_PL_Mock	35x_K_Mock	0.188374	vsearch
30x_Q5_Mock	35x_K_Mock	0.101618	vsearch
35x_ACC_Mock	35x_K_Mock	0.158903	vsearch
15x_PL_Mock	35x_PHU_Mock	0.107538	vsearch
20x_K_Mock	35x_PHU_Mock	0.080666	vsearch
20x_PHU_Mock	35x_PHU_Mock	0.089145	vsearch
20x_PL_Mock	35x_PHU_Mock	0.113871	vsearch
20x_Q5_Mock	35x_PHU_Mock	0.079857	vsearch
25x_ACC_Mock	35x_PHU_Mock	0.080184	vsearch
25x_K_Mock	35x_PHU_Mock	0.061781	vsearch
25x_PHU_Mock	35x_PHU_Mock	0.087219	vsearch
25x_PL_Mock	35x_PHU_Mock	0.079101	vsearch
25x_Q5_Mock	35x_PHU_Mock	0.08219	vsearch
30x_ACC_Mock	35x_PHU_Mock	0.07298	vsearch
30x_K_Mock	35x_PHU_Mock	0.075746	vsearch
30x_PHU_Mock	35x_PHU_Mock	0.053473	vsearch
30x_PL_Mock	35x_PHU_Mock	0.098453	vsearch
30x_Q5_Mock	35x_PHU_Mock	0.054297	vsearch
35x_ACC_Mock	35x_PHU_Mock	0.071627	vsearch
35x_K_Mock	35x_PHU_Mock	0.117148	vsearch
15x_PL_Mock	35x_PL_Mock	0.187335	vsearch
20x_K_Mock	35x_PL_Mock	0.147668	vsearch
20x_PHU_Mock	35x_PL_Mock	0.183064	vsearch
20x_PL_Mock	35x_PL_Mock	0.194872	vsearch
20x_Q5_Mock	35x_PL_Mock	0.178526	vsearch
25x_ACC_Mock	35x_PL_Mock	0.154373	vsearch
25x_K_Mock	35x_PL_Mock	0.145297	vsearch
25x_PHU_Mock	35x_PL_Mock	0.179112	vsearch
25x_PL_Mock	35x_PL_Mock	0.153156	vsearch
25x_Q5_Mock	35x_PL_Mock	0.177876	vsearch
30x_ACC_Mock	35x_PL_Mock	0.152071	vsearch
30x_K_Mock	35x_PL_Mock	0.16272	vsearch
30x_PHU_Mock	35x_PL_Mock	0.121959	vsearch
30x_PL_Mock	35x_PL_Mock	0.113623	vsearch
30x_Q5_Mock	35x_PL_Mock	0.136027	vsearch
35x_ACC_Mock	35x_PL_Mock	0.092947	vsearch
35x_K_Mock	35x_PL_Mock	0.211237	vsearch
35x_PHU_Mock	35x_PL_Mock	0.12042	vsearch
15x_PL_Mock	35x_Q5_Mock	0.139286	vsearch
20x_K_Mock	35x_Q5_Mock	0.07686	vsearch
20x_PHU_Mock	35x_Q5_Mock	0.117649	vsearch
20x_PL_Mock	35x_Q5_Mock	0.145595	vsearch
20x_Q5_Mock	35x_Q5_Mock	0.101879	vsearch
25x_ACC_Mock	35x_Q5_Mock	0.096585	vsearch
25x_K_Mock	35x_Q5_Mock	0.083172	vsearch
25x_PHU_Mock	35x_Q5_Mock	0.120058	vsearch
25x_PL_Mock	35x_Q5_Mock	0.110743	vsearch
25x_Q5_Mock	35x_Q5_Mock	0.100446	vsearch
30x_ACC_Mock	35x_Q5_Mock	0.083201	vsearch
30x_K_Mock	35x_Q5_Mock	0.097359	vsearch
30x_PHU_Mock	35x_Q5_Mock	0.082868	vsearch
30x_PL_Mock	35x_Q5_Mock	0.123052	vsearch
30x_Q5_Mock	35x_Q5_Mock	0.07803	vsearch
35x_ACC_Mock	35x_Q5_Mock	0.07099	vsearch
35x_K_Mock	35x_Q5_Mock	0.13288	vsearch
35x_PHU_Mock	35x_Q5_Mock	0.071821	vsearch
35x_PL_Mock	35x_Q5_Mock	0.116511	vsearch
