rows	columns	distances	method
15x_PL_Mock	20x_K_Mock	0.13911	perfect
15x_PL_Mock	20x_PHU_Mock	0.081999	perfect
20x_K_Mock	20x_PHU_Mock	0.104944	perfect
15x_PL_Mock	20x_PL_Mock	0.044419	perfect
20x_K_Mock	20x_PL_Mock	0.146263	perfect
20x_PHU_Mock	20x_PL_Mock	0.084222	perfect
15x_PL_Mock	20x_Q5_Mock	0.080467	perfect
20x_K_Mock	20x_Q5_Mock	0.082154	perfect
20x_PHU_Mock	20x_Q5_Mock	0.07097	perfect
20x_PL_Mock	20x_Q5_Mock	0.085007	perfect
15x_PL_Mock	25x_ACC_Mock	0.108444	perfect
20x_K_Mock	25x_ACC_Mock	0.082046	perfect
20x_PHU_Mock	25x_ACC_Mock	0.082848	perfect
20x_PL_Mock	25x_ACC_Mock	0.114244	perfect
20x_Q5_Mock	25x_ACC_Mock	0.074789	perfect
15x_PL_Mock	25x_K_Mock	0.081099	perfect
20x_K_Mock	25x_K_Mock	0.084975	perfect
20x_PHU_Mock	25x_K_Mock	0.071982	perfect
20x_PL_Mock	25x_K_Mock	0.085265	perfect
20x_Q5_Mock	25x_K_Mock	0.054503	perfect
25x_ACC_Mock	25x_K_Mock	0.069813	perfect
15x_PL_Mock	25x_PHU_Mock	0.067489	perfect
20x_K_Mock	25x_PHU_Mock	0.117539	perfect
20x_PHU_Mock	25x_PHU_Mock	0.058134	perfect
20x_PL_Mock	25x_PHU_Mock	0.070099	perfect
20x_Q5_Mock	25x_PHU_Mock	0.067451	perfect
25x_ACC_Mock	25x_PHU_Mock	0.076631	perfect
25x_K_Mock	25x_PHU_Mock	0.061922	perfect
15x_PL_Mock	25x_PL_Mock	0.059366	perfect
20x_K_Mock	25x_PL_Mock	0.116094	perfect
20x_PHU_Mock	25x_PL_Mock	0.079842	perfect
20x_PL_Mock	25x_PL_Mock	0.06336	perfect
20x_Q5_Mock	25x_PL_Mock	0.078733	perfect
25x_ACC_Mock	25x_PL_Mock	0.091418	perfect
25x_K_Mock	25x_PL_Mock	0.069014	perfect
25x_PHU_Mock	25x_PL_Mock	0.068036	perfect
15x_PL_Mock	25x_Q5_Mock	0.086046	perfect
20x_K_Mock	25x_Q5_Mock	0.072204	perfect
20x_PHU_Mock	25x_Q5_Mock	0.075174	perfect
20x_PL_Mock	25x_Q5_Mock	0.09014	perfect
20x_Q5_Mock	25x_Q5_Mock	0.046956	perfect
25x_ACC_Mock	25x_Q5_Mock	0.06925	perfect
25x_K_Mock	25x_Q5_Mock	0.058002	perfect
25x_PHU_Mock	25x_Q5_Mock	0.074705	perfect
25x_PL_Mock	25x_Q5_Mock	0.082639	perfect
15x_PL_Mock	30x_ACC_Mock	0.082747	perfect
