rows	columns	distances
20x_ACC_DA10040	20x_K_DA10001	0.385412
20x_ACC_DA10040	20x_K_DA10040	0.168839
20x_K_DA10001	20x_K_DA10040	0.388416
20x_ACC_DA10040	20x_PHU_DA10001	0.355885
20x_K_DA10001	20x_PHU_DA10001	0.169043
20x_K_DA10040	20x_PHU_DA10001	0.365651
20x_ACC_DA10040	20x_PHU_DA10016	0.678469
20x_K_DA10001	20x_PHU_DA10016	0.593196
20x_K_DA10040	20x_PHU_DA10016	0.671602
20x_PHU_DA10001	20x_PHU_DA10016	0.612548
20x_ACC_DA10040	20x_PHU_DA10029	0.433189
20x_K_DA10001	20x_PHU_DA10029	0.42917
20x_K_DA10040	20x_PHU_DA10029	0.415508
20x_PHU_DA10001	20x_PHU_DA10029	0.423455
20x_PHU_DA10016	20x_PHU_DA10029	0.489588
20x_ACC_DA10040	20x_PHU_DA10040	0.183597
20x_K_DA10001	20x_PHU_DA10040	0.417316
20x_K_DA10040	20x_PHU_DA10040	0.195281
20x_PHU_DA10001	20x_PHU_DA10040	0.369512
20x_PHU_DA10016	20x_PHU_DA10040	0.68117
20x_PHU_DA10029	20x_PHU_DA10040	0.431
20x_ACC_DA10040	20x_PL_DA10001	0.389798
20x_K_DA10001	20x_PL_DA10001	0.162294
20x_K_DA10040	20x_PL_DA10001	0.392789
20x_PHU_DA10001	20x_PL_DA10001	0.178663
20x_PHU_DA10016	20x_PL_DA10001	0.62284
20x_PHU_DA10029	20x_PL_DA10001	0.439345
20x_PHU_DA10040	20x_PL_DA10001	0.417601
20x_ACC_DA10040	20x_PL_DA10016	0.680627
20x_K_DA10001	20x_PL_DA10016	0.584706
20x_K_DA10040	20x_PL_DA10016	0.67395
20x_PHU_DA10001	20x_PL_DA10016	0.606828
20x_PHU_DA10016	20x_PL_DA10016	0.137743
20x_PHU_DA10029	20x_PL_DA10016	0.490101
20x_PHU_DA10040	20x_PL_DA10016	0.686869
20x_PL_DA10001	20x_PL_DA10016	0.616851
20x_ACC_DA10040	20x_PL_DA10029	0.435151
20x_K_DA10001	20x_PL_DA10029	0.442131
20x_K_DA10040	20x_PL_DA10029	0.421927
20x_PHU_DA10001	20x_PL_DA10029	0.455259
20x_PHU_DA10016	20x_PL_DA10029	0.511566
20x_PHU_DA10029	20x_PL_DA10029	0.144155
20x_PHU_DA10040	20x_PL_DA10029	0.445391
20x_PL_DA10001	20x_PL_DA10029	0.45905
20x_PL_DA10016	20x_PL_DA10029	0.51582
20x_ACC_DA10040	20x_PL_DA10040	0.169866
20x_K_DA10001	20x_PL_DA10040	0.387323
20x_K_DA10040	20x_PL_DA10040	0.191368
20x_PHU_DA10001	20x_PL_DA10040	0.344541
20x_PHU_DA10016	20x_PL_DA10040	0.681018
20x_PHU_DA10029	20x_PL_DA10040	0.424474
20x_PHU_DA10040	20x_PL_DA10040	0.165252
20x_PL_DA10001	20x_PL_DA10040	0.384014
20x_PL_DA10016	20x_PL_DA10040	0.683955
20x_PL_DA10029	20x_PL_DA10040	0.439059
20x_ACC_DA10040	20x_Q5_DA10001	0.369064
20x_K_DA10001	20x_Q5_DA10001	0.175468
20x_K_DA10040	20x_Q5_DA10001	0.378478
20x_PHU_DA10001	20x_Q5_DA10001	0.154338
20x_PHU_DA10016	20x_Q5_DA10001	0.628989
20x_PHU_DA10029	20x_Q5_DA10001	0.434936
20x_PHU_DA10040	20x_Q5_DA10001	0.387383
20x_PL_DA10001	20x_Q5_DA10001	0.14973
20x_PL_DA10016	20x_Q5_DA10001	0.62318
20x_PL_DA10029	20x_Q5_DA10001	0.462166
20x_PL_DA10040	20x_Q5_DA10001	0.356022
20x_ACC_DA10040	20x_Q5_DA10016	0.680689
20x_K_DA10001	20x_Q5_DA10016	0.585119
20x_K_DA10040	20x_Q5_DA10016	0.672647
20x_PHU_DA10001	20x_Q5_DA10016	0.605177
20x_PHU_DA10016	20x_Q5_DA10016	0.13478
20x_PHU_DA10029	20x_Q5_DA10016	0.485127
20x_PHU_DA10040	20x_Q5_DA10016	0.685189
20x_PL_DA10001	20x_Q5_DA10016	0.615813
20x_PL_DA10016	20x_Q5_DA10016	0.134006
20x_PL_DA10029	20x_Q5_DA10016	0.512415
20x_PL_DA10040	20x_Q5_DA10016	0.683514
20x_Q5_DA10001	20x_Q5_DA10016	0.621386
20x_ACC_DA10040	20x_Q5_DA10029	0.42653
20x_K_DA10001	20x_Q5_DA10029	0.450597
20x_K_DA10040	20x_Q5_DA10029	0.413995
20x_PHU_DA10001	20x_Q5_DA10029	0.449451
20x_PHU_DA10016	20x_Q5_DA10029	0.506375
20x_PHU_DA10029	20x_Q5_DA10029	0.144386
20x_PHU_DA10040	20x_Q5_DA10029	0.427561
20x_PL_DA10001	20x_Q5_DA10029	0.460884
20x_PL_DA10016	20x_Q5_DA10029	0.508317
20x_PL_DA10029	20x_Q5_DA10029	0.134458
20x_PL_DA10040	20x_Q5_DA10029	0.422645
20x_Q5_DA10001	20x_Q5_DA10029	0.459745
20x_Q5_DA10016	20x_Q5_DA10029	0.501647
20x_ACC_DA10040	20x_Q5_DA10040	0.197781
20x_K_DA10001	20x_Q5_DA10040	0.440366
20x_K_DA10040	20x_Q5_DA10040	0.20023
20x_PHU_DA10001	20x_Q5_DA10040	0.39029
20x_PHU_DA10016	20x_Q5_DA10040	0.687279
20x_PHU_DA10029	20x_Q5_DA10040	0.430724
20x_PHU_DA10040	20x_Q5_DA10040	0.148809
20x_PL_DA10001	20x_Q5_DA10040	0.436616
20x_PL_DA10016	20x_Q5_DA10040	0.694359
