polymerase	rounds	ratio
ACC	20	6.437500000000001
ACC	25	6.544554455445545
ACC	30	5.906976744186046
ACC	35	5.413441170806855
K	20	7.375
K	25	6.123456790123457
K	30	6.779527559055118
K	35	6.171428571428571
PHU	20	6.631578947368421
PHU	25	6.069126576366185
PHU	30	5.5466461063993835
PHU	35	5.3201754385964914
PL	20	6.231275720164609
PL	25	5.697865353037767
PL	30	5.449765258215963
PL	35	5.334059549745825
Q5	20	5.287128712871287
Q5	25	5.502410283877879
Q5	30	5.33985200845666
Q5	35	5.4226993865030675
