Group,numOTUs,cycles,taq,sample_type,sample_name
15x_PHU_PMM_FS_DA10029,22,15x,PHU,FS,DA10029
15x_PHU_PMM_FS_DA10040,25,15x,PHU,FS,DA10040
15x_Q5_PMM_FS_DA10040,145,15x,Q5,FS,DA10040
20x_ACC_PMM_FS_DA10040,159,20x,ACC,FS,DA10040
20x_K_PMM_FS_DA10040,171,20x,K,FS,DA10040
20x_PHU_PMM_FS_DA10001,128,20x,PHU,FS,DA10001
20x_PHU_PMM_FS_DA10040,161,20x,PHU,FS,DA10040
20x_PL_PMM_FS_DA10001,139,20x,PL,FS,DA10001
20x_PL_PMM_FS_DA10016,119,20x,PL,FS,DA10016
20x_PL_PMM_FS_DA10040,162,20x,PL,FS,DA10040
20x_Q5_PMM_FS_DA10001,129,20x,Q5,FS,DA10001
20x_Q5_PMM_FS_DA10016,119,20x,Q5,FS,DA10016
20x_Q5_PMM_FS_DA10040,159,20x,Q5,FS,DA10040
25x_ACC_PMM_FS_DA10001,131,25x,ACC,FS,DA10001
25x_ACC_PMM_FS_DA10016,130,25x,ACC,FS,DA10016
25x_ACC_PMM_FS_DA10040,187,25x,ACC,FS,DA10040
25x_K_PMM_FS_DA10001,151,25x,K,FS,DA10001
25x_K_PMM_FS_DA10040,189,25x,K,FS,DA10040
25x_PHU_PMM_FS_DA10001,144,25x,PHU,FS,DA10001
25x_PHU_PMM_FS_DA10016,131,25x,PHU,FS,DA10016
25x_PHU_PMM_FS_DA10029,126,25x,PHU,FS,DA10029
25x_PHU_PMM_FS_DA10040,185,25x,PHU,FS,DA10040
25x_PL_PMM_FS_DA10001,151,25x,PL,FS,DA10001
25x_PL_PMM_FS_DA10016,132,25x,PL,FS,DA10016
25x_PL_PMM_FS_DA10029,130,25x,PL,FS,DA10029
25x_PL_PMM_FS_DA10040,181,25x,PL,FS,DA10040
25x_Q5_PMM_FS_DA10001,153,25x,Q5,FS,DA10001
25x_Q5_PMM_FS_DA10016,136,25x,Q5,FS,DA10016
25x_Q5_PMM_FS_DA10029,134,25x,Q5,FS,DA10029
25x_Q5_PMM_FS_DA10040,189,25x,Q5,FS,DA10040
30x_ACC_PMM_FS_DA10001,176,30x,ACC,FS,DA10001
30x_ACC_PMM_FS_DA10002,136,30x,ACC,FS,DA10002
30x_ACC_PMM_FS_DA10016,148,30x,ACC,FS,DA10016
30x_ACC_PMM_FS_DA10017,125,30x,ACC,FS,DA10017
30x_ACC_PMM_FS_DA10029,120,30x,ACC,FS,DA10029
30x_ACC_PMM_FS_DA10040,220,30x,ACC,FS,DA10040
30x_ACC_PMM_FS_DA10055,229,30x,ACC,FS,DA10055
30x_ACC_PMM_FS_DA10069,236,30x,ACC,FS,DA10069
30x_ACC_PMM_FS_DA10088,104,30x,ACC,FS,DA10088
30x_ACC_PMM_FS_DA10103,183,30x,ACC,FS,DA10103
30x_PHU_PMM_FS_DA10001,228,30x,PHU,FS,DA10001
30x_PHU_PMM_FS_DA10002,156,30x,PHU,FS,DA10002
30x_PHU_PMM_FS_DA10016,180,30x,PHU,FS,DA10016
30x_PHU_PMM_FS_DA10017,155,30x,PHU,FS,DA10017
30x_PHU_PMM_FS_DA10029,163,30x,PHU,FS,DA10029
30x_PHU_PMM_FS_DA10040,273,30x,PHU,FS,DA10040
30x_PHU_PMM_FS_DA10055,255,30x,PHU,FS,DA10055
30x_PHU_PMM_FS_DA10069,288,30x,PHU,FS,DA10069
30x_PHU_PMM_FS_DA10088,155,30x,PHU,FS,DA10088
30x_PHU_PMM_FS_DA10103,192,30x,PHU,FS,DA10103
30x_PL_PMM_FS_DA10001,180,30x,PL,FS,DA10001
30x_PL_PMM_FS_DA10002,147,30x,PL,FS,DA10002
30x_PL_PMM_FS_DA10016,163,30x,PL,FS,DA10016
30x_PL_PMM_FS_DA10017,139,30x,PL,FS,DA10017
30x_PL_PMM_FS_DA10029,157,30x,PL,FS,DA10029
30x_PL_PMM_FS_DA10040,235,30x,PL,FS,DA10040
30x_PL_PMM_FS_DA10055,223,30x,PL,FS,DA10055
30x_PL_PMM_FS_DA10069,285,30x,PL,FS,DA10069
30x_PL_PMM_FS_DA10088,149,30x,PL,FS,DA10088
30x_PL_PMM_FS_DA10103,226,30x,PL,FS,DA10103
30x_Q5_PMM_FS_DA10001,186,30x,Q5,FS,DA10001
30x_Q5_PMM_FS_DA10002,149,30x,Q5,FS,DA10002
30x_Q5_PMM_FS_DA10016,156,30x,Q5,FS,DA10016
30x_Q5_PMM_FS_DA10017,141,30x,Q5,FS,DA10017
30x_Q5_PMM_FS_DA10029,144,30x,Q5,FS,DA10029
30x_Q5_PMM_FS_DA10040,207,30x,Q5,FS,DA10040
30x_Q5_PMM_FS_DA10055,233,30x,Q5,FS,DA10055
30x_Q5_PMM_FS_DA10069,248,30x,Q5,FS,DA10069
30x_Q5_PMM_FS_DA10088,141,30x,Q5,FS,DA10088
30x_Q5_PMM_FS_DA10103,196,30x,Q5,FS,DA10103
35x_ACC_PMM_FS_DA10001,175,35x,ACC,FS,DA10001
35x_ACC_PMM_FS_DA10016,160,35x,ACC,FS,DA10016
35x_ACC_PMM_FS_DA10029,139,35x,ACC,FS,DA10029
