Group,numOTUs,cycles,taq,sample_type,sample_name
15x_PL_Mock_DNA2,20,15x,PL,Mock,DNA2
15x_PL_Mock_DNA3,17,15x,PL,Mock,DNA3
15x_PL_Mock_DNA4,17,15x,PL,Mock,DNA4
20x_PHU_Mock_DNA1,16,20x,PHU,Mock,DNA1
20x_PHU_Mock_DNA2,21,20x,PHU,Mock,DNA2
20x_PHU_Mock_DNA3,13,20x,PHU,Mock,DNA3
20x_PHU_Mock_DNA4,13,20x,PHU,Mock,DNA4
20x_PL_Mock_DNA1,8,20x,PL,Mock,DNA1
20x_PL_Mock_DNA2,8,20x,PL,Mock,DNA2
20x_PL_Mock_DNA3,8,20x,PL,Mock,DNA3
20x_PL_Mock_DNA4,8,20x,PL,Mock,DNA4
20x_Q5_Mock_DNA1,13,20x,Q5,Mock,DNA1
20x_Q5_Mock_DNA2,13,20x,Q5,Mock,DNA2
20x_Q5_Mock_DNA3,12,20x,Q5,Mock,DNA3
20x_Q5_Mock_DNA4,9,20x,Q5,Mock,DNA4
25x_ACC_Mock_DNA1,9,25x,ACC,Mock,DNA1
25x_ACC_Mock_DNA2,10,25x,ACC,Mock,DNA2
25x_ACC_Mock_DNA3,10,25x,ACC,Mock,DNA3
25x_ACC_Mock_DNA4,9,25x,ACC,Mock,DNA4
25x_K_Mock_DNA1,35,25x,K,Mock,DNA1
25x_K_Mock_DNA2,39,25x,K,Mock,DNA2
25x_K_Mock_DNA3,32,25x,K,Mock,DNA3
25x_K_Mock_DNA4,25,25x,K,Mock,DNA4
25x_PHU_Mock_DNA1,8,25x,PHU,Mock,DNA1
25x_PHU_Mock_DNA2,9,25x,PHU,Mock,DNA2
25x_PHU_Mock_DNA3,9,25x,PHU,Mock,DNA3
25x_PHU_Mock_DNA4,8,25x,PHU,Mock,DNA4
25x_PL_Mock_DNA1,10,25x,PL,Mock,DNA1
25x_PL_Mock_DNA2,10,25x,PL,Mock,DNA2
25x_PL_Mock_DNA3,8,25x,PL,Mock,DNA3
25x_PL_Mock_DNA4,9,25x,PL,Mock,DNA4
25x_Q5_Mock_DNA1,10,25x,Q5,Mock,DNA1
25x_Q5_Mock_DNA2,9,25x,Q5,Mock,DNA2
25x_Q5_Mock_DNA3,9,25x,Q5,Mock,DNA3
25x_Q5_Mock_DNA4,10,25x,Q5,Mock,DNA4
30x_ACC_Mock_DNA1,18,30x,ACC,Mock,DNA1
30x_ACC_Mock_DNA2,12,30x,ACC,Mock,DNA2
30x_ACC_Mock_DNA4,14,30x,ACC,Mock,DNA4
30x_ACC_Mock_DNA5,12,30x,ACC,Mock,DNA5
30x_K_Mock_DNA10,11,30x,K,Mock,DNA10
30x_K_Mock_DNA1,35,30x,K,Mock,DNA1
30x_K_Mock_DNA2,29,30x,K,Mock,DNA2
30x_K_Mock_DNA3,51,30x,K,Mock,DNA3
30x_K_Mock_DNA4,28,30x,K,Mock,DNA4
30x_K_Mock_DNA5,30,30x,K,Mock,DNA5
30x_K_Mock_DNA6,24,30x,K,Mock,DNA6
30x_K_Mock_DNA7,18,30x,K,Mock,DNA7
30x_K_Mock_DNA8,16,30x,K,Mock,DNA8
30x_K_Mock_DNA9,15,30x,K,Mock,DNA9
30x_PHU_Mock_DNA1,11,30x,PHU,Mock,DNA1
30x_PHU_Mock_DNA2,12,30x,PHU,Mock,DNA2
30x_PHU_Mock_DNA3,14,30x,PHU,Mock,DNA3
30x_PHU_Mock_DNA4,11,30x,PHU,Mock,DNA4
30x_PL_Mock_DNA10,19,30x,PL,Mock,DNA10
30x_PL_Mock_DNA1,18,30x,PL,Mock,DNA1
30x_PL_Mock_DNA2,16,30x,PL,Mock,DNA2
30x_PL_Mock_DNA3,15,30x,PL,Mock,DNA3
30x_PL_Mock_DNA4,16,30x,PL,Mock,DNA4
30x_PL_Mock_DNA5,17,30x,PL,Mock,DNA5
30x_PL_Mock_DNA6,20,30x,PL,Mock,DNA6
30x_PL_Mock_DNA7,18,30x,PL,Mock,DNA7
30x_PL_Mock_DNA8,19,30x,PL,Mock,DNA8
30x_PL_Mock_DNA9,18,30x,PL,Mock,DNA9
30x_PL_Water,40,30x,PL,Water,NA
30x_Q5_Mock_DNA10,15,30x,Q5,Mock,DNA10
30x_Q5_Mock_DNA1,12,30x,Q5,Mock,DNA1
30x_Q5_Mock_DNA2,10,30x,Q5,Mock,DNA2
30x_Q5_Mock_DNA3,12,30x,Q5,Mock,DNA3
30x_Q5_Mock_DNA4,12,30x,Q5,Mock,DNA4
30x_Q5_Mock_DNA5,11,30x,Q5,Mock,DNA5
30x_Q5_Mock_DNA6,11,30x,Q5,Mock,DNA6
30x_Q5_Mock_DNA7,11,30x,Q5,Mock,DNA7
30x_Q5_Mock_DNA8,14,30x,Q5,Mock,DNA8
30x_Q5_Mock_DNA9,16,30x,Q5,Mock,DNA9
35x_ACC_Mock_DNA1,11,35x,ACC,Mock,DNA1
35x_ACC_Mock_DNA2,14,35x,ACC,Mock,DNA2
35x_ACC_Mock_DNA3,12,35x,ACC,Mock,DNA3
35x_ACC_Mock_DNA4,12,35x,ACC,Mock,DNA4
35x_ACC_Water,12,35x,ACC,Water,NA
35x_K_Mock_DNA1,37,35x,K,Mock,DNA1
35x_K_Mock_DNA3,27,35x,K,Mock,DNA3
35x_K_Mock_DNA4,26,35x,K,Mock,DNA4
35x_K_Water,105,35x,K,Water,NA
35x_PHU_Mock_DNA1,9,35x,PHU,Mock,DNA1
35x_PHU_Mock_DNA2,16,35x,PHU,Mock,DNA2
35x_PHU_Mock_DNA3,13,35x,PHU,Mock,DNA3
35x_PHU_Mock_DNA4,13,35x,PHU,Mock,DNA4
35x_PHU_Water,57,35x,PHU,Water,NA
35x_PL_Mock_DNA1,28,35x,PL,Mock,DNA1
35x_PL_Mock_DNA2,36,35x,PL,Mock,DNA2
35x_PL_Mock_DNA3,28,35x,PL,Mock,DNA3
35x_PL_Mock_DNA4,38,35x,PL,Mock,DNA4
35x_PL_Water,13,35x,PL,Water,NA
35x_Q5_Mock_DNA1,16,35x,Q5,Mock,DNA1
35x_Q5_Mock_DNA2,14,35x,Q5,Mock,DNA2
35x_Q5_Mock_DNA3,14,35x,Q5,Mock,DNA3
35x_Q5_Mock_DNA4,22,35x,Q5,Mock,DNA4
Zmock_A_111716,8,30x,ACC,Mock,NA
Zmock_B_111716,9,30x,ACC,Mock,NA
Zmock_C_111716,8,30x,ACC,Mock,NA
Zmock_D_111716,10,30x,ACC,Mock,NA
