taq,cycles,sample_name,total_seqs,at_rate,ag_rate,ac_rate,ta_rate,tg_rate,tc_rate,ga_rate,gt_rate,gc_rate,ca_rate,ct_rate,cg_rate,at_seq_prev,ag_seq_prev,ac_seq_prev,ta_seq_prev,tg_seq_prev,tc_seq_prev,ga_seq_prev,gt_seq_prev,gc_seq_prev,ca_seq_prev,ct_seq_prev,cg_seq_prev
K,30x,DNA10,5074,1.557953939091791e-4,2.632942157065126e-4,8.568746665004849e-5,1.5813232481781675e-4,2.204504823814884e-4,0.00021577662056421301,2.539464920719619e-4,1.986391272342033e-4,8.958235149777797e-5,5.920224968548805e-5,1.7838572602601004e-4,7.556076604595185e-5,0.011824990145841546,0.03310997240835633,0.013992905005912494,0.01103665746945211,0.023255813953488372,0.020299566417027987,0.03488372093023256,0.029956641702798582,0.010248324793062672,0.00847457627118644,0.017934568387859676,0.01064249113125739
K,30x,DNA2,2895,9.270459863960439e-4,0.0011673406750642378,3.345011291119746e-4,9.734665512523995e-4,9.93946212218439e-4,0.001182359093106,8.806254215396883e-4,7.304412411220669e-4,4.80589377336388e-4,2.935418071798961e-4,8.437620318008176e-4,4.123238407829238e-4,0.05043177892918826,0.07495682210708117,0.04075993091537133,0.05595854922279793,0.06010362694300518,0.055267702936096716,0.07012089810017272,0.06217616580310881,0.049740932642487044,0.041105354058721934,0.06252158894645941,0.046632124352331605
K,30x,DNA3,527,0.002190104029941422,0.0024826179243514065,6.150292138876597e-4,0.002145101892339886,0.0020250961920691233,0.0022576072363437263,0.00210009975473835,0.0017925851477945203,0.0013125623467114688,6.825324202899638e-4,0.002040096904602969,0.0010125480960345616,0.11954459203036052,0.1555977229601518,0.10056925996204934,0.12144212523719165,0.1442125237191651,0.1252371916508539,0.14800759013282733,0.14231499051233396,0.11385199240986717,0.10246679316888045,0.1461100569259962,0.09867172675521822
K,30x,DNA4,1591,0.0010011750764544987,0.00108564146007597,2.7824220487072916e-4,9.241616090349218e-4,0.0010185652142589193,0.0011427804842904948,9.390674414387109e-4,8.247893930096614e-4,4.943767747256706e-4,3.204753966814648e-4,9.614261900443945e-4,4.496592775143034e-4,0.05845380263984915,0.06913890634820867,0.035826524198617225,0.05091137649277184,0.0666247642991829,0.07165304839723445,0.0590823381521056,0.06725329981143935,0.04839723444374607,0.044626021370207415,0.07668133249528598,0.05279698302954117
K,30x,DNA5,1893,0.0011504860855911536,0.0013404937694183677,3.0275949620819833e-4,0.001167190057795744,0.0012715898840744329,0.0013488457555206627,9.187184712524638e-4,8.414625998062339e-4,5.554070758026258e-4,2.839675274780343e-4,9.020144990478736e-4,4.865031904586911e-4,0.05916534601162177,0.07184363444268357,0.036978341257263604,0.0612783940834654,0.07131537242472266,0.06550449022715267,0.07606973058637084,0.08135235076597992,0.0554675118858954,0.04490227152667723,0.07395668251452721,0.05388272583201268
K,30x,DNA6,2378,7.5460784492975e-4,8.842541266577687e-4,2.8422454071142563e-4,7.994854039894488e-4,8.077960630745782e-4,8.493493585002252e-4,7.330001313084135e-4,6.100023768484984e-4,4.221814815245738e-4,2.2604992711551983e-4,7.080681540530253e-4,3.340884952222021e-4,0.04163162321278385,0.060555088309503784,0.03616484440706476,0.05004205214465938,0.05214465937762826,0.04415475189234651,0.06223717409587889,0.05424726661059714,0.03994953742640875,0.03322119428090833,0.061396131202691336,0.03700588730025231
K,30x,DNA7,4723,1.7406964794413704e-4,2.6110447191620556e-4,7.782921759040742e-5,1.6235342164020472e-4,2.0754458024108645e-4,2.4185638584545962e-4,2.2177142646728998e-4,1.991758471668491e-4,8.954544389433973e-5,6.862361120874633e-5,1.824383810183744e-4,7.950296420525489e-5,0.014397628625873385,0.026466229091679016,0.01291551979673936,0.01079822146940504,0.018420495447808598,0.024137200931611265,0.02858352741901334,0.02879525725174677,0.008680923142070718,0.011433410967605336,0.017573576116874868,0.009739572305737878
K,30x,DNA8,1884,3.650438996758662e-4,5.119006409247779e-4,1.4056288090967263e-4,3.2728073764043175e-4,4.111988754969527e-4,4.8043133922858253e-4,3.902193410328225e-4,3.1888892385477965e-4,1.5524855503456378e-4,1.2797516023119448e-4,3.209868773011927e-4,1.3426902057043355e-4,0.024946921443736732,0.037154989384288746,0.015392781316348195,0.019639065817409766,0.027600849256900213,0.029193205944798302,0.036093418259023353,0.038747346072186835,0.01751592356687898,0.018046709129511677,0.029193205944798302,0.01592356687898089
K,30x,DNA9,2772,2.2528849046730252e-4,3.849866609251372e-4,1.0266310958003659e-4,2.6378715655981625e-4,3.065634522181648e-4,3.450621183106785e-4,2.980081930864951e-4,2.4239900873064194e-4,1.354582695847705e-4,8.840434436058706e-5,2.495283913403667e-4,9.695960349225678e-5,0.01948051948051948,0.03932178932178932,0.016594516594516596,0.01984126984126984,0.025974025974025976,0.031385281385281384,0.03751803751803752,0.03282828282828283,0.016233766233766232,0.012987012987012988,0.02886002886002886,0.010822510822510822
K,35x,DNA1,578,0.0013607954156922277,0.0013060900723478165,4.649954184274949e-4,0.0013060900723478165,0.0012992519044297652,0.0014565297665449473,0.0014086625911185874,0.0011009450348062747,8.205801501661675e-4,4.4448091467334073e-4,0.0013949862552824848,7.385221351495508e-4,0.0726643598615917,0.08823529411764706,0.058823529411764705,0.07612456747404844,0.08304498269896193,0.08304498269896193,0.08996539792387544,0.08304498269896193,0.07093425605536333,0.06401384083044982,0.07958477508650519,0.07439446366782007
K,35x,DNA2,460,0.0025089574937920485,0.0029042042222661387,8.506396982377151e-4,0.0024745882130551714,0.002594880695634242,0.003187750788345377,0.002388665011212978,0.002070749164396862,0.0014091405102119726,9.365629000799086e-4,0.0025347344543447067,0.0012372941065275857,0.14565217391304347,0.17173913043478262,0.10434782608695652,0.13695652173913042,0.15217391304347827,0.15434782608695652,0.15869565217391304,0.14130434782608695,0.13260869565217392,0.12173913043478261,0.16521739130434782,0.12173913043478261
