taq,cycles,sample_name,mean_error,sd_error,chimera_prevalence
ACC,25x,DNA1,3.441222e-4,0.007052665280216985,0.0018
ACC,25x,DNA2,5.785712e-4,0.00949599718448969,0.003
ACC,25x,DNA3,2.576962e-4,0.00594383738311143,0.001
ACC,25x,DNA4,2.9178580000000003e-4,0.006155246655967373,0.0014
ACC,30x,NA,2.31784376e-4,0.004694959052643578,0.0072
ACC,35x,DNA1,2.93263046e-4,0.004589297317450759,0.0144
ACC,35x,DNA2,3.53359786e-4,0.004885401340856309,0.0166
ACC,35x,DNA3,3.42236586e-4,0.004778038278569147,0.0174
ACC,35x,DNA4,7.31232294e-4,0.010944781014830792,0.0166
PHU,25x,DNA1,2.30833e-4,0.006408418220741324,0.0014
PHU,25x,DNA2,6.093306e-4,0.01067340134638269,0.0028
PHU,25x,DNA3,1.833996e-4,0.005597946132082675,8e-4
PHU,25x,DNA4,3.318728e-4,0.0073027783160963455,0.0014
PHU,30x,DNA1,4.3003974e-4,0.008075823766416383,0.0162
PHU,30x,DNA2,7.5728118e-4,0.011199416226142985,0.0128
PHU,30x,DNA3,2.50564922e-4,0.005817361283771299,0.0138
PHU,30x,DNA4,4.41981824e-4,0.008975976434633643,0.015
PHU,35x,DNA1,1.5178198e-4,0.0035261895025217316,0.0186
PHU,35x,DNA2,2.62463154e-4,0.006288559636201174,0.0198
PHU,35x,DNA3,1.5731551e-4,0.002660607572301601,0.0198
PHU,35x,DNA4,1.86554856e-4,0.003440105601525079,0.0166
PL,20x,DNA1,9.16996e-5,0.0041290242005986915,2e-4
PL,20x,DNA2,2.3397980000000002e-4,0.0073112527508183735,6e-4
PL,20x,DNA3,1.912982e-4,0.005908922546421529,0.001
PL,20x,DNA4,1.87993e-4,0.005528663658473059,0.0012
PL,25x,DNA1,5.928578e-4,0.010981754851639308,0.009
PL,25x,DNA2,2.861854e-4,0.007514754699620337,0.0076
PL,25x,DNA3,3.3288780000000003e-4,0.007890914549663884,0.0058
PL,25x,DNA4,4.600788e-4,0.009254025140361909,0.0094
PL,30x,DNA1,4.33179832e-4,0.006553752052874717,0.0372
PL,30x,DNA10,4.62582424e-4,0.005587127810998121,0.0472
PL,30x,DNA2,3.8577070200000003e-4,0.004252469308087179,0.0484
PL,30x,DNA3,4.74930732e-4,0.006513519346599408,0.0366
PL,30x,DNA4,3.20926838e-4,0.003263932259339598,0.0422
PL,30x,DNA5,4.79041936e-4,0.00727783378055107,0.0304
PL,30x,DNA6,5.4637064e-4,0.007687359846735236,0.0412
PL,30x,DNA7,3.88811052e-4,0.005239386291384151,0.0368
PL,30x,DNA8,4.7587631000000003e-4,0.006431422822016065,0.0372
PL,30x,DNA9,3.68321156e-4,0.004414555021640052,0.0428
PL,35x,DNA1,8.01540002e-4,0.004967524039290399,0.0736
PL,35x,DNA2,0.001138418284,0.008545160003543354,0.0824
PL,35x,DNA3,0.0012039525940000001,0.009586258484538457,0.0798
PL,35x,DNA4,0.001120140104,0.007878074698220617,0.087
PL,35x,NA,0.092030995336,0.08153202132956477,0.1612
Q5,25x,DNA1,2.505654e-4,0.006234840777215268,0.0034
Q5,25x,DNA2,8.2052e-5,0.00354045413245092,0.0028
Q5,25x,DNA3,5.69172e-5,0.003047103132525089,0.001
Q5,25x,DNA4,1.430768e-4,0.004660612713439586,0.0012
Q5,30x,DNA1,3.81734176e-4,0.006929170471909118,0.018
Q5,30x,DNA10,9.272668959999999e-4,0.013358420010197993,0.0174
Q5,30x,DNA2,4.25296124e-4,0.007522708823576707,0.0184
Q5,30x,DNA3,8.64813854e-4,0.012113722095209079,0.0102
Q5,30x,DNA4,6.4814075e-4,0.010003634850358052,0.0152
Q5,30x,DNA5,3.57422052e-4,0.007423360085705289,0.0124
Q5,30x,DNA6,4.09300512e-4,0.007629467648945842,0.018
Q5,30x,DNA7,0.0013565827,0.015379335942624504,0.0128
Q5,30x,DNA8,8.28965464e-4,0.012232688553227757,0.0118
Q5,30x,DNA9,7.99196578e-4,0.011465014020809886,0.0158
Q5,35x,DNA1,3.49488914e-4,0.005491493778738371,0.0218
Q5,35x,DNA2,7.87464582e-4,0.010525276577644833,0.0276
Q5,35x,DNA3,4.92251314e-4,0.0076229054020828385,0.0274
Q5,35x,DNA4,6.12495936e-4,0.007826086023145091,0.031
