Group,numOTUs,cycles,taq,sample_type,sample_name
15x_K_Mock_DNA1,24,15x,K,Mock,DNA1
15x_K_Mock_DNA2,26,15x,K,Mock,DNA2
15x_K_Mock_DNA3,30,15x,K,Mock,DNA3
15x_K_Mock_DNA4,23,15x,K,Mock,DNA4
15x_PL_Mock_DNA1,8,15x,PL,Mock,DNA1
15x_PL_Mock_DNA2,9,15x,PL,Mock,DNA2
15x_PL_Mock_DNA3,9,15x,PL,Mock,DNA3
15x_PL_Mock_DNA4,10,15x,PL,Mock,DNA4
15x_PL_Water,22,15x,PL,Water,NA
15x_Q5_Mock_DNA1,13,15x,Q5,Mock,DNA1
15x_Q5_Mock_DNA2,15,15x,Q5,Mock,DNA2
15x_Q5_Mock_DNA3,13,15x,Q5,Mock,DNA3
15x_Q5_Mock_DNA4,16,15x,Q5,Mock,DNA4
15x_Q5_Water,38,15x,Q5,Water,NA
20x_ACC_Mock_DNA1,13,20x,ACC,Mock,DNA1
20x_ACC_Mock_DNA2,15,20x,ACC,Mock,DNA2
20x_ACC_Mock_DNA3,10,20x,ACC,Mock,DNA3
20x_ACC_Mock_DNA4,13,20x,ACC,Mock,DNA4
20x_K_Mock_DNA1,11,20x,K,Mock,DNA1
20x_K_Mock_DNA2,21,20x,K,Mock,DNA2
20x_K_Mock_DNA3,20,20x,K,Mock,DNA3
20x_K_Mock_DNA4,15,20x,K,Mock,DNA4
20x_K_Water,27,20x,K,Water,NA
20x_PHU_Mock_DNA1,9,20x,PHU,Mock,DNA1
20x_PHU_Mock_DNA2,10,20x,PHU,Mock,DNA2
20x_PHU_Mock_DNA3,8,20x,PHU,Mock,DNA3
20x_PHU_Mock_DNA4,8,20x,PHU,Mock,DNA4
20x_PHU_Water,19,20x,PHU,Water,NA
20x_PL_Mock_DNA1,8,20x,PL,Mock,DNA1
20x_PL_Mock_DNA2,8,20x,PL,Mock,DNA2
20x_PL_Mock_DNA3,7,20x,PL,Mock,DNA3
20x_PL_Mock_DNA4,8,20x,PL,Mock,DNA4
20x_PL_Water,16,20x,PL,Water,NA
20x_Q5_Mock_DNA1,9,20x,Q5,Mock,DNA1
20x_Q5_Mock_DNA2,9,20x,Q5,Mock,DNA2
20x_Q5_Mock_DNA3,8,20x,Q5,Mock,DNA3
20x_Q5_Mock_DNA4,9,20x,Q5,Mock,DNA4
20x_Q5_Water,36,20x,Q5,Water,NA
25x_ACC_Mock_DNA1,10,25x,ACC,Mock,DNA1
25x_ACC_Mock_DNA2,8,25x,ACC,Mock,DNA2
25x_ACC_Mock_DNA3,8,25x,ACC,Mock,DNA3
25x_ACC_Mock_DNA4,8,25x,ACC,Mock,DNA4
25x_K_Mock_DNA1,12,25x,K,Mock,DNA1
25x_K_Mock_DNA2,11,25x,K,Mock,DNA2
25x_K_Mock_DNA3,10,25x,K,Mock,DNA3
25x_K_Mock_DNA4,11,25x,K,Mock,DNA4
25x_K_Water,29,25x,K,Water,NA
25x_PHU_Mock_DNA1,7,25x,PHU,Mock,DNA1
25x_PHU_Mock_DNA2,8,25x,PHU,Mock,DNA2
25x_PHU_Mock_DNA3,8,25x,PHU,Mock,DNA3
25x_PHU_Mock_DNA4,7,25x,PHU,Mock,DNA4
25x_PHU_Water,25,25x,PHU,Water,NA
25x_PL_Mock_DNA1,8,25x,PL,Mock,DNA1
25x_PL_Mock_DNA2,8,25x,PL,Mock,DNA2
25x_PL_Mock_DNA3,8,25x,PL,Mock,DNA3
25x_PL_Mock_DNA4,10,25x,PL,Mock,DNA4
25x_PL_Water,23,25x,PL,Water,NA
25x_Q5_Mock_DNA1,9,25x,Q5,Mock,DNA1
25x_Q5_Mock_DNA2,7,25x,Q5,Mock,DNA2
25x_Q5_Mock_DNA3,8,25x,Q5,Mock,DNA3
25x_Q5_Mock_DNA4,8,25x,Q5,Mock,DNA4
25x_Q5_Water,35,25x,Q5,Water,NA
30x_ACC_Mock_DNA10,10,30x,ACC,Mock,DNA10
30x_ACC_Mock_DNA1,9,30x,ACC,Mock,DNA1
30x_ACC_Mock_DNA2,10,30x,ACC,Mock,DNA2
30x_ACC_Mock_DNA3,10,30x,ACC,Mock,DNA3
30x_ACC_Mock_DNA4,8,30x,ACC,Mock,DNA4
30x_ACC_Mock_DNA5,7,30x,ACC,Mock,DNA5
30x_ACC_Mock_DNA6,10,30x,ACC,Mock,DNA6
30x_ACC_Mock_DNA7,20,30x,ACC,Mock,DNA7
30x_ACC_Mock_DNA8,9,30x,ACC,Mock,DNA8
30x_ACC_Mock_DNA9,10,30x,ACC,Mock,DNA9
30x_K_Mock_DNA10,8,30x,K,Mock,DNA10
30x_K_Mock_DNA1,13,30x,K,Mock,DNA1
30x_K_Mock_DNA2,10,30x,K,Mock,DNA2
30x_K_Mock_DNA3,12,30x,K,Mock,DNA3
30x_K_Mock_DNA4,9,30x,K,Mock,DNA4
30x_K_Mock_DNA5,15,30x,K,Mock,DNA5
30x_K_Mock_DNA6,10,30x,K,Mock,DNA6
30x_K_Mock_DNA7,8,30x,K,Mock,DNA7
30x_K_Mock_DNA8,9,30x,K,Mock,DNA8
