taq,cycles,sample_name,at_rate,ag_rate,ac_rate,ta_rate,tg_rate,tc_rate,ga_rate,gt_rate,gc_rate,ca_rate,ct_rate,cg_rate,at_seq_prev,ag_seq_prev,ac_seq_prev,ta_seq_prev,tg_seq_prev,tc_seq_prev,ga_seq_prev,gt_seq_prev,gc_seq_prev,ca_seq_prev,ct_seq_prev,cg_seq_prev
ACC,25x,DNA1,3.0039513818373985e-5,4.268773016295251e-5,7.905135215361575e-6,2.5691689449925118e-5,3.3201567904518614e-5,3.280631114375054e-5,4.545452748832905e-5,2.3715405646084725e-5,1.3833986626882757e-5,1.0276675779970048e-5,3.201579762221438e-5,9.48616225843389e-6,0.002,0.0032,0.0014,0.0013,0.0027,0.0017,0.0059,0.0019,0.0013,0.0013,0.0039,0.0011
ACC,25x,DNA2,3.0434746520063414e-5,5.019756893568901e-5,1.1462437001062845e-5,2.8063207830188344e-5,4.822128669412645e-5,4.387346576268882e-5,4.743077379750143e-5,2.490115624368825e-5,1.897230951900057e-5,1.699602727743801e-5,3.241102876162597e-5,1.5415001484187963e-5,0.0018,0.0038,0.0013,0.0019,0.0028,0.0025,0.0067,0.0024,0.0017,0.0022,0.0045,0.0016
ACC,25x,DNA3,1.8181767876531567e-5,2.569162852118591e-5,7.1146048212514824e-6,1.6205488759517266e-5,1.976279117014301e-5,1.8577023699934425e-5,3.201572169563167e-5,1.3043442172294385e-5,7.509860644654343e-6,7.509860644654343e-6,2.7667907638200212e-5,5.928837351042903e-6,0.0013,0.0032,0.001,0.001,0.0022,0.0016,0.0044,0.0014,7e-4,0.0013,0.004,7e-4
ACC,25x,DNA4,3.280632411067194e-5,3.794466403162055e-5,1.0671936758893281e-5,3.7549407114624506e-5,3.3201581027667984e-5,4.150197628458498e-5,5.4545454545454546e-5,3.280632411067194e-5,2.2529644268774703e-5,1.541501976284585e-5,4.743083003952569e-5,1.857707509881423e-5,0.0024,0.0032,0.0017,0.0022,0.0023,0.003,0.0055,0.0027,0.0019,0.0023,0.0041,0.0016
ACC,30x,NA,1.8082959281227072e-5,2.8656055691562027e-5,9.189700618328511e-6,1.8082959281227072e-5,2.411061237496943e-5,2.7371473884698903e-5,6.175874071457334e-5,1.6600749504077312e-5,7.4110488857488e-6,6.521723019458944e-6,4.6047317076785876e-5,7.015792945175531e-6,0.0055,0.0159,0.0054,0.0077,0.0072,0.013,0.0378,0.0099,0.0037,0.0045,0.0284,0.0039
ACC,35x,DNA1,1.1462405286935625e-5,3.4782471215528796e-5,7.509851739716444e-6,1.3438682060545215e-5,1.6995980253042477e-5,2.0158023090817824e-5,6.205509069134114e-5,1.5019703479432887e-5,3.952553547219181e-6,4.743064256663017e-6,4.5454365793020584e-5,8.30036244916028e-6,0.002,0.0066,0.0014,0.0021,0.0024,0.0035,0.0121,0.0029,7e-4,0.001,0.0082,0.0019
ACC,35x,DNA2,3.083002733991014e-5,6.956518989518186e-5,1.85770677560997e-5,3.596836522989517e-5,5.4545432985994864e-5,4.505927072756098e-5,9.723316314894738e-5,4.387350044525674e-5,2.0553351559940096e-5,1.4624500148418914e-5,6.086954115828413e-5,2.252963536378049e-5,0.003,0.009,0.0035,0.0047,0.0052,0.0042,0.0132,0.0063,0.0025,0.0025,0.009,0.0028
ACC,35x,DNA3,9.88141511350584e-6,3.596835101316126e-5,7.509875486264438e-6,1.343872455436794e-5,1.8577060413390977e-5,1.541500757706911e-5,8.537542658069045e-5,2.4901166086034714e-5,4.743079254482803e-6,4.743079254482803e-6,5.217387179931083e-5,6.71936227718397e-6,0.002,0.0073,0.0019,0.0027,0.0038,0.0026,0.0143,0.0052,7e-4,0.0011,0.0092,0.0011
ACC,35x,DNA4,3.833998156518825e-5,8.063253854946807e-5,1.7786589385912073e-5,4.2687814526188976e-5,7.430841787892155e-5,5.652182849300948e-5,1.0395273352210834e-4,4.901193519673549e-5,1.6205559218275445e-5,2.8853800559368474e-5,5.296451061582706e-5,1.7786589385912073e-5,0.0029,0.0092,0.0031,0.0033,0.0043,0.0046,0.0131,0.0047,0.002,0.0024,0.0099,0.0024
PHU,25x,DNA1,1.699602055965129e-5,1.4229226515056893e-5,5.138331797103878e-6,1.620550797548146e-5,1.7786533143821116e-5,1.818178943590603e-5,1.5019739099226721e-5,1.5019739099226721e-5,9.090894717953015e-6,7.5098695496133605e-6,1.4624482807141806e-5,6.324100673358619e-6,0.0013,8e-4,7e-4,9e-4,8e-4,0.0011,0.001,8e-4,8e-4,0.001,0.0015,8e-4
PHU,25x,DNA2,2.213437860301241e-5,3.122528410067822e-5,7.114621693825418e-6,2.213437860301241e-5,2.885374353606975e-5,2.845848677530167e-5,2.6482202971461275e-5,2.1343865081476253e-5,1.5019756909186993e-5,1.0276675779970048e-5,2.1343865081476253e-5,1.1857702823042362e-5,0.0013,0.0016,9e-4,0.0013,0.0017,0.0016,0.0018,0.0016,0.0013,0.0011,0.0018,0.0012
PHU,25x,DNA3,6.324113171586234e-6,4.743084878689675e-6,2.7667995125689773e-6,6.719370244810374e-6,5.5335990251379546e-6,4.743084878689675e-6,3.5573136590172565e-6,5.138341951913815e-6,3.162056585793117e-6,1.1857712196724188e-6,4.743084878689675e-6,1.1857712196724188e-6,4e-4,5e-4,3e-4,4e-4,8e-4,4e-4,6e-4,5e-4,4e-4,3e-4,4e-4,2e-4
PHU,25x,DNA4,2.1343856645172613e-5,1.7391290599770278e-05,1.1462441531666773e-5,2.1343856645172613e-5,2.0158086831551913e-5,2.3715396272414014e-5,2.0553343436092144e-5,1.660077739068981e-5,8.695645299885139e-6,9.486158508965605e-6,2.0158086831551913e-5,4.347822649942569e-6,0.0012,0.0013,0.0013,0.0012,0.0012,0.0011,0.0012,0.0012,0.0011,0.0012,0.0011,9e-4
PHU,30x,DNA1,5.4940689746762946e-5,4.3478243684488664e-5,2.1343865081476253e-5,4.822132481370561e-5,4.9011838335241764e-5,5.296440594292255e-5,6.086954115828413e-5,4.624504100986521e-5,2.4505919167620882e-5,1.5019756909186993e-5,5.2569149182154475e-5,1.976283803840394e-5,0.0031,0.0044,0.0033,0.003,0.0038,0.0039,0.0051,0.0043,0.0026,0.0023,0.0038,0.0026
PHU,30x,DNA2,5.810269790193925e-5,6.600782686818949e-5,2.8458464278500855e-5,5.454538986712664e-5,5.691692855700171e-5,6.363628817831441e-5,6.205526238506436e-5,5.4150133418814125e-5,3.0039490071750903e-5,2.0553335312250616e-5,5.4150133418814125e-5,2.529641269200076e-5,0.0031,0.0063,0.0034,0.0035,0.0042,0.0038,0.0047,0.0061,0.003,0.0031,0.004,0.0028
