taq,cycles,sample_name,mean_error,sd_error,chimera_prevalence
ACC,25x,DNA1,8.2959e-5,9.564038308197049e-4,0
ACC,25x,DNA2,7.1147e-5,0.0010587298495297493,0
ACC,25x,DNA3,8.691e-5,0.00102700628128644,0.001
ACC,25x,DNA4,2.01582e-4,0.005165785105773858,0.001
ACC,30x,NA,1.9859812e-4,0.003442100142933201,0.006
ACC,35x,DNA1,1.8169433e-4,0.0014460610353054187,0.012
ACC,35x,DNA2,2.8463262e-4,0.0021762168221935363,0.017
ACC,35x,DNA3,4.387354e-4,0.0056822710540045535,0.015
ACC,35x,DNA4,2.3715485e-4,0.0016609109942849179,0.014
ACC,35x,NA,0.00917788427,0.03690053293060553,0.054
K,25x,DNA2,0.015930017,0.052427807373632535,0.071
K,25x,DNA3,0.010584832,0.043358052703021316,0.039
K,25x,DNA4,0.005785735,0.03273312386764987,0.028
K,30x,DNA1,0.010967612,0.04479342194833185,0.047
K,30x,DNA10,0.0014426867000000001,0.016302019321172485,0.01
K,30x,DNA2,0.0093413921,0.04172352131865377,0.033
K,30x,DNA4,0.009439212839999999,0.041526762917271504,0.041
K,30x,DNA5,0.01041665427,0.04399488079880074,0.048
K,30x,DNA6,0.00603127897,0.03287617000831509,0.03
K,30x,DNA7,0.00141411864,0.015916795343751487,0.006
K,30x,DNA8,0.00313879407,0.024479268392049582,0.015
K,30x,DNA9,0.00237153981,0.02110703513727463,0.01
K,35x,DNA3,0.0057710637,0.03178890939294308,0.028
K,35x,DNA4,0.00548229541,0.03158834655167434,0.027
PHU,20x,DNA1,0.004205162,0.027991572006179525,0.012
PHU,20x,DNA2,0.005497397,0.032924989693874356,0.02
PHU,20x,DNA3,0.002047869,0.018428259509416112,0.01
PHU,20x,DNA4,0.00233658,0.020171141013819706,0.011
PHU,25x,DNA1,0.00034782600000000003,0.007686732876459155,0.001
PHU,25x,DNA2,2.13439e-4,0.0067495338150867865,0.001
PHU,25x,DNA3,1.9763e-5,4.5045923939614934e-4,0.001
PHU,25x,DNA4,0,0,0
PHU,30x,DNA1,2.7986957e-4,0.00625407402640076,0.022
PHU,30x,DNA2,7.47035e-4,0.011254334938149613,0.013
PHU,30x,DNA3,3.6363627000000003e-4,0.007880901262720409,0.014
PHU,30x,DNA4,3.7983956e-4,0.008151111813291607,0.012
PHU,35x,DNA1,4.7826068000000004e-4,0.00808349818503244,0.023
PHU,35x,DNA2,5.533665e-5,8.276682990571414e-4,0.022
PHU,35x,DNA3,2.2529648e-4,0.0048558188409345325,0.014
PHU,35x,DNA4,1.1067178e-4,0.0011269823556785805,0.021
PHU,35x,NA,0.057254714400000004,0.0885299744964289,0.263
PL,20x,DNA1,3.953e-6,1.2500483590645602e-4,0
PL,20x,DNA2,1.5748000000000002e-5,4.979954859233164e-4,0
PL,20x,DNA3,2.80632e-4,0.007793517271555766,0
PL,20x,DNA4,0,0,0.001
PL,25x,DNA1,1.1858e-5,3.749828849427664e-4,0.005
PL,25x,DNA2,2.3669e-5,5.289910159293199e-4,0.007
PL,25x,DNA3,0,0,0.003
PL,25x,DNA4,0.00034782599999999997,0.007181890177261293,0.007
PL,30x,DNA1,2.3315482e-4,0.0023510423341821995,0.038
PL,30x,DNA10,5.5335993e-4,0.007175522059755912,0.047
PL,30x,DNA2,5.8170311e-4,0.007614994772677703,0.037
PL,30x,DNA3,5.7702907e-4,0.007522608024113331,0.036
PL,30x,DNA4,2.5296414e-4,0.0021943406552139494,0.037
PL,30x,DNA5,1.7786516e-4,0.0015567785337933762,0.028
PL,30x,DNA6,7.4303596e-4,0.011123866332804686,0.035
PL,30x,DNA7,4.5849795000000004e-4,0.006762787540308748,0.032
PL,30x,DNA8,5.6916865e-4,0.008161377586823575,0.034
PL,30x,DNA9,1.5810263e-4,0.0013375484663294124,0.035
PL,35x,DNA1,0.00141892538,0.012015619073761658,0.066
PL,35x,DNA2,0.00108695589,0.00782697618583907,0.08
PL,35x,DNA3,0.00112253017,0.008008652138622962,0.074
PL,35x,DNA4,8.932343e-4,0.004167985493323419,0.087
PL,35x,NA,0.093565793,0.0811434419358419,0.161
Q5,20x,DNA2,0.001154574,0.014110850837205879,0.002
Q5,20x,DNA3,0.002473355,0.01870342141426468,0.007
Q5,20x,DNA4,0.001245513,0.01395028318561275,0.007
Q5,25x,DNA1,5.69172e-4,0.010226371657616189,0.005
Q5,25x,DNA2,2.56917e-4,0.00775813817923599,0.004
Q5,25x,DNA3,1.9717e-5,4.1295751939373113e-4,0.004
Q5,25x,DNA4,4.54545e-4,0.009663800740740247,0.003
Q5,30x,DNA1,2.1739184e-4,0.0061416264813522695,0.019
Q5,30x,DNA10,9.2885384e-4,0.01317747731995525,0.015
Q5,30x,DNA2,7.3122437e-4,0.010311261689539898,0.021
Q5,30x,DNA3,6.48221e-4,0.010285697558767196,0.01
Q5,30x,DNA4,9.446796999999999e-4,0.012205330745311261,0.023
Q5,30x,DNA5,3.4042311e-4,0.006057603636151076,0.016
Q5,30x,DNA6,5.9290159e-4,0.009416065494078541,0.018
Q5,30x,DNA7,0.001071599,0.012907643401658701,0.015
Q5,30x,DNA8,8.4189827e-4,0.011616977940167066,0.013
Q5,30x,DNA9,9.0909117e-4,0.011939267084404539,0.02
Q5,35x,DNA1,2.806332e-4,0.00514389818753652,0.024
Q5,35x,DNA2,4.3470437e-4,0.006067102266084241,0.03
Q5,35x,DNA3,4.2289439e-4,0.005580710743713279,0.023
Q5,35x,DNA4,0.00178184539,0.01776770177932049,0.034
