Group,numOTUs,cycles,taq,sample_type,sample_name
20x_PHU_PMM_FS_DA10040,228,20x,PHU,FS,DA10040
20x_PL_PMM_FS_DA10001,196,20x,PL,FS,DA10001
20x_Q5_PMM_FS_DA10040,221,20x,Q5,FS,DA10040
25x_ACC_PMM_FS_DA10001,171,25x,ACC,FS,DA10001
25x_ACC_PMM_FS_DA10016,173,25x,ACC,FS,DA10016
25x_ACC_PMM_FS_DA10040,255,25x,ACC,FS,DA10040
25x_K_PMM_FS_DA10040,274,25x,K,FS,DA10040
25x_PHU_PMM_FS_DA10001,213,25x,PHU,FS,DA10001
25x_PHU_PMM_FS_DA10016,191,25x,PHU,FS,DA10016
25x_PHU_PMM_FS_DA10029,175,25x,PHU,FS,DA10029
25x_PHU_PMM_FS_DA10040,264,25x,PHU,FS,DA10040
25x_PL_PMM_FS_DA10001,218,25x,PL,FS,DA10001
25x_PL_PMM_FS_DA10016,205,25x,PL,FS,DA10016
25x_PL_PMM_FS_DA10029,187,25x,PL,FS,DA10029
25x_PL_PMM_FS_DA10040,273,25x,PL,FS,DA10040
25x_Q5_PMM_FS_DA10001,206,25x,Q5,FS,DA10001
25x_Q5_PMM_FS_DA10016,205,25x,Q5,FS,DA10016
25x_Q5_PMM_FS_DA10029,185,25x,Q5,FS,DA10029
25x_Q5_PMM_FS_DA10040,282,25x,Q5,FS,DA10040
30x_ACC_PMM_FS_DA10001,274,30x,ACC,FS,DA10001
30x_ACC_PMM_FS_DA10002,185,30x,ACC,FS,DA10002
30x_ACC_PMM_FS_DA10016,221,30x,ACC,FS,DA10016
30x_ACC_PMM_FS_DA10017,183,30x,ACC,FS,DA10017
30x_ACC_PMM_FS_DA10029,168,30x,ACC,FS,DA10029
30x_ACC_PMM_FS_DA10040,331,30x,ACC,FS,DA10040
30x_ACC_PMM_FS_DA10055,342,30x,ACC,FS,DA10055
30x_ACC_PMM_FS_DA10069,379,30x,ACC,FS,DA10069
30x_ACC_PMM_FS_DA10088,160,30x,ACC,FS,DA10088
30x_ACC_PMM_FS_DA10103,263,30x,ACC,FS,DA10103
30x_PHU_PMM_FS_DA10001,416,30x,PHU,FS,DA10001
30x_PHU_PMM_FS_DA10002,216,30x,PHU,FS,DA10002
30x_PHU_PMM_FS_DA10016,331,30x,PHU,FS,DA10016
30x_PHU_PMM_FS_DA10017,263,30x,PHU,FS,DA10017
30x_PHU_PMM_FS_DA10029,240,30x,PHU,FS,DA10029
30x_PHU_PMM_FS_DA10040,476,30x,PHU,FS,DA10040
30x_PHU_PMM_FS_DA10055,436,30x,PHU,FS,DA10055
30x_PHU_PMM_FS_DA10069,507,30x,PHU,FS,DA10069
30x_PHU_PMM_FS_DA10088,269,30x,PHU,FS,DA10088
30x_PHU_PMM_FS_DA10103,334,30x,PHU,FS,DA10103
30x_PL_PMM_FS_DA10001,348,30x,PL,FS,DA10001
30x_PL_PMM_FS_DA10002,228,30x,PL,FS,DA10002
30x_PL_PMM_FS_DA10016,301,30x,PL,FS,DA10016
30x_PL_PMM_FS_DA10017,237,30x,PL,FS,DA10017
30x_PL_PMM_FS_DA10029,272,30x,PL,FS,DA10029
30x_PL_PMM_FS_DA10040,417,30x,PL,FS,DA10040
30x_PL_PMM_FS_DA10055,364,30x,PL,FS,DA10055
30x_PL_PMM_FS_DA10069,474,30x,PL,FS,DA10069
30x_PL_PMM_FS_DA10088,250,30x,PL,FS,DA10088
30x_PL_PMM_FS_DA10103,389,30x,PL,FS,DA10103
30x_Q5_PMM_FS_DA10001,300,30x,Q5,FS,DA10001
30x_Q5_PMM_FS_DA10002,222,30x,Q5,FS,DA10002
30x_Q5_PMM_FS_DA10016,246,30x,Q5,FS,DA10016
30x_Q5_PMM_FS_DA10017,224,30x,Q5,FS,DA10017
30x_Q5_PMM_FS_DA10029,220,30x,Q5,FS,DA10029
30x_Q5_PMM_FS_DA10040,338,30x,Q5,FS,DA10040
30x_Q5_PMM_FS_DA10069,400,30x,Q5,FS,DA10069
30x_Q5_PMM_FS_DA10088,222,30x,Q5,FS,DA10088
30x_Q5_PMM_FS_DA10103,327,30x,Q5,FS,DA10103
35x_ACC_PMM_FS_DA10001,263,35x,ACC,FS,DA10001
35x_ACC_PMM_FS_DA10016,251,35x,ACC,FS,DA10016
35x_ACC_PMM_FS_DA10029,213,35x,ACC,FS,DA10029
35x_ACC_PMM_FS_DA10040,342,35x,ACC,FS,DA10040
35x_PHU_PMM_FS_DA10001,321,35x,PHU,FS,DA10001
35x_PHU_PMM_FS_DA10016,280,35x,PHU,FS,DA10016
35x_PHU_PMM_FS_DA10029,288,35x,PHU,FS,DA10029
35x_PHU_PMM_FS_DA10040,435,35x,PHU,FS,DA10040
35x_PL_PMM_FS_DA10001,685,35x,PL,FS,DA10001
35x_PL_PMM_FS_DA10016,474,35x,PL,FS,DA10016
35x_PL_PMM_FS_DA10029,412,35x,PL,FS,DA10029
35x_PL_PMM_FS_DA10040,696,35x,PL,FS,DA10040
35x_Q5_PMM_FS_DA10001,465,35x,Q5,FS,DA10001
35x_Q5_PMM_FS_DA10016,412,35x,Q5,FS,DA10016
35x_Q5_PMM_FS_DA10029,299,35x,Q5,FS,DA10029
35x_Q5_PMM_FS_DA10040,553,35x,Q5,FS,DA10040
