taq,sub_sample_level,pvalue,bh
ACC,1000,0.772829992684449,0.860707976425057
K,1000,0.860707976425057,0.860707976425057
PHU,1000,0.0209548613248891,0.1047743066244455
PL,1000,0.292067823691414,0.48677970615235666
Q5,1000,0.0486683054573705,0.12167076364342624
ACC,5000,0.77283,0.77283
K,5000,NA,NA
PHU,5000,0.3864762,0.77283
PL,5000,0.2920678,0.77283
Q5,5000,0.77283,0.77283
ACC,10000,0.77283,0.77283
K,10000,NA,NA
PHU,10000,0.3864762,0.77283
PL,10000,0.2920678,0.77283
Q5,10000,0.7514773,0.77283
