taq,cycles,higher_gc,median_abund,iqr25,iqr75,min_abund,max_abund
ACC,fifteen,no,0.125,0.1,0.16666666666666666,0.022222222222222223,0.22727272727272727
ACC,fifteen,yes,0.08333333333333333,0.06666666666666667,0.1015151515151515,0.044444444444444446,0.26666666666666666
ACC,thirty,no,0.11750618284532362,0.08130120251042017,0.18426062945122426,0.058156432540247896,0.24788711959084478
ACC,thirty,yes,0.1188856417381306,0.08248518859628148,0.14292502514778904,0.06838580994443653,0.14414741194820269
ACC,thirty_five,no,0.09685522302655206,0.08421610169491525,0.1316682990532158,0.07569920557187942,0.1833165756966389
ACC,thirty_five,yes,0.12776394944254674,0.10705497631011887,0.14891843619765827,0.09533137446947437,0.16008270758515616
ACC,twenty,no,0.08225798883205857,0.06331953071083506,0.12557361017076657,0.018957345971563982,0.24338624338624337
ACC,twenty,yes,0.11985220261156551,0.09391534391534391,0.13356653877980892,0.06930693069306931,0.178743961352657
ACC,twenty_five,no,0.09200209893502584,0.07696223163023089,0.12956921170157132,0.052032438422404674,0.22670157068062827
ACC,twenty_five,yes,0.13052688107882332,0.1002549761690836,0.1608711229938761,0.08651832460732985,0.1859164861733743
K,fifteen,no,0.05277777777777778,0.03257575757575758,0.07339015151515152,0.025,0.16666666666666666
K,fifteen,yes,0.075,0.030303030303030304,0.11666666666666667,0.025,0.13636363636363635
K,thirty,no,0.08725257993571307,0.06590390856695205,0.13417312040523766,0.04629213483146068,0.25911625911625913
K,thirty,yes,0.12494671865730111,0.10188760188760189,0.14290823765888916,0.05642023346303502,0.20758354755784061
K,thirty_five,no,0.08115183246073299,0.05849889624724062,0.14284799368558798,0.03293256664924203,0.2522977941176471
K,thirty_five,yes,0.11605584642233857,0.0725519469895288,0.1529119828559696,0.059602649006622516,0.1897543125980136
K,twenty,no,0.08284023668639054,0.05853675218871596,0.12434231505102042,0.03515625,0.23964497041420119
K,twenty,yes,0.08912577993691433,0.08169220995791313,0.1103515625,0.04437869822485207,0.15816326530612246
K,twenty_five,no,0.08907319641916799,0.07071992186496003,0.1360078277886497,0.033268101761252444,0.19461279461279463
