full_name,cycles,taq,sample_type,sample_name
15x_ACC_Mock_DNA1,15x,ACC,Mock,DNA1
15x_ACC_Mock_DNA2,15x,ACC,Mock,DNA2
15x_ACC_Mock_DNA3,15x,ACC,Mock,DNA3
15x_ACC_Mock_DNA4,15x,ACC,Mock,DNA4
15x_ACC_Water,15x,ACC,Water,NA
15x_K_Mock_DNA1,15x,K,Mock,DNA1
15x_K_Mock_DNA2,15x,K,Mock,DNA2
15x_K_Mock_DNA3,15x,K,Mock,DNA3
15x_K_Mock_DNA4,15x,K,Mock,DNA4
15x_K_Water,15x,K,Water,NA
15x_PHU_Mock_DNA1,15x,PHU,Mock,DNA1
15x_PHU_Mock_DNA2,15x,PHU,Mock,DNA2
15x_PHU_Mock_DNA3,15x,PHU,Mock,DNA3
15x_PHU_Mock_DNA4,15x,PHU,Mock,DNA4
15x_PHU_Water,15x,PHU,Water,NA
15x_PL_Mock_DNA1,15x,PL,Mock,DNA1
15x_PL_Mock_DNA2,15x,PL,Mock,DNA2
15x_PL_Mock_DNA3,15x,PL,Mock,DNA3
15x_PL_Mock_DNA4,15x,PL,Mock,DNA4
15x_PL_Water,15x,PL,Water,NA
15x_Q5_Mock_DNA1,15x,Q5,Mock,DNA1
15x_Q5_Mock_DNA2,15x,Q5,Mock,DNA2
15x_Q5_Mock_DNA3,15x,Q5,Mock,DNA3
15x_Q5_Mock_DNA4,15x,Q5,Mock,DNA4
15x_Q5_Water,15x,Q5,Water,NA
20x_ACC_Mock_DNA1,20x,ACC,Mock,DNA1
20x_ACC_Mock_DNA2,20x,ACC,Mock,DNA2
20x_ACC_Mock_DNA3,20x,ACC,Mock,DNA3
20x_ACC_Mock_DNA4,20x,ACC,Mock,DNA4
20x_ACC_Water,20x,ACC,Water,NA
20x_K_Mock_DNA1,20x,K,Mock,DNA1
20x_K_Mock_DNA2,20x,K,Mock,DNA2
20x_K_Mock_DNA3,20x,K,Mock,DNA3
20x_K_Mock_DNA4,20x,K,Mock,DNA4
20x_K_Water,20x,K,Water,NA
20x_PHU_Mock_DNA1,20x,PHU,Mock,DNA1
20x_PHU_Mock_DNA2,20x,PHU,Mock,DNA2
20x_PHU_Mock_DNA3,20x,PHU,Mock,DNA3
20x_PHU_Mock_DNA4,20x,PHU,Mock,DNA4
20x_PHU_Water,20x,PHU,Water,NA
20x_PL_Mock_DNA1,20x,PL,Mock,DNA1
20x_PL_Mock_DNA2,20x,PL,Mock,DNA2
20x_PL_Mock_DNA3,20x,PL,Mock,DNA3
20x_PL_Mock_DNA4,20x,PL,Mock,DNA4
20x_PL_Water,20x,PL,Water,NA
20x_Q5_Mock_DNA1,20x,Q5,Mock,DNA1
20x_Q5_Mock_DNA2,20x,Q5,Mock,DNA2
20x_Q5_Mock_DNA3,20x,Q5,Mock,DNA3
20x_Q5_Mock_DNA4,20x,Q5,Mock,DNA4
20x_Q5_Water,20x,Q5,Water,NA
25x_ACC_Mock_DNA1,25x,ACC,Mock,DNA1
25x_ACC_Mock_DNA2,25x,ACC,Mock,DNA2
25x_ACC_Mock_DNA3,25x,ACC,Mock,DNA3
25x_ACC_Mock_DNA4,25x,ACC,Mock,DNA4
25x_ACC_Water,25x,ACC,Water,NA
25x_K_Mock_DNA1,25x,K,Mock,DNA1
25x_K_Mock_DNA2,25x,K,Mock,DNA2
25x_K_Mock_DNA3,25x,K,Mock,DNA3
25x_K_Mock_DNA4,25x,K,Mock,DNA4
25x_K_Water,25x,K,Water,NA
25x_PHU_Mock_DNA1,25x,PHU,Mock,DNA1
25x_PHU_Mock_DNA2,25x,PHU,Mock,DNA2
25x_PHU_Mock_DNA3,25x,PHU,Mock,DNA3
25x_PHU_Mock_DNA4,25x,PHU,Mock,DNA4
25x_PHU_Water,25x,PHU,Water,NA
25x_PL_Mock_DNA1,25x,PL,Mock,DNA1
25x_PL_Mock_DNA2,25x,PL,Mock,DNA2
25x_PL_Mock_DNA3,25x,PL,Mock,DNA3
25x_PL_Mock_DNA4,25x,PL,Mock,DNA4
25x_PL_Water,25x,PL,Water,NA
25x_Q5_Mock_DNA1,25x,Q5,Mock,DNA1
25x_Q5_Mock_DNA2,25x,Q5,Mock,DNA2
25x_Q5_Mock_DNA3,25x,Q5,Mock,DNA3
25x_Q5_Mock_DNA4,25x,Q5,Mock,DNA4
25x_Q5_Water,25x,Q5,Water,NA
30x_ACC_Mock_DNA10,30x,ACC,Mock,DNA10
30x_ACC_Mock_DNA1,30x,ACC,Mock,DNA1
30x_ACC_Mock_DNA2,30x,ACC,Mock,DNA2
30x_ACC_Mock_DNA3,30x,ACC,Mock,DNA3
