Group,numOTUs,cycles,taq,sample_type,sample_name
20x_PHU_PMM_FS_DA10001,172,20x,PHU,FS,DA10001
20x_PHU_PMM_FS_DA10040,217,20x,PHU,FS,DA10040
20x_PL_PMM_FS_DA10001,185,20x,PL,FS,DA10001
20x_PL_PMM_FS_DA10040,211,20x,PL,FS,DA10040
20x_Q5_PMM_FS_DA10040,216,20x,Q5,FS,DA10040
25x_ACC_PMM_FS_DA10001,161,25x,ACC,FS,DA10001
25x_ACC_PMM_FS_DA10016,173,25x,ACC,FS,DA10016
25x_ACC_PMM_FS_DA10040,242,25x,ACC,FS,DA10040
25x_K_PMM_FS_DA10040,257,25x,K,FS,DA10040
25x_PHU_PMM_FS_DA10001,194,25x,PHU,FS,DA10001
25x_PHU_PMM_FS_DA10016,167,25x,PHU,FS,DA10016
25x_PHU_PMM_FS_DA10029,165,25x,PHU,FS,DA10029
25x_PHU_PMM_FS_DA10040,244,25x,PHU,FS,DA10040
25x_PL_PMM_FS_DA10001,209,25x,PL,FS,DA10001
25x_PL_PMM_FS_DA10016,183,25x,PL,FS,DA10016
25x_PL_PMM_FS_DA10029,176,25x,PL,FS,DA10029
25x_PL_PMM_FS_DA10040,245,25x,PL,FS,DA10040
25x_Q5_PMM_FS_DA10001,195,25x,Q5,FS,DA10001
25x_Q5_PMM_FS_DA10016,183,25x,Q5,FS,DA10016
25x_Q5_PMM_FS_DA10029,176,25x,Q5,FS,DA10029
25x_Q5_PMM_FS_DA10040,254,25x,Q5,FS,DA10040
30x_ACC_PMM_FS_DA10001,247,30x,ACC,FS,DA10001
30x_ACC_PMM_FS_DA10002,174,30x,ACC,FS,DA10002
30x_ACC_PMM_FS_DA10016,205,30x,ACC,FS,DA10016
30x_ACC_PMM_FS_DA10017,166,30x,ACC,FS,DA10017
30x_ACC_PMM_FS_DA10029,158,30x,ACC,FS,DA10029
30x_ACC_PMM_FS_DA10040,304,30x,ACC,FS,DA10040
30x_ACC_PMM_FS_DA10055,305,30x,ACC,FS,DA10055
30x_ACC_PMM_FS_DA10069,338,30x,ACC,FS,DA10069
30x_ACC_PMM_FS_DA10088,144,30x,ACC,FS,DA10088
30x_ACC_PMM_FS_DA10103,236,30x,ACC,FS,DA10103
30x_PHU_PMM_FS_DA10001,363,30x,PHU,FS,DA10001
30x_PHU_PMM_FS_DA10002,200,30x,PHU,FS,DA10002
30x_PHU_PMM_FS_DA10016,302,30x,PHU,FS,DA10016
30x_PHU_PMM_FS_DA10017,236,30x,PHU,FS,DA10017
30x_PHU_PMM_FS_DA10029,230,30x,PHU,FS,DA10029
30x_PHU_PMM_FS_DA10040,418,30x,PHU,FS,DA10040
30x_PHU_PMM_FS_DA10055,385,30x,PHU,FS,DA10055
30x_PHU_PMM_FS_DA10069,463,30x,PHU,FS,DA10069
30x_PHU_PMM_FS_DA10088,225,30x,PHU,FS,DA10088
30x_PHU_PMM_FS_DA10103,302,30x,PHU,FS,DA10103
30x_PL_PMM_FS_DA10001,300,30x,PL,FS,DA10001
30x_PL_PMM_FS_DA10002,210,30x,PL,FS,DA10002
30x_PL_PMM_FS_DA10016,250,30x,PL,FS,DA10016
30x_PL_PMM_FS_DA10017,197,30x,PL,FS,DA10017
30x_PL_PMM_FS_DA10029,247,30x,PL,FS,DA10029
30x_PL_PMM_FS_DA10040,345,30x,PL,FS,DA10040
30x_PL_PMM_FS_DA10055,343,30x,PL,FS,DA10055
30x_PL_PMM_FS_DA10069,413,30x,PL,FS,DA10069
30x_PL_PMM_FS_DA10088,215,30x,PL,FS,DA10088
30x_PL_PMM_FS_DA10103,348,30x,PL,FS,DA10103
30x_Q5_PMM_FS_DA10001,265,30x,Q5,FS,DA10001
30x_Q5_PMM_FS_DA10002,217,30x,Q5,FS,DA10002
30x_Q5_PMM_FS_DA10016,236,30x,Q5,FS,DA10016
30x_Q5_PMM_FS_DA10017,202,30x,Q5,FS,DA10017
30x_Q5_PMM_FS_DA10029,211,30x,Q5,FS,DA10029
30x_Q5_PMM_FS_DA10040,311,30x,Q5,FS,DA10040
30x_Q5_PMM_FS_DA10055,328,30x,Q5,FS,DA10055
30x_Q5_PMM_FS_DA10069,364,30x,Q5,FS,DA10069
30x_Q5_PMM_FS_DA10088,201,30x,Q5,FS,DA10088
30x_Q5_PMM_FS_DA10103,296,30x,Q5,FS,DA10103
35x_ACC_PMM_FS_DA10001,237,35x,ACC,FS,DA10001
35x_ACC_PMM_FS_DA10016,231,35x,ACC,FS,DA10016
35x_ACC_PMM_FS_DA10029,182,35x,ACC,FS,DA10029
35x_ACC_PMM_FS_DA10040,316,35x,ACC,FS,DA10040
35x_K_PMM_FS_DA10040,252,35x,K,FS,DA10040
35x_PHU_PMM_FS_DA10001,289,35x,PHU,FS,DA10001
35x_PHU_PMM_FS_DA10016,267,35x,PHU,FS,DA10016
35x_PHU_PMM_FS_DA10029,259,35x,PHU,FS,DA10029
35x_PHU_PMM_FS_DA10040,385,35x,PHU,FS,DA10040
35x_PL_PMM_FS_DA10001,622,35x,PL,FS,DA10001
35x_PL_PMM_FS_DA10016,409,35x,PL,FS,DA10016
35x_PL_PMM_FS_DA10029,356,35x,PL,FS,DA10029
35x_PL_PMM_FS_DA10040,586,35x,PL,FS,DA10040
35x_Q5_PMM_FS_DA10001,422,35x,Q5,FS,DA10001
35x_Q5_PMM_FS_DA10016,381,35x,Q5,FS,DA10016
35x_Q5_PMM_FS_DA10029,270,35x,Q5,FS,DA10029
35x_Q5_PMM_FS_DA10040,476,35x,Q5,FS,DA10040
