Df,SumsOfSqs,MeanSqs,F.Model,R2,Pr(>F),x1
3,5.334968524331466,1.7783228414438221,-0,0.3163579388515517,1,individual
4,2.1720947985439,0.543023699635975,-0,0.12880290302061975,1,polymerase
12,1.2720386353102526,0.10600321960918772,-0,0.07543053327699249,1,interaction_ind_poly
55,8.0846080018001,0.14699287276000184,-0,0.479408624850836,1,interaction_ind_poly_cycle
0,-9.817833332843856e-19,-Inf,NA,-5.82187036905856e-20,NA,Residuals
74,16.86370995998572,NA,NA,1,NA,Total
