cycles,otu,genus,statistic,p.value,bh
25x,Otu0001,Salmonella,4.771923076923073,0.311510070007696,1
25x,Otu0002,Bifidobacterium,0.34446564885496284,0.9867658543303438,1
25x,Otu0003,Blautia,3.9661241483724474,0.4106098606125415,1
25x,Otu0004,Staphylococcus,3.1666666666666554,0.5303316154147675,1
25x,Otu0005,Anaerostipes,0.17194570135746545,0.9965094772331977,1
25x,Otu0006,Roseburia,0.2188444108761317,0.9944326939281388,1
25x,Otu0007,Escherichia/Shigella,0.8197507190795821,0.9357807638961928,1
25x,Otu0008,Faecalibacterium,1.7718538055764843,0.777627643166149,1
25x,Otu0009,Ruminococcaceae_unclassified,1.5714285714285694,0.8139178898714596,1
25x,Otu0010,Listeria,4.771956856702606,0.3115063625330214,1
25x,Otu0012,Blautia,2.053179409538225,0.7259782140518031,1
25x,Otu0013,Faecalibacterium,1.1543396226415152,0.8855575528152626,1
25x,Otu0014,Anaerostipes,0.9282744282744274,0.9204698088522467,1
25x,Otu0015,Lachnospiraceae_unclassified,2.452191987906276,0.6532165260543483,1
25x,Otu0016,Streptococcus,7.346139288417872,0.11868842734950469,1
25x,Otu0018,Ruminococcus,1.6334841628959325,0.8027617976487738,1
25x,Otu0019,Blautia,1.3934766214178032,0.8453280151366405,1
25x,Otu0020,Pseudomonas,3.1710526315789536,0.5296190922085033,1
25x,Otu0021,Collinsella,5.635344160866201,0.22808629230620256,1
25x,Otu0022,Ruminococcus2,1.4612622826908477,0.8334804955041216,1
25x,Otu0023,Bacteroides,0.8390826383623942,0.9331330214373686,1
25x,Otu0024,Dorea,0.8685508345978774,0.9290287147912566,1
25x,Otu0026,Roseburia,0.22931034482758766,0.9939085508226921,1
25x,Otu0027,Ruminococcaceae_unclassified,0.5122549019607847,0.9722970498465022,1
25x,Otu0028,Blautia,5.822813688212923,0.2127771876514233,1
25x,Otu0029,Bacteroides,3.9999999999999845,0.40600584970984016,1
25x,Otu0030,Enterococcus,0.6671348314606741,0.9553191585580278,1
25x,Otu0031,Erysipelotrichaceae_unclassified,4.433093252463989,0.3505547713032345,1
25x,Otu0032,Ruminococcaceae_unclassified,5.007655293088367,0.28651291585937944,1
25x,Otu0033,Clostridiales_unclassified,2.6010196374622296,0.6266425102509249,1
25x,Otu0034,Clostridium_sensu_stricto,0.5220588235294145,0.971318326349586,1
25x,Otu0035,Ruminococcaceae_unclassified,0.5609945609945627,0.9672978875832046,1
25x,Otu0036,Ruminococcus2,3.9937452615617923,0.40685299832659305,1
25x,Otu0037,Clostridiales_unclassified,0.4652619589977254,0.9767934255464081,1
25x,Otu0038,Clostridium_XI,3.9999999999999845,0.40600584970984016,1
25x,Otu0039,Phascolarctobacterium,0.12337662337661987,0.9981737458705351,1
25x,Otu0040,Blautia,0.7497996794871801,0.9450485708341281,1
25x,Otu0041,Bacteroides,1.0165224232887453,0.9072803871245537,1
25x,Otu0042,Coprococcus,0.9971374045801495,0.9102297414595255,1
25x,Otu0043,Clostridium_XI,0.7043399638336386,0.9507926385232044,1
25x,Otu0044,Lachnospiraceae_unclassified,4.594202898550721,0.33152312421592395,1
25x,Otu0045,Ruminococcaceae_unclassified,1.0731614859742253,0.8985067216334811,1
25x,Otu0046,Dorea,1.0900455927051607,0.8958483512301472,1
25x,Otu0047,Slackia,0.613385826771657,0.9615646652367033,1
25x,Otu0049,Lachnospiraceae_unclassified,0.25626899696048405,0.992459457351654,1
25x,Otu0050,Faecalibacterium,0.9590554592720952,0.9159396558408646,1
25x,Otu0051,Alistipes,2.2499999999999933,0.6898864931364944,1
25x,Otu0058,Bifidobacterium,0.12337662337661987,0.9981737458705351,1
25x,Otu0059,Parabacteroides,1.646380090497743,0.8004331131646796,1
25x,Otu0060,Bacilli_unclassified,1.527614858260016,0.8217388421680206,1
25x,Otu0061,Turicibacter,1.2010926118626395,0.8779186935815457,1
25x,Otu0064,Bacteroides,3.330016246953694,0.5041905446110603,1
25x,Otu0065,Asaccharobacter,1.236902927580892,0.8719862197420329,1
25x,Otu0066,Erysipelotrichaceae_unclassified,2.2499999999999933,0.6898864931364944,1
25x,Otu0068,Blautia,0.7539062500000027,0.9445185547084445,1
25x,Otu0069,Ruminococcaceae_unclassified,1.6844230769230777,0.7935452097765139,1
25x,Otu0070,Alistipes,1.34471273938384,0.8537449886085586,1
25x,Otu0073,Firmicutes_unclassified,1.1874999999999958,0.8801523424473143,1
25x,Otu0075,Ruminococcus,2.0684845961698635,0.7231642648852887,1
25x,Otu0076,Clostridiales_unclassified,1.0498054474708227,0.9021521400852819,1
25x,Otu0077,Enterobacteriaceae_unclassified,2.318750000000005,0.6773574379732912,1
