taq,cycles,whole_genome_higher_gc,median_abund,iqr25,iqr75,min_abund,max_abund
ACC,fifteen,no,0.11805555555555555,0.0890151515151515,0.16666666666666666,0.06666666666666667,0.26666666666666666
ACC,fifteen,yes,0.08333333333333333,0.045454545454545456,0.09090909090909091,0.022222222222222223,0.16666666666666666
ACC,thirty,no,0.1430394407097242,0.12368302527532574,0.16124139784391922,0.08690652996694294,0.24788711959084478
ACC,thirty,yes,0.08067279657665383,0.06741066249354036,0.11339852875453196,0.058156432540247896,0.17483972075794274
ACC,thirty_five,no,0.12776394944254674,0.10222838525687514,0.1518896647935201,0.07569920557187942,0.1833165756966389
ACC,thirty_five,yes,0.10264011114986582,0.09387400217578111,0.12869707045735396,0.08503303648376903,0.16008270758515616
ACC,twenty,no,0.11484305240744556,0.10083943176926388,0.18026650182017995,0.054455445544554455,0.24338624338624337
ACC,twenty,yes,0.07920792079207921,0.06785321389281786,0.12481230350523204,0.018957345971563982,0.15458937198067632
ACC,twenty_five,no,0.145981263798556,0.10437096683102275,0.19008462197149045,0.09630786279151765,0.22670157068062827
ACC,twenty_five,yes,0.08710732984293193,0.07696223163023089,0.10765962195789028,0.052032438422404674,0.15695360902634362
K,fifteen,no,0.05,0.02904040404040404,0.08428030303030304,0.025,0.13636363636363635
K,fifteen,yes,0.06780303030303031,0.040624999999999994,0.10625,0.025,0.16666666666666666
K,thirty,no,0.14256951362912001,0.10908670997767546,0.18506854390515007,0.0725010725010725,0.25911625911625913
K,thirty,yes,0.0840645139521544,0.06287931708952721,0.11148026125770023,0.04629213483146068,0.14255469301340862
K,thirty_five,no,0.16244161277076274,0.11256544502617802,0.19695149603791418,0.059602649006622516,0.2522977941176471
K,thirty_five,yes,0.07180546465968586,0.05849889624724062,0.09432444852941176,0.03293256664924203,0.11761630946157867
K,twenty,no,0.10794193786982248,0.08699606290148043,0.16452088647959184,0.058365758754863814,0.23964497041420119
K,twenty,yes,0.0792778649921507,0.05756398954280156,0.08894158819330923,0.03515625,0.13609467455621302
K,twenty_five,no,0.15993150271939027,0.11221336588635167,0.17124678865898108,0.07633587786259542,0.19461279461279463
K,twenty_five,yes,0.0906385740355206,0.06630558685353205,0.12432063327181161,0.033268101761252444,0.14677103718199608
PHU,fifteen,no,0.10256410256410256,0.07446808510638298,0.11538461538461538,0.02564102564102564,0.1702127659574468
PHU,fifteen,yes,0.10256410256410256,0.06382978723404255,0.14285714285714285,0.05128205128205128,0.1794871794871795
PHU,thirty,no,0.16583023847652537,0.12111137443948122,0.17264281116341212,0.08508113655313963,0.18049472323030075
PHU,thirty,yes,0.09558966949549369,0.08195975613143888,0.11333709556057185,0.06463506395786306,0.15400755350398657
PHU,thirty_five,no,0.14578532868482239,0.1131220660102588,0.1748389456212901,0.07800584742442053,0.19555716309491517
PHU,thirty_five,yes,0.0939273422256344,0.0859782752210576,0.11169690098261528,0.07540942302847065,0.14482924917864787
PHU,twenty,no,0.17268478616980237,0.12042819367416084,0.2052515745119115,0.0724755700325733,0.22188449848024316
PHU,twenty,yes,0.08204410141980382,0.05816072953601051,0.10475842337361274,0.04635258358662614,0.13436482084690554
PHU,twenty_five,no,0.17373380471966424,0.13032092651910723,0.19659484043996092,0.0997936800955587,0.20251927462265176
PHU,twenty_five,yes,0.0801755037008659,0.06363444474672879,0.10546237972651479,0.0444956019791094,0.14537520615722924
PL,fifteen,no,0.16617551462621885,0.13321384287667312,0.19186445194528334,0.09076923076923077,0.23702031602708803
PL,fifteen,yes,0.08891454965357967,0.062344999111742766,0.09653846153846155,0.0323943661971831,0.12461538461538461
PL,thirty,no,0.14251051323005803,0.09743469652827189,0.15972422060683172,0.053224752984338305,0.18088077933267555
PL,thirty,yes,0.11758069065559898,0.08321353186700378,0.13963903071816586,0.05856200722622933,0.16301437237007488
PL,thirty_five,no,0.11603783604265616,0.08735324552055895,0.13434916645394387,0.05684806797491402,0.15363565285379202
PL,thirty_five,yes,0.1148677309565429,0.09284796862215108,0.13880536675341737,0.07222102224753078,0.16515506906437322
PL,twenty,no,0.1713659531523412,0.1509612238298064,0.19004215629179047,0.1094702743902439,0.21475007993179154
PL,twenty,yes,0.08941703080038367,0.07082667821405655,0.09868424412746549,0.040729801829268296,0.11694931402439024
PL,twenty_five,no,0.16144894558242548,0.14237444196424415,0.1799998550558327,0.10075715675242691,0.18934640398222494
PL,twenty_five,yes,0.09714623218678442,0.07675961017866811,0.10893227729201421,0.06034610264753735,0.12355170546832701
Q5,fifteen,no,0.12763086886130598,0.09970765414599575,0.16544117647058826,0.04838709677419355,0.26506024096385544
Q5,fifteen,yes,0.08064516129032258,0.05045871559633028,0.09884581237052383,0.024096385542168676,0.12048192771084337
Q5,thirty,no,0.1584318566071691,0.1194121936171406,0.18543607828744568,0.0817760020621214,0.20255463405775168
Q5,thirty,yes,0.09397800874071888,0.07658116294214533,0.11849864695098265,0.04897390883225377,0.13961081939725545
Q5,thirty_five,no,0.13386401242803492,0.10036565001048439,0.1664227454902626,0.06888172576245971,0.20092506938020352
Q5,thirty_five,yes,0.10991494465773664,0.08687467485579828,0.13506012950971322,0.05765105937745226,0.14673547229077855
Q5,twenty,no,0.17452463279669267,0.11631249897441787,0.19117647058823528,0.07334963325183375,0.24449877750611246
Q5,twenty,yes,0.08256974013712669,0.062495087720043585,0.11628244021027698,0.0348993288590604,0.13814180929095354
Q5,twenty_five,no,0.16476504715456242,0.12116116623257422,0.1963034799638445,0.09591801285391698,0.23623941158015827
Q5,twenty_five,yes,0.08998398232252777,0.069512571331347,0.10942612084228989,0.04371318018614703,0.12793251298497577
