taq,cycles,sample_name,mean_error,sd_error,chimera_prevalence
PL,35x,DNA3,4.74308e-4,0.00335386403171029,0.08
PL,35x,DNA4,9.48616e-4,0.0038759996299761834,0.12
PL,35x,NA,0.08909101999999999,0.08154578437795493,0.16
Q5,15x,DNA1,0.0172332,0.05233791376688019,0.08
Q5,15x,DNA2,0.029407159999999998,0.06687347173042536,0.18
Q5,15x,DNA3,0.02308304,0.057302443361361484,0.12
Q5,15x,DNA4,0.05083006,0.08448688832930087,0.16
Q5,15x,NA,0.13572818,0.0794909624904669,0.52
Q5,20x,DNA1,0,0,0
Q5,20x,DNA2,0,0,0
Q5,20x,DNA3,0.00252964,0.017887255979607383,0
Q5,20x,DNA4,0,0,0
Q5,20x,NA,0.12344842,0.08220210738623655,0.56
Q5,25x,DNA1,0.0032411000000000002,0.02291803788503719,0.02
Q5,25x,DNA2,0,0,0
Q5,25x,DNA3,0,0,0
Q5,25x,DNA4,0,0,0
Q5,25x,NA,0.12016748000000001,0.07755277717714142,0.58
Q5,30x,DNA1,0,0,0.06
Q5,30x,DNA10,0,0,0
Q5,30x,DNA2,0,0,0.04
Q5,30x,DNA3,0.00230158,0.016274628254433342,0.02
Q5,30x,DNA4,0,0,0
Q5,30x,DNA5,0,0,0
Q5,30x,DNA6,0,0,0.04
Q5,30x,DNA7,0,0,0.02
Q5,30x,DNA8,0,0,0
Q5,30x,DNA9,0.0038735199999999997,0.027389922590617153,0.02
Q5,30x,NA,0.1245184374,0.08453818514945449,0.56
Q5,35x,DNA1,0,0,0
Q5,35x,DNA2,0,0,0.02
Q5,35x,DNA3,4.74308e-4,0.00335386403171029,0.02
Q5,35x,DNA4,2.37154e-4,0.001676932015855145,0.02
Q5,35x,NA,0.1591175594,0.07831261197429114,0.64
