taq,cycles,sample_name,mean_error,sd_error,chimera_prevalence
ACC,25x,DNA1,4.846184e-4,0.008819345360707935,0.0018
ACC,25x,DNA2,4.0706820000000003e-4,0.008011835533559738,0.0021
ACC,25x,DNA3,2.225204e-4,0.005086207543671568,9e-4
ACC,25x,DNA4,4.245435e-4,0.008099596684647523,0.0019
ACC,30x,NA,3.0027939025e-4,0.0061709623496863306,0.0091
ACC,35x,DNA1,4.04280765e-4,0.006453866578581084,0.0141
ACC,35x,DNA2,3.62043238e-4,0.005396632952978475,0.0138
ACC,35x,DNA3,2.78304219e-4,0.0031598380839469586,0.0176
ACC,35x,DNA4,6.30015858e-4,0.01006890700611908,0.0159
PHU,25x,DNA1,2.292413e-4,0.006574934264822196,0.0012
PHU,25x,DNA2,3.900816e-4,0.008309266938235077,0.0022
PHU,25x,DNA3,8.93631e-5,0.003555422252953659,9e-4
PHU,25x,DNA4,2.410351e-4,0.00639918234838958,0.001
PHU,30x,DNA1,5.46881533e-4,0.009250995478863681,0.0172
PHU,30x,DNA2,5.56750384e-4,0.009392628033657596,0.0124
PHU,30x,DNA3,3.75046459e-4,0.00766552903198971,0.0134
PHU,30x,DNA4,5.55749965e-4,0.009622855941189104,0.0129
PHU,35x,DNA1,1.68251912e-4,0.003560700432579399,0.0185
PHU,35x,DNA2,3.13430991e-4,0.0068518648881909965,0.0214
PHU,35x,DNA3,2.48613666e-4,0.004562216224851877,0.0201
PHU,35x,DNA4,2.67893585e-4,0.004986855027902538,0.0186
PL,20x,DNA1,2.41061e-5,0.001835613771966961,0
PL,20x,DNA2,2.150136e-4,0.006431020963881149,7e-4
PL,20x,DNA3,1.5533150000000002e-4,0.005615359553162992,4e-4
PL,20x,DNA4,8.773469999999999e-5,0.0036169220928101917,7e-4
PL,25x,DNA1,2.727167e-4,0.007159888220536279,0.0055
PL,25x,DNA2,2.3399559999999999e-4,0.0065431140693367924,0.0069
PL,25x,DNA3,4.133597e-4,0.008675145618770131,0.007
PL,25x,DNA4,2.944448e-4,0.007125853202651563,0.0073
PL,30x,DNA1,4.20534538e-4,0.0060564494740434904,0.0395
PL,30x,DNA10,4.90965651e-4,0.0059742488574986196,0.0428
PL,30x,DNA2,5.96026935e-4,0.006877379300510504,0.0423
PL,30x,DNA3,4.2758715400000003e-4,0.006414903435547296,0.04
PL,30x,DNA4,3.60847734e-4,0.004949525403067117,0.0396
PL,30x,DNA5,4.29702478e-4,0.006860071794789428,0.0325
PL,30x,DNA6,4.98536866e-4,0.00729257976391609,0.0353
PL,30x,DNA7,4.19756389e-4,0.006089201702196964,0.036
PL,30x,DNA8,3.65601278e-4,0.0038876376911084346,0.0397
PL,30x,DNA9,3.4111017e-4,0.00490788618897891,0.0382
PL,35x,DNA1,8.281070180000001e-4,0.006500020201225252,0.0669
PL,35x,DNA2,9.48645055e-4,0.006118940805157229,0.0798
PL,35x,DNA3,0.00106603665,0.008470718448287812,0.0821
PL,35x,DNA4,0.001152950618,0.007469774589187027,0.0926
Q5,25x,DNA1,1.822438e-4,0.005318165125585314,0.0038
Q5,25x,DNA2,9.84617e-5,0.003738636966618974,0.0024
Q5,25x,DNA3,1.276589e-4,0.004407371393088,0.0015
Q5,25x,DNA4,2.185025e-4,0.0064738897557998915,0.0027
Q5,30x,DNA1,3.1818194e-4,0.006605753586558549,0.0176
Q5,30x,DNA10,0.001074669393,0.013913689195730689,0.0175
Q5,30x,DNA2,3.43503573e-4,0.0070323168350981905,0.0154
Q5,30x,DNA4,6.29576232e-4,0.009941119858389922,0.0147
Q5,30x,DNA5,0.00053605466499999995,0.008664196429439577,0.0136
Q5,30x,DNA6,3.92420321e-4,0.0076499960951702545,0.0159
Q5,30x,DNA7,0.001121242632,0.013713335198963039,0.0118
Q5,30x,DNA8,0.001030783494,0.013501986251455248,0.0132
Q5,30x,DNA9,0.001124006765,0.013837842169689564,0.0142
Q5,35x,DNA1,4.47444306e-4,0.007015323455044867,0.0209
Q5,35x,DNA2,5.99924094e-4,0.008797709622030513,0.0266
Q5,35x,DNA3,5.04608029e-4,0.007679903756301585,0.0275
Q5,35x,DNA4,6.75858862e-4,0.00896337105524588,0.0315
