mtry,logLoss,AUC,prAUC,Accuracy,Kappa,Mean_F1,Mean_Sensitivity,Mean_Specificity,Mean_Pos_Pred_Value,Mean_Neg_Pred_Value,Mean_Precision,Mean_Recall,Mean_Detection_Rate,Mean_Balanced_Accuracy,logLossSD,AUCSD,prAUCSD,AccuracySD,KappaSD,Mean_F1SD,Mean_SensitivitySD,Mean_SpecificitySD,Mean_Pos_Pred_ValueSD,Mean_Neg_Pred_ValueSD,Mean_PrecisionSD,Mean_RecallSD,Mean_Detection_RateSD,Mean_Balanced_AccuracySD,model_run
13,1.330680421787733,0.7035595238095238,0.25325297619047615,0.29285714285714287,0.06548154036389332,NaN,0.17500000000000002,0.8123809523809524,0.4666666666666667,0.7750595238095239,0.4666666666666667,0.17500000000000002,0.05857142857142857,0.47797619047619044,0.2691891694985542,0.1311154792404294,0.07384857604502731,0.24559613253766907,0.31509899456145646,NA,0.17078251276599332,0.06378819828434422,NA,0.04916897261973981,NA,0.17078251276599332,0.049119226507533816,0.10742247463843496,1
13,1.300222317620531,0.7540595238095238,0.24678869047619045,0.3763888888888889,0.1757944733132703,NaN,0.3,0.8351904761904761,0.26666666666666666,0.8280952380952381,0.26666666666666666,0.3,0.07527777777777778,0.559404761904762,0.2205468396741658,0.09639533688170378,0.0628844444307469,0.1965210754341099,0.26144123119385476,NA,0.08164965809277261,0.052304152452932455,NA,0.028036662101054557,NA,0.08164965809277261,0.039304215086821984,0.047746456537286305,2
13,1.317922261190291,0.7419464285714286,0.2435625,0.30714285714285716,0.07661346589918018,NaN,0.3,0.8144761904761905,0.4,0.8318452380952381,0.4,0.3,0.06142857142857143,0.5597619047619048,0.22135321237434236,0.07917098314405009,0.0521146618741126,0.1413110783402278,0.19093147240845826,NA,0.19999999999999998,0.03902257552823286,0.282842712474619,0.0495430270253338,0.282842712474619,0.19999999999999998,0.028262215668045564,0.12471857965783195,3
13,1.361841605920022,0.6759672619047619,0.24218253968253967,0.26686507936507936,0.0328034188034188,NaN,0.175,0.8055714285714286,0.225,0.7749404761904761,0.225,0.175,0.05337301587301587,0.4773809523809524,0.25149297470692356,0.11620022467730996,0.07591883654659358,0.21395937084146202,0.2756189639057928,NA,0.12583057392117916,0.05685644713443515,0.03535533905932737,0.03747277923604639,0.03535533905932737,0.12583057392117916,0.04279187416829241,0.0762276694932482,4
13,1.3620279376245694,0.6953928571428571,0.24238392857142857,0.30178571428571427,0.07453674727358939,NaN,0.325,0.8138095238095239,0.3666666666666667,0.8250000000000001,0.36666666666666664,0.325,0.06035714285714286,0.5730952380952381,0.267110557355558,0.15671534811191035,0.04762108636922048,0.1936949029259705,0.26532322785769324,NA,0.2872281323269014,0.05205623255621353,NA,0.07312121455597262,NA,0.2872281323269014,0.0387389805851941,0.17401640221212225,5
13,1.3409477800414373,0.6836547619047619,0.23904166666666665,0.2708333333333333,0.028766157051871334,NaN,0.275,0.8046190476190477,NaN,0.8225595238095238,NaN,0.275,0.05416666666666667,0.5445238095238095,0.20412516765282301,0.11434430059741993,0.05505441274718828,0.15580766944020116,0.2090611606539,NA,0.2217355782608345,0.0409006995167865,NA,0.07899246856949683,NA,0.2217355782608345,0.031161533888040237,0.14089579516253223,6
13,1.3352047751591805,0.6662797619047619,0.23634325396825395,0.2577380952380952,0.013707668965021898,NaN,0.375,0.8013809523809524,0.41666666666666663,0.8392063492063492,0.41666666666666663,0.375,0.05154761904761905,0.6029761904761904,0.2208224533537507,0.10609979211661166,0.0552674433511685,0.11569519133943197,0.1841893351747811,NA,0.09574271077563382,0.03648615637408101,0.11785113019775793,0.010819297262191729,0.11785113019775793,0.09574271077563382,0.023139038267886394,0.049957464900850665,7
13,1.3062117666067683,0.7233035714285714,0.23756249999999998,0.3194444444444444,0.10303949636968505,NaN,0.325,0.820047619047619,0.2,0.8241071428571429,0.2,0.325,0.06388888888888888,0.5704761904761905,0.25124513773395224,0.1317996617333231,0.05714919574977131,0.16762448383841355,0.21961833584625928,NA,0.26299556396765833,0.04350969981891478,NA,0.0716159908901048,NA,0.26299556396765833,0.033524896767682714,0.16113214343911006,8
13,1.3250769762837589,0.7056845238095238,0.24057142857142855,0.3678571428571428,0.16139060650338846,NaN,0.3,0.8320000000000001,NaN,0.8373809523809523,NaN,0.3,0.07357142857142857,0.5625,0.17483401196204376,0.1156460978313821,0.06364376996091205,0.11880928523690142,0.15393027095040349,NA,0.18257418583505536,0.030437144299135882,NA,0.04791850287322725,NA,0.18257418583505536,0.023761857047380288,0.1084699992658834,9
13,1.3202454026928805,0.7212559523809524,0.22575099206349206,0.31845238095238093,0.09873515634323905,NaN,0.3,0.8178571428571428,0.31666666666666665,0.8282738095238096,0.31666666666666665,0.3,0.06369047619047619,0.559404761904762,0.23204546928580175,0.10806655932202701,0.031993542970057194,0.08272881642614835,0.10319180993792966,NA,0.08164965809277261,0.021744583429930162,0.07071067811865474,0.009442860344675244,0.07071067811865474,0.08164965809277261,0.01654576328522967,0.045807403508334336,10
13,1.343486375344137,0.6923392857142857,0.24003571428571427,0.2837301587301587,0.04558437877923173,NaN,0.35000000000000003,0.8082857142857143,NaN,0.837936507936508,NaN,0.35000000000000003,0.056746031746031746,0.5903571428571428,0.21099221344693206,0.12498909013236476,0.04856522737348967,0.20017078246256492,0.28835295635716474,NA,0.17320508075688773,0.057995490741385144,NA,0.04251939222333231,NA,0.17320508075688773,0.04003415649251298,0.10490997832681181,11
13,1.3788627710617478,0.6777440476190476,0.2271547619047619,0.2839285714285714,0.05258248829677402,NaN,0.35000000000000003,0.8094285714285714,0.26666666666666666,0.8408333333333333,0.26666666666666666,0.35000000000000003,0.05678571428571429,0.5901190476190477,0.20541941690510365,0.13197831779659008,0.046113911769850545,0.17566080293302438,0.24629558105143975,NA,0.17320508075688773,0.049532864455063684,NA,0.05536196428909554,NA,0.17320508075688773,0.03513216058660488,0.10728447430926609,12
13,1.3614400647533609,0.6731279761904762,0.24183333333333332,0.36726190476190473,0.16695822890559733,NaN,0.425,0.8324285714285714,NaN,0.8617261904761905,NaN,0.425,0.07345238095238095,0.6367857142857143,0.18487183142635913,0.08644607931400673,0.055390857770850385,0.14887696884290683,0.2091094783804587,NA,0.09574271077563382,0.04198072119891406,NA,0.02860670771653806,NA,0.09574271077563382,0.029775393768581366,0.06197233796391364,13
