taq,cycles,sample_name,mean_error,sd_error,total_seqs,chimera_prevalence,seq_error_prevalence
ACC,15x,DNA1,0.06508571111111111,0.08617137147162629,45,0.3333333333333333,0.6666666666666666
ACC,15x,DNA2,0.06665468181818182,0.08417690372824894,22,0.2727272727272727,0.4090909090909091
ACC,15x,DNA3,0.04545454166666667,0.08185438924885174,24,0.16666666666666666,0.2916666666666667
ACC,15x,DNA4,0.020289933333333333,0.05381319527192854,30,0.06666666666666667,0.26666666666666666
ACC,20x,DNA1,0.019047753554502368,0.0572051046825279,211,0.061611374407582936,0.14691943127962084
ACC,20x,DNA2,0.021846074257425744,0.06334268993898112,202,0.08415841584158416,0.12376237623762376
ACC,20x,DNA3,0.0076266038647343,0.035801684800589505,207,0.024154589371980676,0.04830917874396135
ACC,20x,DNA4,0.011523100529100529,0.046890464281079146,189,0.042328042328042326,0.06878306878306878
ACC,25x,DNA1,4.0301093033798415e-4,0.007975822228470278,19853,0.0019140684027602881,0.008915529139172922
ACC,25x,DNA2,3.843533376963351e-4,0.007788532942666454,15280,0.0020287958115183247,0.008704188481675392
ACC,25x,DNA3,2.6529178351930306e-4,0.005980234055541894,16759,0.0011933886270063846,0.009010084133898203
ACC,25x,DNA4,3.743877959796838e-4,0.007504168575498397,13979,0.0016453251305529723,0.008083553902281994
ACC,30x,A,2.2190028292647543e-4,0.004884331773208733,27569,0.001559722877144619,0.012151329391708078
ACC,30x,B,4.318345735225686e-4,0.007536327216617681,42980,0.0021870637505816658,0.01482084690553746
ACC,30x,C,2.0658332918123895e-4,0.0033394207321648345,20873,0.002155895175585685,0.014276816940545202
ACC,30x,D,2.0068088702094312e-4,0.004443746353029271,35095,0.0019945861233793987,0.011112694115970935
ACC,30x,DNA1,0.004621376524390244,0.02484425442761605,656,0.04420731707317073,0.051829268292682924
ACC,30x,DNA10,0.005496646706586826,0.029142701015132274,334,0.02694610778443114,0.04491017964071856
ACC,30x,DNA2,0.0015182056953642385,0.01643775319811226,755,0.0039735099337748344,0.01456953642384106
ACC,30x,DNA3,0.0066245279805352796,0.03491865785495325,411,0.0267639902676399,0.0364963503649635
ACC,30x,DNA4,0.002783790365448505,0.02171821262460398,602,0.008305647840531562,0.03322259136212625
ACC,30x,DNA5,9.505293670886076e-4,0.01285135221689094,711,0.0014064697609001407,0.016877637130801686
ACC,30x,DNA6,0.003369406557377049,0.02352869392873438,305,0.013114754098360656,0.03278688524590164
ACC,30x,DNA7,0.03830437142857143,0.0740214663319313,168,0.16666666666666666,0.2261904761904762
ACC,30x,DNA8,0.006286184501845019,0.032886654905327925,271,0.02952029520295203,0.03690036900369004
ACC,30x,DNA9,0.005946659459459459,0.032309970471019744,222,0.02702702702702703,0.04954954954954955
ACC,35x,DNA1,3.069208532289629e-4,0.004819161580295267,53655,0.014220482713633398,0.018041189078371076
ACC,35x,DNA2,4.027720847390355e-4,0.005833885916842106,50390,0.015320500099226036,0.020639015677713833
ACC,35x,DNA3,3.082015785693767e-4,0.004041605034611774,55696,0.016805515656420567,0.02141985061763861
ACC,35x,DNA4,6.835522624877568e-4,0.010356109661559565,45945,0.015083251714005876,0.021221025138752857
K,15x,DNA1,0.07951251666666667,0.09182370386732923,60,0.4,0.5166666666666667
K,15x,DNA2,0.1019069875,0.1028333101013103,80,0.325,0.65
K,15x,DNA3,0.14244652777777778,0.09485448877050949,72,0.5416666666666666,0.8888888888888888
K,15x,DNA4,0.08797460606060606,0.09951177693811364,66,0.2727272727272727,0.5
K,20x,DNA1,0.019154751479289942,0.058589674909065026,338,0.08875739644970414,0.12721893491124261
K,20x,DNA2,0.05296632421875,0.08551207626446207,256,0.21484375,0.29296875
K,20x,DNA3,0.04587038910505836,0.08230650403192558,257,0.16342412451361868,0.245136186770428
K,20x,DNA4,0.02327028826530612,0.061880084287542096,392,0.08673469387755102,0.13010204081632654
K,25x,DNA1,0.010782217221135029,0.042821228352322424,511,0.046966731898238745,0.06457925636007827
K,25x,DNA2,0.014565900473933649,0.049888979627880095,1266,0.06635071090047394,0.08846761453396525
K,25x,DNA3,0.010766864503816793,0.04362142608029525,1048,0.04007633587786259,0.06202290076335878
K,25x,DNA4,0.006097092929292929,0.0334320418744402,1485,0.028956228956228958,0.03636363636363636
K,30x,DNA1,0.010606748719101123,0.04350581196277051,2225,0.041797752808988765,0.060674157303370786
K,30x,DNA10,0.0014495179262394196,0.01652235228524816,4962,0.010882708585247884,0.010882708585247884
K,30x,DNA2,0.0086356630345801,0.03956420657643908,2834,0.03599153140437544,0.0497529992942837
K,30x,DNA3,0.02054340694552529,0.05718051423870186,514,0.08949416342412451,0.13229571984435798
K,30x,DNA4,0.008954553046272493,0.04015679161687673,1556,0.04177377892030849,0.055912596401028275
K,30x,DNA5,0.00999426060326087,0.042983903567012864,1840,0.04619565217391304,0.058152173913043476
K,30x,DNA6,0.006880998936078936,0.03528509196771324,2331,0.032175032175032175,0.043758043758043756
K,30x,DNA7,0.0015654412932330829,0.017202765188485507,4655,0.008807733619763695,0.014607948442534909
K,30x,DNA8,0.003150842447665056,0.025427825191825147,1863,0.015029522275899088,0.019860440150295224
K,30x,DNA9,0.002212793149314561,0.020413004373887073,2699,0.00889218228973694,0.02037791774731382
K,35x,DNA1,0.012840665078534031,0.04685708626684738,573,0.06282722513089005,0.078534031413612565
K,35x,DNA2,0.02465588293598234,0.0630991238388426,453,0.09492273730684327,0.15011037527593818
K,35x,DNA3,0.006195633910088865,0.03313636488537338,1913,0.03240982749607946,0.042341871406168324
K,35x,DNA4,0.0064482287729779415,0.033606575409761356,2176,0.03400735294117647,0.04044117647058824
PHU,15x,DNA1,0.044749425531914896,0.08420972586030168,47,0.1276595744680851,0.5531914893617021
PHU,15x,DNA2,0.12754607692307693,0.0934602295396239,39,0.5128205128205128,0.7692307692307693
PHU,15x,DNA3,0.025409571428571427,0.06202957688301375,7,0.14285714285714285,0.5714285714285714
PHU,15x,DNA4,0.021395307692307693,0.05581704633521058,39,0.23076923076923078,0.2564102564102564
PHU,20x,DNA1,0.004313167933130699,0.028254039697139213,1316,0.012917933130699088,0.028875379939209727
PHU,20x,DNA2,0.006108590390879479,0.03471690496677167,1228,0.02280130293159609,0.030944625407166124
PHU,20x,DNA3,0.0017030720100187852,0.016836244096960294,1597,0.008766437069505322,0.013149655604257984
PHU,20x,DNA4,0.0021282810539523214,0.01928894059950947,1594,0.009410288582183186,0.014429109159347553
PHU,25x,DNA1,2.2097027899945022e-4,0.006483658493651491,29104,0.001065145684442001,0.002611324903793293
PHU,25x,DNA2,3.8755413182755996e-4,0.008336506924130184,18418,0.0019546096210229123,0.003366272125095016
PHU,25x,DNA3,1.0650777047961335e-4,0.004100074910940962,40345,7.683727847316892e-4,0.0021811872598835047
PHU,25x,DNA4,2.2139835529676167e-4,0.006091332620648672,19578,9.70477066094596e-4,0.002247420574113801
PHU,30x,DNA1,5.094803261994687e-4,0.008910380446682886,35745,0.017848650160861658,0.00800111903762764
PHU,30x,DNA2,5.291729119363737e-4,0.009176368663334374,31182,0.012058238727470976,0.008787120774805977
PHU,30x,DNA3,3.3353068243440544e-4,0.0071927548238388235,23973,0.013473491010720394,0.006173611980144329
