Group,numOTUs,cycles,taq,sample_type,sample_name
20x_PL_Mock_DNA1,17,20x,PL,Mock,DNA1
20x_PL_Mock_DNA2,20,20x,PL,Mock,DNA2
20x_PL_Mock_DNA3,17,20x,PL,Mock,DNA3
20x_PL_Mock_DNA4,16,20x,PL,Mock,DNA4
25x_ACC_Mock_DNA1,29,25x,ACC,Mock,DNA1
25x_ACC_Mock_DNA2,25,25x,ACC,Mock,DNA2
25x_ACC_Mock_DNA3,22,25x,ACC,Mock,DNA3
25x_ACC_Mock_DNA4,26,25x,ACC,Mock,DNA4
25x_PHU_Mock_DNA1,25,25x,PHU,Mock,DNA1
25x_PHU_Mock_DNA2,25,25x,PHU,Mock,DNA2
25x_PHU_Mock_DNA3,21,25x,PHU,Mock,DNA3
25x_PHU_Mock_DNA4,22,25x,PHU,Mock,DNA4
25x_PL_Mock_DNA1,31,25x,PL,Mock,DNA1
25x_PL_Mock_DNA2,29,25x,PL,Mock,DNA2
25x_PL_Mock_DNA3,44,25x,PL,Mock,DNA3
25x_PL_Mock_DNA4,37,25x,PL,Mock,DNA4
25x_Q5_Mock_DNA1,29,25x,Q5,Mock,DNA1
25x_Q5_Mock_DNA2,20,25x,Q5,Mock,DNA2
25x_Q5_Mock_DNA3,22,25x,Q5,Mock,DNA3
25x_Q5_Mock_DNA4,21,25x,Q5,Mock,DNA4
30x_PHU_Mock_DNA1,62,30x,PHU,Mock,DNA1
30x_PHU_Mock_DNA2,49,30x,PHU,Mock,DNA2
30x_PHU_Mock_DNA3,45,30x,PHU,Mock,DNA3
30x_PHU_Mock_DNA4,47,30x,PHU,Mock,DNA4
30x_PL_Mock_DNA10,104,30x,PL,Mock,DNA10
30x_PL_Mock_DNA1,96,30x,PL,Mock,DNA1
30x_PL_Mock_DNA2,103,30x,PL,Mock,DNA2
30x_PL_Mock_DNA3,99,30x,PL,Mock,DNA3
30x_PL_Mock_DNA4,92,30x,PL,Mock,DNA4
30x_PL_Mock_DNA5,84,30x,PL,Mock,DNA5
30x_PL_Mock_DNA6,100,30x,PL,Mock,DNA6
30x_PL_Mock_DNA7,81,30x,PL,Mock,DNA7
30x_PL_Mock_DNA8,99,30x,PL,Mock,DNA8
30x_PL_Mock_DNA9,93,30x,PL,Mock,DNA9
30x_Q5_Mock_DNA10,73,30x,Q5,Mock,DNA10
30x_Q5_Mock_DNA1,57,30x,Q5,Mock,DNA1
30x_Q5_Mock_DNA2,50,30x,Q5,Mock,DNA2
30x_Q5_Mock_DNA4,52,30x,Q5,Mock,DNA4
30x_Q5_Mock_DNA5,50,30x,Q5,Mock,DNA5
30x_Q5_Mock_DNA6,56,30x,Q5,Mock,DNA6
30x_Q5_Mock_DNA7,62,30x,Q5,Mock,DNA7
30x_Q5_Mock_DNA8,58,30x,Q5,Mock,DNA8
30x_Q5_Mock_DNA9,67,30x,Q5,Mock,DNA9
35x_ACC_Mock_DNA1,43,35x,ACC,Mock,DNA1
35x_ACC_Mock_DNA2,50,35x,ACC,Mock,DNA2
35x_ACC_Mock_DNA3,45,35x,ACC,Mock,DNA3
35x_ACC_Mock_DNA4,45,35x,ACC,Mock,DNA4
35x_PHU_Mock_DNA1,58,35x,PHU,Mock,DNA1
35x_PHU_Mock_DNA2,61,35x,PHU,Mock,DNA2
35x_PHU_Mock_DNA3,61,35x,PHU,Mock,DNA3
35x_PHU_Mock_DNA4,56,35x,PHU,Mock,DNA4
35x_PL_Mock_DNA1,172,35x,PL,Mock,DNA1
35x_PL_Mock_DNA2,194,35x,PL,Mock,DNA2
35x_PL_Mock_DNA3,192,35x,PL,Mock,DNA3
35x_PL_Mock_DNA4,195,35x,PL,Mock,DNA4
35x_Q5_Mock_DNA1,74,35x,Q5,Mock,DNA1
35x_Q5_Mock_DNA2,81,35x,Q5,Mock,DNA2
35x_Q5_Mock_DNA3,80,35x,Q5,Mock,DNA3
35x_Q5_Mock_DNA4,85,35x,Q5,Mock,DNA4
Zmock_A_111716,16,30x,ACC,Mock,NA
Zmock_B_111716,17,30x,ACC,Mock,NA
Zmock_C_111716,21,30x,ACC,Mock,NA
Zmock_D_111716,23,30x,ACC,Mock,NA
