taq,sub_sample_level,pvalue,bh
ACC,1000,0.001,0.00125
K,1000,0.066,0.066
PHU,1000,0.001,0.00125
PL,1000,0.001,0.00125
Q5,1000,0.001,0.00125
ACC,5000,0.001,0.002
K,5000,NA,NA
PHU,5000,0.101,0.13466666666666666
PL,5000,0.001,0.002
Q5,5000,0.588,0.588
ACC,10000,0.001,0.002
K,10000,NA,NA
PHU,10000,0.101,0.13466666666666666
PL,10000,0.001,0.002
Q5,10000,0.186,0.186
