Group,numOTUs,cycles,taq,sample_type,sample_name
15x_PHU_PMM_FS_DA10029,10,15x,PHU,FS,DA10029
15x_PHU_PMM_FS_DA10040,19,15x,PHU,FS,DA10040
15x_Q5_PMM_FS_DA10016,74,15x,Q5,FS,DA10016
15x_Q5_PMM_FS_DA10040,94,15x,Q5,FS,DA10040
20x_ACC_PMM_FS_DA10040,100,20x,ACC,FS,DA10040
20x_K_PMM_FS_DA10001,89,20x,K,FS,DA10001
20x_K_PMM_FS_DA10040,95,20x,K,FS,DA10040
20x_PHU_PMM_FS_DA10001,88,20x,PHU,FS,DA10001
20x_PHU_PMM_FS_DA10016,80,20x,PHU,FS,DA10016
20x_PHU_PMM_FS_DA10029,73,20x,PHU,FS,DA10029
20x_PHU_PMM_FS_DA10040,98,20x,PHU,FS,DA10040
20x_PL_PMM_FS_DA10001,89,20x,PL,FS,DA10001
20x_PL_PMM_FS_DA10016,72,20x,PL,FS,DA10016
20x_PL_PMM_FS_DA10029,87,20x,PL,FS,DA10029
20x_PL_PMM_FS_DA10040,103,20x,PL,FS,DA10040
20x_Q5_PMM_FS_DA10001,82,20x,Q5,FS,DA10001
20x_Q5_PMM_FS_DA10016,82,20x,Q5,FS,DA10016
20x_Q5_PMM_FS_DA10029,63,20x,Q5,FS,DA10029
20x_Q5_PMM_FS_DA10040,89,20x,Q5,FS,DA10040
25x_ACC_PMM_FS_DA10001,92,25x,ACC,FS,DA10001
25x_ACC_PMM_FS_DA10016,77,25x,ACC,FS,DA10016
25x_ACC_PMM_FS_DA10029,76,25x,ACC,FS,DA10029
25x_ACC_PMM_FS_DA10040,109,25x,ACC,FS,DA10040
25x_K_PMM_FS_DA10001,90,25x,K,FS,DA10001
25x_K_PMM_FS_DA10016,85,25x,K,FS,DA10016
25x_K_PMM_FS_DA10029,85,25x,K,FS,DA10029
25x_K_PMM_FS_DA10040,103,25x,K,FS,DA10040
25x_PHU_PMM_FS_DA10001,91,25x,PHU,FS,DA10001
25x_PHU_PMM_FS_DA10016,71,25x,PHU,FS,DA10016
25x_PHU_PMM_FS_DA10029,79,25x,PHU,FS,DA10029
25x_PHU_PMM_FS_DA10040,102,25x,PHU,FS,DA10040
25x_PL_PMM_FS_DA10001,97,25x,PL,FS,DA10001
25x_PL_PMM_FS_DA10016,82,25x,PL,FS,DA10016
25x_PL_PMM_FS_DA10029,89,25x,PL,FS,DA10029
25x_PL_PMM_FS_DA10040,103,25x,PL,FS,DA10040
25x_Q5_PMM_FS_DA10001,96,25x,Q5,FS,DA10001
25x_Q5_PMM_FS_DA10016,88,25x,Q5,FS,DA10016
25x_Q5_PMM_FS_DA10029,85,25x,Q5,FS,DA10029
25x_Q5_PMM_FS_DA10040,106,25x,Q5,FS,DA10040
