Df,SumsOfSqs,MeanSqs,F.Model,R2,Pr(>F),x1
4,4.908329654600203,1.2270824136500507,75.62300275838871,0.43423353398299336,1e-4,polymerase
3,3.0795733201176754,1.026524440039225,63.2629558512918,0.27244584208013256,1e-4,cycles
10,2.5204407452912676,0.25204407452912675,15.533047765435143,0.22298011116608746,1e-4,interaction
49,0.7950892727832433,0.016226311689453946,NA,0.07034051277078657,NA,Residuals
66,11.30343299279239,NA,NA,1,NA,Total
