cycles,otu,genus,statistic,p.value,bh
20x,Otu0001,Salmonella,5.730122324159023,0.05697964603181601,0.23957462006172872
25x,Otu0001,Salmonella,8.385039717563997,0.07844945416990837,0.2973668555643366
30x,Otu0001,Salmonella,19.96364606808207,5.077194232034957e-4,0.01570228862868448
35x,Otu0001,Salmonella,3.8079922027290434,0.43261445710844887,0.5718526324694015
20x,Otu0002,Bifidobacterium,1.3425925925925875,0.5110456816001384,0.5876801752592561
25x,Otu0002,Bifidobacterium,14.4339378238342,0.006031451908615234,0.06495409747739483
30x,Otu0002,Bifidobacterium,7.686670513560268,0.10375409292880389,0.35001380747066374
35x,Otu0002,Bifidobacterium,5.319999999999976,0.25601049158544087,0.43932856352621336
20x,Otu0003,Blautia,4.57291666666667,0.10162574976974242,0.35001380747066374
25x,Otu0003,Blautia,14.036458333333323,0.0071796002616992954,0.07179600261699295
30x,Otu0003,Blautia,5.367380770211693,0.2516350857464751,0.43932856352621336
35x,Otu0003,Blautia,3.6690017513134663,0.45265048302951855,0.5791686387666262
20x,Otu0004,Staphylococcus,1.183409436834096,0.5533831178011788,0.6003972207929823
25x,Otu0004,Staphylococcus,8.967047451669593,0.06192843617419697,0.24826435086821
30x,Otu0004,Staphylococcus,20.109171808258182,4.752162718889854e-4,0.01570228862868448
35x,Otu0004,Staphylococcus,12.101755526658001,0.016610410380677145,0.1257004028808
20x,Otu0005,Anaerostipes,1.75,0.41686201967850844,0.5718526324694015
25x,Otu0005,Anaerostipes,11.25925925925927,0.023799738404011353,0.14234414079381216
30x,Otu0005,Anaerostipes,4.105235325224792,0.3919511007167724,0.5718526324694015
35x,Otu0005,Anaerostipes,5.319999999999976,0.25601049158544087,0.43932856352621336
20x,Otu0006,Roseburia,4.57291666666667,0.10162574976974242,0.35001380747066374
25x,Otu0006,Roseburia,17.84347826086957,0.001324115077192276,0.016119661809297275
30x,Otu0006,Roseburia,7.688888888888858,0.10366280868449095,0.35001380747066374
35x,Otu0006,Roseburia,9.569847856154889,0.04833164690905294,0.21764420745350258
20x,Otu0007,Escherichia/Shigella,4.231354642313545,0.12055160973878869,0.3750494525206759
25x,Otu0007,Escherichia/Shigella,10.045514511873357,0.03966793558403409,0.20603071652403118
30x,Otu0007,Escherichia/Shigella,23.06969050160087,1.2263073597290107e-4,0.008584151518103074
35x,Otu0007,Escherichia/Shigella,10.291098115659505,0.03579951373586445,0.19276661242388551
20x,Otu0008,Faecalibacterium,3.8499999999999996,0.14587575685622742,0.4176226829608766
25x,Otu0008,Faecalibacterium,11.25925925925927,0.023799738404011353,0.14234414079381216
30x,Otu0008,Faecalibacterium,14.057274560645357,0.0071144847297521605,0.07179600261699295
35x,Otu0008,Faecalibacterium,3.6690017513134663,0.45265048302951855,0.5791686387666262
20x,Otu0009,Ruminococcaceae_unclassified,1.2666666666666713,0.5308194505620127,0.5876801752592561
25x,Otu0009,Ruminococcaceae_unclassified,17.84347826086957,0.001324115077192276,0.016119661809297275
30x,Otu0009,Ruminococcaceae_unclassified,11.640757808499739,0.0202325238837629,0.14234414079381216
35x,Otu0009,Ruminococcaceae_unclassified,5.550000000000009,0.23536927450351647,0.43932856352621336
20x,Otu0010,Listeria,2.4942922374429237,0.2873236153858429,0.47024071216609614
25x,Otu0010,Listeria,5.207010582010583,0.26670870002027136,0.44188423671997623
30x,Otu0010,Listeria,8.3006645306752,0.08116501006588007,0.2973668555643366
35x,Otu0010,Listeria,7.036132812499996,0.13399104760775818,0.4122801464854098
20x,Otu0011,Bacillales_unclassified,0.8333333333333334,0.6592406302004438,0.6913384885997162
25x,Otu0011,Bacillales_unclassified,9.650326797385627,0.04674834858030859,0.21764420745350258
30x,Otu0011,Bacillales_unclassified,21.611812097174006,2.394164318074287e-4,0.013407320181216008
35x,Otu0011,Bacillales_unclassified,5.295319709953846,0.25831538229009227,0.43932856352621336
20x,Otu0012,Blautia,3.452380952380949,0.177961067203306,0.4258897334779973
25x,Otu0012,Blautia,17.84347826086957,0.001324115077192276,0.016119661809297275
30x,Otu0012,Blautia,10.439882049391816,0.03363525185829776,0.1846641278494779
35x,Otu0012,Blautia,2.540110650069138,0.6374680495386098,0.6735511466823046
25x,Otu0013,Faecalibacterium,5.3333333333333135,0.25477265448360753,0.43932856352621336
30x,Otu0013,Faecalibacterium,7.653636363636354,0.10512231597522553,0.3504077199174185
35x,Otu0013,Faecalibacterium,5.631578947368456,0.22840340551740887,0.43932856352621336
20x,Otu0014,Anaerostipes,3.8888888888888893,0.14306668275440818,0.4176226829608766
25x,Otu0014,Anaerostipes,5.3333333333333135,0.25477265448360753,0.43932856352621336
30x,Otu0014,Anaerostipes,6.400000000000088,0.1712012567091324,0.4176226829608766
