Df,Sum.Sq,Mean.Sq,F.value,pvalue,bh,cycle,sub_sample_level
2,448.90714285714296,224.45357142857148,3.957030668666217,0.050739175567523526,0.2536958778376176,15x,50
4,263.6083333333335,65.90208333333338,1.3938215431995706,0.2738121424728815,0.4563535707881358,20x,50
4,99.2333333333334,24.80833333333335,0.3721445865571875,0.8255406277584209,0.8255406277584209,25x,50
4,54.155294705294835,13.538823676323709,0.5423436088048286,0.7053902747644095,0.8255406277584209,30x,50
4,179.75999999999996,44.93999999999999,1.7762845849802364,0.1732412094404601,0.4331030236011502,35x,50
1,156.8000000000001,156.8000000000001,47.039999999999864,0.006345893826072752,0.03172946913036376,15x,100
4,508.3000000000001,127.07500000000003,0.8972359513228393,0.48715851615503747,0.8119308602583958,20x,100
4,297.51363636363675,74.37840909090919,0.4896442986215871,0.7433449115526305,0.8651186278847369,25x,100
4,79.49597657244719,19.873994143111798,0.31704826481535003,0.8651186278847369,0.8651186278847369,30x,100
4,622.4,155.6,1.4878561866513673,0.24339878463841566,0.6084969615960392,35x,100
2,120.16666666666674,60.08333333333337,10.107476635514029,0.004998824739261425,0.0066650996523485665,20x,500
4,1779.3000000000015,444.8250000000004,60.38348416289599,4.5552481048044095e-9,1.8220992419217638e-8,25x,500
4,1397.4981501057089,349.3745375264272,7.180531965756262,2.077571287558901e-4,4.155142575117802e-4,30x,500
4,3486.8760869565162,871.7190217391291,2.4831565990084314,0.08048780079379976,0.08048780079379976,35x,500
2,364.560606060606,182.280303030303,15.821798454709851,0.0016583177198969388,0.0022110902931959183,20x,1000
4,3478.5263157894738,869.6315789473684,75.15334632878502,2.656426897322048e-9,1.0625707589288193e-8,25x,1000
4,2206.575525525525,551.6438813813812,10.284035578603666,1.8040931439174908e-5,3.6081862878349816e-5,30x,1000
4,1971.9166666666658,492.97916666666646,2.307178549664837,0.10275317253627911,0.10275317253627911,35x,1000
3,267.1875000000001,89.06250000000004,9.437086092715235,0.00176071081808958,0.0020300245131810207,25x,5000
3,7731.35714285715,2577.11904761905,80.87722411619112,1.0914582955228531e-12,3.2743748865685594e-12,30x,5000
3,13086.285294117642,4362.0950980392145,8.66559742579173,0.0020300245131810207,0.0020300245131810207,35x,5000
3,400.5000000000002,133.50000000000009,7.135857461024501,0.005237769989061887,0.005237769989061887,25x,10000
3,18644.56296296297,6214.854320987656,115.98640813268108,4.970870384927062e-14,1.4912611154781186e-13,30x,10000
3,50519.50000000002,16839.83333333334,435.98274002157495,1.649311410974954e-12,2.473967116462431e-12,35x,10000
