taq,cycles,sample_name,at_rate,ag_rate,ac_rate,ta_rate,tg_rate,tc_rate,ga_rate,gt_rate,gc_rate,ca_rate,ct_rate,cg_rate,at_seq_prev,ag_seq_prev,ac_seq_prev,ta_seq_prev,tg_seq_prev,tc_seq_prev,ga_seq_prev,gt_seq_prev,gc_seq_prev,ca_seq_prev,ct_seq_prev,cg_seq_prev
ACC,25x,DNA1,0,7.905138339920948e-6,0,0,0,7.905138339920948e-6,3.9525691699604744e-5,1.5810276679841896e-5,0,0,0,0,0,0.002,0,0,0,0.002,0.004,0.004,0,0,0,0
ACC,25x,DNA2,0,7.905138339920948e-6,1.5810276679841896e-5,0,3.162055335968379e-5,0,7.905138339920948e-6,7.905138339920948e-6,0,1.5810276679841896e-5,7.905138339920948e-6,0,0,0.002,0.002,0,0.002,0,0.002,0.002,0,0.002,0.002,0
ACC,25x,DNA3,0,2.371522754760832e-5,0,7.905075849202773e-6,1.5810151698405546e-5,0,0,0,0,1.5810151698405546e-5,1.5810151698405546e-5,1.5810151698405546e-5,0,0.004,0,0.002,0.002,0,0,0,0,0.002,0.004,0.002
ACC,25x,DNA4,5.533596837944664e-5,2.3715415019762845e-5,2.3715415019762845e-5,4.743083003952569e-5,3.162055335968379e-5,4.743083003952569e-5,3.9525691699604744e-5,2.3715415019762845e-5,1.5810276679841896e-5,7.905138339920948e-6,5.533596837944664e-5,0,0.004,0.002,0.002,0.002,0.002,0.004,0.004,0.002,0.002,0.002,0.006,0
ACC,30x,DNA1,2.5296442687747033e-4,6.245059288537549e-4,9.486166007905138e-5,4.4268774703557314e-4,3.952569169960474e-4,5.849802371541502e-4,7.58893280632411e-4,3.794466403162055e-4,1.5810276679841898e-4,1.5810276679841898e-4,8.853754940711463e-4,1.8972332015810276e-4,0.016,0.054,0.018,0.054,0.054,0.052,0.052,0.02,0.014,0.018,0.054,0.02
ACC,30x,DNA2,4.743083003952569e-5,1.0276679841897233e-4,3.162055335968379e-5,8.695652173913044e-5,1.2648221343873516e-4,1.1857707509881423e-4,1.818181818181818e-4,9.486166007905138e-5,6.324110671936758e-5,6.324110671936758e-5,1.4229249011857707e-4,6.324110671936758e-5,0.004,0.006,0.006,0.006,0.006,0.008,0.012,0.006,0.006,0.008,0.012,0.004
ACC,30x,DNA4,2.2134212377767764e-4,3.003928822697054e-4,7.905075849202773e-5,3.082979581189081e-4,2.687725788728943e-4,3.241081098173137e-4,3.7153856491253036e-4,2.687725788728943e-4,1.8972182038086655e-4,1.0276598603963605e-4,3.557284132141248e-4,1.9762689623006933e-4,0.012,0.018,0.012,0.016,0.018,0.018,0.03,0.014,0.016,0.014,0.028,0.014
ACC,30x,DNA5,9.486091019043327e-5,6.324060679362218e-5,2.371522754760832e-5,8.69558343412305e-5,8.69558343412305e-5,7.905075849202773e-5,8.69558343412305e-5,8.69558343412305e-5,4.743045509521664e-5,7.905075849202773e-6,1.422913652856499e-4,3.162030339681109e-5,0.006,0.004,0.004,0.004,0.004,0.004,0.012,0.01,0.006,0.002,0.016,0.004
ACC,30x,NA,1.3833964755010366e-5,2.1739087472159148e-5,7.90512271714878e-6,1.3833964755010366e-5,1.7786526113584754e-5,7.90512271714878e-6,5.9288420378615855e-5,1.581024543429756e-5,1.1857684075723171e-5,5.928842037861586e-6,4.1501894265031093e-5,5.928842037861586e-6,0.004,0.014,0.008,0.008,0.006,0.006,0.042,0.01,0.002,0.006,0.026,0.002
ACC,35x,DNA1,7.905138339920948e-6,2.3715415019762845e-5,7.905138339920948e-6,0,1.5810276679841896e-5,1.5810276679841896e-5,7.114624505928854e-5,1.5810276679841896e-5,7.905138339920948e-6,7.905138339920948e-6,9.486166007905138e-5,7.905138339920948e-6,0.002,0.006,0.002,0,0.002,0.004,0.016,0.004,0.002,0.002,0.016,0.002
ACC,35x,DNA2,7.905138339920948e-6,6.324110671936758e-5,7.905138339920948e-6,2.3715415019762845e-5,7.905138339920949e-5,7.905138339920948e-6,9.486166007905138e-5,1.5810276679841896e-5,0,1.5810276679841896e-5,3.9525691699604744e-5,0,0.002,0.016,0.002,0.006,0.01,0.002,0.016,0.004,0,0.002,0.01,0
ACC,35x,DNA3,6.324110671936758e-5,5.533596837944664e-5,7.905138339920948e-6,3.162055335968379e-5,3.9525691699604744e-5,4.743083003952569e-5,1.0276679841897233e-4,4.743083003952569e-5,2.3715415019762845e-5,7.905138339920948e-6,1.1857707509881423e-4,3.162055335968379e-5,0.006,0.008,0.002,0.002,0.004,0.004,0.014,0.006,0.002,0.002,0.014,0.004
ACC,35x,DNA4,7.905138339920948e-6,1.5810276679841896e-5,7.905138339920948e-6,0,1.5810276679841896e-5,3.162055335968379e-5,7.114624505928854e-5,1.5810276679841896e-5,0,0,5.533596837944664e-5,7.905138339920948e-6,0.002,0.004,0.002,0,0.004,0.008,0.012,0.004,0,0,0.012,0.002
ACC,35x,NA,7.430830039525691e-4,0.0011462450592885376,3.162055335968379e-5,3.241106719367589e-4,0.0011620553359683794,7.66798418972332e-4,0.0014545454545454545,8.695652173913044e-4,2.4505928853754943e-4,4.6640316205533595e-4,0.0010434782608695651,4.189723320158103e-4,0.064,0.054,0.006,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.062,0.054
K,25x,DNA1,0.0012490118577075098,0.0011383399209486166,3.794466403162055e-4,0.00108300395256917,0.001075098814229249,0.001225296442687747,8.853754940711463e-4,8.142292490118577e-4,6.403162055335968e-4,3.241106719367589e-4,9.328063241106719e-4,4.901185770750989e-4,0.062,0.058,0.04,0.058,0.054,0.058,0.058,0.058,0.058,0.048,0.062,0.052
