chi2,Z,pvalue,bh,comparisons,cycle,sub_sample_level
20.415010636789116,-0.8435729806637106,0.19945403401638268,0.22161559335153633,ACC - K,30x,50
20.415010636789116,2.0221451613945134,0.021580678810560194,0.04316135762112039,ACC - PHU,30x,50
20.415010636789116,2.6890481592631392,0.0035828040314482192,0.011942680104827397,K - PHU,30x,50
20.415010636789116,1.4461251097092183,0.07407105704765357,0.10581579578236225,ACC - PL,30x,50
20.415010636789116,2.289698090372929,0.01101941209806873,0.027548530245171822,K - PL,30x,50
20.415010636789116,-0.8788828793340112,0.18973239123493504,0.2371654890436688,PHU - PL,30x,50
20.415010636789116,3.1332710710366403,8.643485562672852e-4,0.004321742781336426,ACC - Q5,30x,50
20.415010636789116,3.976844051700351,3.491796534325273e-5,3.491796534325273e-4,K - Q5,30x,50
20.415010636789116,0.45492311640324146,0.3245822758687933,0.3245822758687933,PHU - Q5,30x,50
20.415010636789116,1.6871459613274218,0.045787644608638295,0.07631274101439717,PL - Q5,30x,50
14.72161575949273,-0.6159838249855228,0.268952597657772,0.336190747072215,ACC - K,30x,100
14.72161575949273,1.5784695069350552,0.05722889403430384,0.09538149005717307,ACC - PHU,30x,100
14.72161575949273,2.045754423088525,0.02039026912702892,0.0509756728175723,K - PHU,30x,100
14.72161575949273,1.7859706009401024,0.03705200919178688,0.07410401838357376,ACC - PL,30x,100
14.72161575949273,2.3589126647269043,0.009164284366005662,0.030547614553352205,K - PL,30x,100
14.72161575949273,-0.16653577366745986,0.43386766645513386,0.43386766645513386,PHU - PL,30x,100
14.72161575949273,2.709485313392035,0.0033693844259942802,0.016846922129971402,ACC - Q5,30x,100
14.72161575949273,3.2601707399777897,5.567258177751415e-4,0.005567258177751415,K - Q5,30x,100
14.72161575949273,0.5635667123384331,0.28652452319946586,0.31836058133273987,PHU - Q5,30x,100
14.72161575949273,0.923514712451933,0.17786951843750584,0.2540993120535798,PL - Q5,30x,100
9.301754385964918,3.0451284073982596,0.0011629049337399675,0.0034887148012199025,PHU - PL,20x,500
9.301754385964918,1.3752192807605044,0.08453173626799815,0.08453173626799815,PHU - Q5,20x,500
9.301754385964918,-1.6699091266377553,0.047468672175237925,0.07120300826285689,PL - Q5,20x,500
11.792609351432876,-2.334208519341129,0.009792403017310986,0.03264134339103662,ACC - K,25x,500
11.792609351432876,0.05985150049592639,0.4761369537989213,0.4761369537989213,ACC - PHU,25x,500
11.792609351432876,2.3940600198370556,0.008331510906759706,0.04165755453379853,K - PHU,25x,500
11.792609351432876,0.8977725074388958,0.18465342227646422,0.30775570379410705,ACC - PL,25x,500
11.792609351432876,3.231981026780025,6.146760919935857e-4,0.006146760919935857,K - PL,25x,500
11.792609351432876,0.8379210069429694,0.2010375348890173,0.2871964784128819,PHU - PL,25x,500
11.792609351432876,-0.7182180059511167,0.23631143868300347,0.2625682652033372,ACC - Q5,25x,500
11.792609351432876,1.6159905133900125,0.05304818214099376,0.10609636428198752,K - Q5,25x,500
11.792609351432876,-0.7780695064470431,0.21826401916867808,0.2728300239608476,PHU - Q5,25x,500
11.792609351432876,-1.6159905133900125,0.05304818214099376,0.1326204553524844,PL - Q5,25x,500
18.721762749445702,-1.8272330140966915,0.033832371003958354,0.08458092750989589,ACC - K,30x,500
18.721762749445702,1.1795169191671757,0.1190962017987812,0.2381924035975624,ACC - PHU,30x,500
18.721762749445702,3.029135523694166,0.001226273184303557,0.004087577281011856,K - PHU,30x,500
18.721762749445702,1.1245841803591092,0.13038264021528229,0.21730440035880383,ACC - PL,30x,500
18.721762749445702,3.6787746544882194,1.1717861065792857e-4,0.0011717861065792857,K - PL,30x,500
18.721762749445702,-0.31631540015071263,0.3758815615887516,0.4176461795430573,PHU - PL,30x,500
18.721762749445702,0.9682773237093575,0.16645294333021715,0.23778991904316737,ACC - Q5,30x,500
18.721762749445702,3.4237869491501267,3.087750773245589e-4,0.0015438753866227944,K - Q5,30x,500
18.721762749445702,-0.44099586383137024,0.32960799568915483,0.41200999461144355,PHU - Q5,30x,500
18.721762749445702,-0.174416988940419,0.4307688818551506,0.4307688818551506,PL - Q5,30x,500
9.988043478260863,-2.077048491196729,0.01889854195435902,0.09449270977179511,ACC - K,35x,500
9.988043478260863,0.6993786061802355,0.24215772708083694,0.3026971588510462,ACC - PHU,35x,500
9.988043478260863,2.736428964592516,0.0031055001494079584,0.031055001494079585,K - PHU,35x,500
9.988043478260863,-1.3521319719484546,0.08816655053818989,0.17633310107637978,ACC - PL,35x,500
9.988043478260863,0.802246242631541,0.21120526593177233,0.30172180847396046,K - PL,35x,500
9.988043478260863,-2.05151057812869,0.020108625279126633,0.06702875093042211,PHU - PL,35x,500
9.988043478260863,0.06593804733957886,0.47371357454224844,0.47371357454224844,ACC - Q5,35x,500
9.988043478260863,2.033015537056479,0.02102547665762616,0.0525636916440654,K - Q5,35x,500
9.988043478260863,-0.5934424260562083,0.27644255143476865,0.3071583904830763,PHU - Q5,35x,500
9.988043478260863,1.340740295904767,0.09000239330187719,0.150003988836462,PL - Q5,35x,500
7.848484848484851,2.7716093126229358,0.002788997001699134,0.008366991005097402,PHU - PL,20x,1000
7.848484848484851,0.9211323729436766,0.17849066020398735,0.17849066020398735,PHU - Q5,20x,1000
7.848484848484851,-1.6448792373994228,0.04999735870568389,0.07499603805852584,PL - Q5,20x,1000
23.740840336134454,-2.572184762761321,0.0050529471438000495,0.012632367859500124,ACC - K,30x,1000
