statistic,parameter,pvalue,bh,cycle,sub_sample_level
7.555156950672649,2,0.02287802410295414,0.1143901205147707,15x,50
8.31404125113327,4,0.08072866107156315,0.13454776845260527,20x,50
9.049040247677997,4,0.05988532858759563,0.13454776845260527,25x,50
4.901101699487472,4,0.29759643214550974,0.29759643214550974,30x,50
7.197125748502995,4,0.12583056009171129,0.15728820011463912,35x,50
2.1052631578947367,1,0.1467930873085707,0.1467930873085707,15x,100
9.497363796133563,4,0.049801443737707785,0.06225180467213473,20x,100
10.278285123966963,4,0.03599203995048478,0.059986733250807965,25x,100
11.912787081339726,4,0.018011724535208183,0.059986733250807965,30x,100
10.64787363304981,4,0.03081989400406088,0.059986733250807965,35x,100
10.057142857142857,2,0.006548158403941078,0.008730877871921436,20x,500
15.721936758893275,4,0.0034159066766997373,0.0068318133533994746,25x,500
17.937613989570764,4,0.001269228456777896,0.005076913827111584,30x,500
12.555519801980187,4,0.013664735824781147,0.013664735824781147,35x,500
9.116279069767439,2,0.010481541356691059,0.013975388475588078,20x,1000
15.992805755395677,4,0.0030288324598185647,0.00939752980444299,25x,1000
15.001182639314155,4,0.004698764902221495,0.00939752980444299,30x,1000
10.853381014304285,4,0.028262179062832647,0.028262179062832647,35x,1000
11.954511834319526,3,0.0075406192593244666,0.0075406192593244666,25x,5000
18.750981146594846,3,3.078006510300276e-4,9.234019530900827e-4,30x,5000
14.743558282208582,3,0.0020494422863991824,0.0030741634295987736,35x,5000
11.852876106194692,3,0.007904518870406285,0.007904518870406285,25x,10000
18.124130056546317,3,4.1466680133542055e-4,0.0012440004040062617,30x,10000
14.117647058823536,3,0.0027493108585359034,0.004123966287803855,35x,10000
