taq,cycles,sample_name,at_rate,ag_rate,ac_rate,ta_rate,tg_rate,tc_rate,ga_rate,gt_rate,gc_rate,ca_rate,ct_rate,cg_rate,at_seq_prev,ag_seq_prev,ac_seq_prev,ta_seq_prev,tg_seq_prev,tc_seq_prev,ga_seq_prev,gt_seq_prev,gc_seq_prev,ca_seq_prev,ct_seq_prev,cg_seq_prev
ACC,20x,DNA1,0.0025296442687747036,0.002766798418972332,4.743083003952569e-4,0.0022529644268774705,0.002490118577075099,0.0026086956521739132,0.002173913043478261,0.0021343873517786563,0.0012648221343873518,0.0010671936758893281,0.002015810276679842,0.0012648221343873518,0.16,0.12,0.07,0.11,0.11,0.11,0.12,0.13,0.12,0.1,0.18,0.1
ACC,20x,DNA2,0.0021343873517786563,0.0028853754940711463,7.509881422924901e-4,0.0020553359683794467,0.002569169960474308,0.0024110671936758894,0.002173913043478261,0.0016600790513833991,0.001225296442687747,7.905138339920949e-4,0.0016600790513833991,0.0010671936758893281,0.1,0.11,0.06,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.1
ACC,20x,DNA3,8.300067191020118e-4,4.7428955377257817e-4,2.3714477688628908e-4,6.71910201177819e-4,5.928619422157227e-4,7.509584601399155e-4,7.114343306588672e-4,6.323860716967709e-4,5.138136832536263e-4,3.1619303584838544e-4,7.114343306588672e-4,3.557171653294336e-4,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03
ACC,20x,DNA4,0.0013043478260869566,0.0018972332015810276,3.1620553359683795e-4,0.0015415019762845849,0.0019367588932806324,0.0015810276679841897,0.0013438735177865612,0.0010276679841897233,9.486166007905138e-4,4.743083003952569e-4,9.090909090909091e-4,8.300395256916996e-4,0.06,0.08,0.03,0.09,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.07
ACC,25x,DNA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACC,25x,DNA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACC,25x,DNA3,0,0,0,0,7.905138339920949e-5,0,0,0,0,7.905138339920949e-5,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0
ACC,25x,DNA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACC,30x,DNA1,0,5.928853754940712e-4,0,1.976284584980237e-4,2.3715415019762845e-4,3.952569169960474e-4,3.952569169960474e-4,0,0,0,6.719367588932806e-4,0,0,0.05,0,0.05,0.06,0.05,0.05,0,0,0,0.06,0
ACC,30x,DNA10,3.5573122529644266e-4,1.5810276679841898e-4,1.1857707509881423e-4,4.347826086956522e-4,3.1620553359683795e-4,2.3715415019762845e-4,2.3715415019762845e-4,3.1620553359683795e-4,2.3715415019762845e-4,7.905138339920949e-5,2.766798418972332e-4,1.5810276679841898e-4,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
ACC,30x,DNA2,0,0,0,0,0,3.9525691699604744e-5,3.9525691699604744e-5,0,0,0,3.9525691699604744e-5,0,0,0,0,0,0,0.01,0.01,0,0,0,0.01,0
ACC,30x,DNA3,0.00130429627287459,0.0014623927907987827,1.5809651792419272e-4,0.001343820402355638,8.300067191020118e-4,0.0016204893087229755,0.001067151495988301,0.001106675625469349,5.928619422157227e-4,3.952412948104818e-4,9.485791075451563e-4,5.533378127346745e-4,0.06,0.06,0.03,0.06,0.04,0.06,0.06,0.06,0.06,0.05,0.06,0.06
ACC,30x,DNA4,1.976284584980237e-4,3.952569169960474e-4,1.5810276679841898e-4,3.1620553359683795e-4,3.952569169960474e-4,3.5573122529644266e-4,3.5573122529644266e-4,3.5573122529644266e-4,1.5810276679841898e-4,1.5810276679841898e-4,3.952569169960474e-4,7.905138339920949e-5,0.02,0.03,0.02,0.02,0.02,0.02,0.04,0.02,0.02,0.02,0.03,0.01
ACC,30x,DNA5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACC,30x,DNA6,4.743083003952569e-4,4.347826086956522e-4,1.1857707509881423e-4,2.766798418972332e-4,3.5573122529644266e-4,4.743083003952569e-4,3.952569169960474e-4,3.1620553359683795e-4,2.766798418972332e-4,3.9525691699604744e-5,2.3715415019762845e-4,1.5810276679841898e-4,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01
