taq,cycles,sample_name,at_rate,ag_rate,ac_rate,ta_rate,tg_rate,tc_rate,ga_rate,gt_rate,gc_rate,ca_rate,ct_rate,cg_rate,at_seq_prev,ag_seq_prev,ac_seq_prev,ta_seq_prev,tg_seq_prev,tc_seq_prev,ga_seq_prev,gt_seq_prev,gc_seq_prev,ca_seq_prev,ct_seq_prev,cg_seq_prev
ACC,25x,DNA1,1.1857698136207007e-5,1.660077739068981e-5,6.324105672643737e-6,1.106718492712654e-5,1.5019750972528876e-5,1.2648211345287474e-5,4.031617366310383e-5,1.343872455436794e-5,7.1146188817242045e-6,3.952566045402336e-6,2.213436985425308e-5,4.743079254482803e-6,0.0014,0.0022,0.0012,6e-4,0.002,0.0012,0.0054,0.0014,8e-4,8e-4,0.0032,8e-4
ACC,25x,DNA2,3.162055335968379e-5,5.612648221343873e-5,1.5019762845849802e-5,2.450592885375494e-5,5.296442687747035e-5,5.4545454545454546e-5,4.743083003952569e-5,2.6877470355731225e-5,1.7391304347826085e-5,2.2924901185770752e-5,3.9525691699604744e-5,1.1067193675889328e-5,0.0018,0.0038,0.0014,0.0018,0.0026,0.0024,0.0062,0.0026,0.0018,0.0026,0.0046,0.0014
ACC,25x,DNA3,1.1857660641657543e-5,1.7391235607764398e-5,6.324085675550689e-6,1.4229192769989052e-5,1.3438682060545215e-5,9.486128513326034e-6,2.6086853411646595e-5,4.743064256663017e-6,3.952553547219181e-6,4.743064256663017e-6,2.2134299864427412e-5,3.1620428377753446e-6,0.0012,0.003,0.001,0.001,0.0018,0.0012,0.004,4e-4,4e-4,8e-4,0.0038,4e-4
ACC,25x,DNA4,3.399214860418752e-5,4.347832961000729e-5,1.0276696089638087e-5,3.8735239107097404e-5,4.031626927473403e-5,4.584987486146223e-5,4.743090502909886e-5,3.1620603352732575e-5,2.1343907263094488e-5,1.5810301676366287e-5,4.2687814526188976e-5,1.5019786592547973e-5,0.0026,0.0034,0.0014,0.002,0.0026,0.0034,0.005,0.003,0.002,0.0024,0.003,0.0016
ACC,30x,NA,1.7984147073168998e-5,2.6877406614845974e-5,1.0276655470382284e-5,1.7588891093538908e-5,2.4901126716695535e-5,2.5691638675955708e-5,5.6126349107472474e-5,1.6403123154648645e-5,7.509863612971669e-6,6.7193516537114935e-6,4.881411348431585e-5,6.521723663896449e-6,0.0054,0.0158,0.0062,0.0084,0.0084,0.013,0.0354,0.0106,0.0032,0.0044,0.0304,0.0036
ACC,35x,DNA1,1.1857651268057226e-5,3.794448405778312e-5,7.114590760834336e-6,1.501969160620582e-5,1.7391221859817264e-5,2.055326219796586e-5,6.324080676297187e-5,1.6600711775280117e-5,3.952550422685742e-6,3.952550422685742e-6,5.05926454103775e-5,9.48612101444578e-6,0.0024,0.007,0.0016,0.0024,0.002,0.0036,0.0132,0.0032,6e-4,8e-4,0.0092,0.002
ACC,35x,DNA2,3.083008826891426e-5,7.193687262746661e-5,1.3438756424911344e-5,3.478266368800583e-5,5.6917086034918634e-5,4.4268844693825605e-5,9.486181005819772e-5,4.110678435855235e-5,1.818184692782123e-5,1.5019786592547973e-5,5.849811620255526e-5,1.976287709545786e-5,0.0028,0.0096,0.0022,0.0044,0.0056,0.004,0.0124,0.0064,0.0026,0.0026,0.0082,0.0026
ACC,35x,DNA3,1.264819134816281e-5,3.082996641114685e-5,9.486143511122108e-6,1.9762798981504392e-5,1.9762798981504392e-5,1.5810239185203513e-5,8.616580355935915e-5,3.24109903296672e-5,6.324095674081405e-6,5.53358371482123e-6,5.1383277351911415e-5,8.695631551861933e-6,0.0022,0.006,0.0024,0.0038,0.0036,0.002,0.013,0.0062,6e-4,0.0012,0.0084,0.001
ACC,35x,DNA4,1.9762892718322654e-5,5.770764673750214e-5,1.1857735630993592e-5,2.3715471261987183e-5,4.7430942523974366e-5,3.636372260171368e-5,8.616621225188676e-5,3.399217547551496e-5,7.90515708732906e-6,1.422928275719231e-5,4.268784827157693e-5,9.486188504794873e-6,0.0018,0.0086,0.002,0.002,0.004,0.0042,0.0122,0.0046,0.0012,0.0012,0.0088,0.0016
PHU,25x,DNA1,1.5019739099226721e-5,1.7391276851736204e-5,2.371537752509482e-6,1.6600764267566375e-5,2.0553327188415512e-5,2.1343839772585338e-5,1.9762814604245686e-5,1.6600764267566375e-5,9.486151010037928e-6,7.905125841698274e-6,1.4229226515056893e-5,5.533588089188792e-6,0.0012,8e-4,6e-4,8e-4,8e-4,0.001,0.0012,8e-4,8e-4,0.001,0.0014,8e-4
PHU,25x,DNA2,1.660077739068981e-5,2.766796231781635e-5,7.905132090804672e-6,1.7391290599770278e-05,2.766796231781635e-5,2.6086935899655416e-5,2.3715396272414014e-5,1.5810264181609344e-5,1.106718492712654e-5,7.905132090804672e-6,2.0553343436092144e-5,8.695645299885139e-6,0.001,0.0014,8e-4,0.001,0.0016,0.0012,0.0014,0.0012,0.001,8e-4,0.0016,0.001
PHU,25x,DNA3,7.905138339920948e-7,7.905138339920948e-7,0,0,7.905138339920948e-7,0,1.5810276679841897e-6,2.3715415019762844e-6,0,0,7.905138339920948e-7,7.905138339920948e-7,2e-4,2e-4,0,0,2e-4,0,4e-4,4e-4,0,0,2e-4,2e-4
PHU,25x,DNA4,1.7391276851736204e-5,1.8972302020075857e-5,1.0276663594207756e-5,1.7391276851736204e-5,1.9762814604245686e-5,2.3715377525094823e-5,2.2134352356755168e-5,1.818178943590603e-5,5.533588089188792e-6,1.0276663594207756e-5,2.1343839772585338e-5,3.1620503366793094e-6,0.0012,0.0012,0.0012,0.0012,0.001,0.001,0.0012,0.0012,0.001,0.001,0.001,8e-4
PHU,30x,DNA1,6.165998156524654e-5,4.90117802185293e-5,2.3715377525094823e-5,4.90117802185293e-5,5.059280538686895e-5,5.691690606022757e-5,6.0078956396906884e-5,4.5059217297680165e-5,2.450589010926465e-5,1.2648201346717238e-5,6.0078956396906884e-5,2.450589010926465e-5,0.0032,0.0046,0.0034,0.0032,0.0038,0.0044,0.0052,0.004,0.0026,0.0018,0.0044,0.003
PHU,30x,DNA2,4.3478157759309664e-5,4.980225343339107e-5,1.818177506298404e-5,3.8735086003748605e-5,4.584969363709019e-5,4.584969363709019e-5,4.584969363709019e-5,5.2173789311171595e-5,2.7667918574106147e-5,1.5810239185203513e-5,4.031610992226896e-5,2.2924846818545095e-5,0.0022,0.0054,0.002,0.0026,0.0036,0.003,0.0034,0.0066,0.0024,0.0022,0.003,0.0022
