taq,cycles,sample_name,mean_error,sd_error,chimera_prevalence,seq_error_prevalence
ACC,25x,DNA1,7.1148e-5,9.16674167386814e-4,0,0.006
ACC,25x,DNA2,9.4862e-5,0.0012967711972557319,0,0.006
ACC,25x,DNA3,1.1058e-4,0.0011675234479886075,0.002,0.01
ACC,25x,DNA4,3.71542e-4,0.007283828633855326,0.002,0.006
ACC,30x,DNA1,0.004940714,0.02506561376121992,0.048,0.056
ACC,30x,DNA2,0.0011225306,0.013560755412917881,0.004,0.012
ACC,30x,DNA4,0.0030117633200000002,0.022706882563904303,0.008,0.036
ACC,30x,DNA5,8.4578672e-4,0.010728051346535374,0.002,0.02
ACC,30x,NA,2.3711682e-4,0.004670112449982938,0.004,0.058
ACC,35x,DNA1,2.7668042e-4,0.0017918317067705885,0.014,0.026
ACC,35x,DNA2,3.7944656e-4,0.002656430225428122,0.02,0.028
ACC,35x,DNA3,6.245048e-4,0.007830542147418783,0.022,0.024
ACC,35x,DNA4,2.6087042e-4,0.0017589622135154507,0.018,0.024
ACC,35x,NA,0.00867195428,0.036516987893439795,0.05,0.066
K,25x,DNA1,0.010268438,0.041778384122389316,0.048,0.062
K,25x,DNA2,0.015835998,0.05182999455231094,0.07,0.098
K,25x,DNA3,0.0083887,0.03943669499512195,0.032,0.046
K,25x,DNA4,0.008433128,0.039696383900920174,0.038,0.046
K,30x,DNA1,0.012741556,0.04842481538915571,0.056,0.07
K,30x,DNA10,0.001897232,0.019323729808958603,0.014,0.01
K,30x,DNA2,0.0099620668,0.04412490897188403,0.034,0.054
K,30x,DNA3,0.01963085634,0.05587754586007246,0.084,0.128
K,30x,DNA4,0.0102396354,0.04352275890205652,0.048,0.056
K,30x,DNA5,0.0101359814,0.04303077426138766,0.048,0.056
K,30x,DNA6,0.0045913548,0.029429437111488814,0.02,0.03
K,30x,DNA7,0.0019744808,0.01910092051259332,0.004,0.018
K,30x,DNA8,0.0033754939999999997,0.024887998161180133,0.018,0.02
K,30x,DNA9,0.0023003922800000002,0.020648073437419524,0.01,0.018
K,35x,DNA1,0.01355334818,0.04790202121094964,0.066,0.084
K,35x,DNA3,0.00623790544,0.033277299788091165,0.032,0.042
