Group,numOTUs,cycles,taq,sample_type,sample_name,scaled_numOTU
20x_ACC_PMM_FS_DA10040,100,20x,ACC,FS,DA10040,0.5619514869490164
20x_K_PMM_FS_DA10001,89,20x,K,FS,DA10001,0.5940885257860046
20x_K_PMM_FS_DA10040,95,20x,K,FS,DA10040,-0.3746343246326776
20x_PHU_PMM_FS_DA10001,88,20x,PHU,FS,DA10001,0.2970442628930023
20x_PHU_PMM_FS_DA10016,80,20x,PHU,FS,DA10016,0.3779644730092272
20x_PHU_PMM_FS_DA10029,73,20x,PHU,FS,DA10029,-0.11060025272186581
20x_PHU_PMM_FS_DA10040,98,20x,PHU,FS,DA10040,0.1873171623163388
20x_PL_PMM_FS_DA10001,89,20x,PL,FS,DA10001,0.5940885257860046
20x_PL_PMM_FS_DA10016,72,20x,PL,FS,DA10016,-1.1338934190276817
20x_PL_PMM_FS_DA10029,87,20x,PL,FS,DA10029,1.0507024008577293
20x_PL_PMM_FS_DA10040,103,20x,PL,FS,DA10040,1.1239029738980328
20x_Q5_PMM_FS_DA10001,82,20x,Q5,FS,DA10001,-1.4852213144650113
20x_Q5_PMM_FS_DA10016,82,20x,Q5,FS,DA10016,0.7559289460184544
20x_Q5_PMM_FS_DA10029,63,20x,Q5,FS,DA10029,-0.9401021481358623
20x_Q5_PMM_FS_DA10040,89,20x,Q5,FS,DA10040,-1.4985372985307104
25x_ACC_PMM_FS_DA10001,92,25x,ACC,FS,DA10001,-0.38529677944076224
25x_ACC_PMM_FS_DA10016,77,25x,ACC,FS,DA10016,-0.5348763550875913
25x_ACC_PMM_FS_DA10029,76,25x,ACC,FS,DA10029,-1.3038404810405293
25x_ACC_PMM_FS_DA10040,109,25x,ACC,FS,DA10040,1.5272622959013733
25x_K_PMM_FS_DA10001,90,25x,K,FS,DA10001,-1.0274580785086977
25x_K_PMM_FS_DA10016,85,25x,K,FS,DA10016,0.6537377673292802
25x_K_PMM_FS_DA10029,85,25x,K,FS,DA10029,0.4218307438660543
25x_K_PMM_FS_DA10040,103,25x,K,FS,DA10040,-0.5553681076004967
25x_PHU_PMM_FS_DA10001,91,25x,PHU,FS,DA10001,-0.70637742897473
25x_PHU_PMM_FS_DA10016,71,25x,PHU,FS,DA10016,-1.4263369469002452
25x_PHU_PMM_FS_DA10029,79,25x,PHU,FS,DA10029,-0.7286167394050014
25x_PHU_PMM_FS_DA10040,102,25x,PHU,FS,DA10040,-0.9024731748508084
25x_PL_PMM_FS_DA10001,97,25x,PL,FS,DA10001,1.2201064682290768
25x_PL_PMM_FS_DA10016,82,25x,PL,FS,DA10016,0.2080074714229534
25x_PL_PMM_FS_DA10029,89,25x,PL,FS,DA10029,1.1887957327134246
25x_PL_PMM_FS_DA10040,103,25x,PL,FS,DA10040,-0.5553681076004967
25x_Q5_PMM_FS_DA10001,96,25x,Q5,FS,DA10001,0.8990258186951089
25x_Q5_PMM_FS_DA10016,88,25x,Q5,FS,DA10016,1.099468063235607
25x_Q5_PMM_FS_DA10029,85,25x,Q5,FS,DA10029,0.4218307438660543
25x_Q5_PMM_FS_DA10040,106,25x,Q5,FS,DA10040,0.4859470941504383
30x_ACC_PMM_FS_DA10001,97,30x,ACC,FS,DA10001,-0.9847319278346618
30x_ACC_PMM_FS_DA10016,91,30x,ACC,FS,DA10016,0.23570226039551587
30x_ACC_PMM_FS_DA10029,85,30x,ACC,FS,DA10029,-0.6185895741317419
30x_ACC_PMM_FS_DA10040,112,30x,ACC,FS,DA10040,-1.0790634963148182
30x_PHU_PMM_FS_DA10001,112,30x,PHU,FS,DA10001,0.8616404368553291
30x_PHU_PMM_FS_DA10016,94,30x,PHU,FS,DA10016,0.9428090415820635
30x_PHU_PMM_FS_DA10029,84,30x,PHU,FS,DA10029,-0.8660254037844386
30x_PHU_PMM_FS_DA10040,129,30x,PHU,FS,DA10040,1.2879144956015574
30x_PL_PMM_FS_DA10001,112,30x,PL,FS,DA10001,0.8616404368553291
30x_PL_PMM_FS_DA10016,91,30x,PL,FS,DA10016,0.23570226039551587
30x_PL_PMM_FS_DA10029,93,30x,PL,FS,DA10029,1.360897063089832
30x_PL_PMM_FS_DA10040,117,30x,PL,FS,DA10040,-0.3828934986923549
30x_Q5_PMM_FS_DA10001,99,30x,Q5,FS,DA10001,-0.7385489458759964
30x_Q5_PMM_FS_DA10016,84,30x,Q5,FS,DA10016,-1.4142135623730951
30x_Q5_PMM_FS_DA10029,88,30x,Q5,FS,DA10029,0.12371791482634838
30x_Q5_PMM_FS_DA10040,121,30x,Q5,FS,DA10040,0.17404249940561586
35x_ACC_PMM_FS_DA10001,92,35x,ACC,FS,DA10001,-0.9155096366160448
35x_ACC_PMM_FS_DA10016,84,35x,ACC,FS,DA10016,-0.9586622098676876
35x_ACC_PMM_FS_DA10029,86,35x,ACC,FS,DA10029,-0.21613729078331892
35x_ACC_PMM_FS_DA10040,106,35x,ACC,FS,DA10040,-1.3612651058721192
35x_K_PMM_FS_DA10001,94,35x,K,FS,DA10001,-0.8149041820428531
35x_K_PMM_FS_DA10016,83,35x,K,FS,DA10016,-1.081567621389186
35x_K_PMM_FS_DA10029,78,35x,K,FS,DA10029,-1.2968237446999173
35x_K_PMM_FS_DA10040,116,35x,K,FS,DA10040,-0.6873714891037435
35x_PHU_PMM_FS_DA10001,108,35x,PHU,FS,DA10001,-0.11066600003051104
35x_PHU_PMM_FS_DA10016,94,35x,PHU,FS,DA10016,0.27039190534729696
35x_PHU_PMM_FS_DA10029,84,35x,PHU,FS,DA10029,-0.4863089042624685
35x_PHU_PMM_FS_DA10040,136,35x,PHU,FS,DA10040,0.6604157444330081
35x_PL_PMM_FS_DA10001,141,35x,PL,FS,DA10001,1.5493240004271522
35x_PL_PMM_FS_DA10016,102,35x,PL,FS,DA10016,1.2536351975192845
35x_PL_PMM_FS_DA10029,94,35x,PL,FS,DA10029,0.8645491631332795
35x_PL_PMM_FS_DA10040,131,35x,PL,FS,DA10040,0.3234689360488202
35x_Q5_PMM_FS_DA10001,116,35x,Q5,FS,DA10001,0.29175581826225583
35x_Q5_PMM_FS_DA10016,96,35x,Q5,FS,DA10016,0.5162027283902938
35x_Q5_PMM_FS_DA10029,96,35x,Q5,FS,DA10029,1.134720776612429
35x_Q5_PMM_FS_DA10040,142,35x,Q5,FS,DA10040,1.0647519144940336
