diff,lwr,upr,p adj,comparison,cycle,sub_sample_level
14.000000000000007,7.50385868187846,20.496141318121555,0.006345893826218751,Q5-PL,15x,100
-7.7500000000000036,-12.563455102680269,-2.9365448973197372,0.003839098757039805,PL-PHU,20x,500
-4.0000000000000036,-8.813455102680269,0.8134551026802628,0.1038052380679676,Q5-PHU,20x,500
3.75,-1.0634551026802663,8.563455102680265,0.12933730091191542,Q5-PL,20x,500
23.25000000000002,17.323651551029478,29.176348448970565,3.3898075790794735e-8,K-ACC,25x,500
-0.9999999999999893,-6.926348448970534,4.926348448970555,0.9838234387469164,PHU-ACC,25x,500
-0.24999999999998934,-6.176348448970534,5.676348448970555,0.9999268067644935,PL-ACC,25x,500
1.0658141036401503e-14,-5.926348448970534,5.926348448970555,1,Q5-ACC,25x,500
-24.25000000000001,-30.176348448970554,-18.323651551029467,1.9079969049151657e-8,PHU-K,25x,500
-23.50000000000001,-29.426348448970554,-17.573651551029467,2.9306266413620108e-8,PL-K,25x,500
-23.25000000000001,-29.176348448970554,-17.323651551029467,3.3898075790794735e-8,Q5-K,25x,500
0.75,-5.176348448970544,6.676348448970544,0.994522425766929,PL-PHU,25x,500
1,-4.926348448970544,6.926348448970544,0.9838234387469158,Q5-PHU,25x,500
0.25,-5.676348448970544,6.176348448970544,0.9999268067644935,Q5-PL,25x,500
14.324999999999996,4.851964571957891,23.7980354280421,9.456214013606745e-4,K-ACC,30x,500
0.625,-11.60463615027997,12.85463615027997,0.9998918914976049,PHU-ACC,30x,500
8.26136363636364,-1.0183241963503455,17.541051469077626,0.10101555913530891,PL-ACC,30x,500
1.025000000000004,-8.4480354280421,10.498035428042108,0.9979090780140807,Q5-ACC,30x,500
-13.699999999999996,-25.51495099483499,-1.8850490051650013,0.016090920334868697,PHU-K,30x,500
-6.0636363636363555,-14.789555966448296,2.6622832391755846,0.2904535706660234,PL-K,30x,500
-13.299999999999992,-22.2312634527853,-4.368736547214684,0.00114927080227345,Q5-K,30x,500
7.63636363636364,-4.0241369130138,19.29686418574108,0.34780827144822923,PL-PHU,30x,500
0.4000000000000039,-11.41495099483499,12.214950994834998,0.9999790495803319,Q5-PHU,30x,500
-7.236363636363636,-15.962283239175576,1.4895559664483038,0.1446037204175027,Q5-PL,30x,500
-13.500000000000004,-20.358114339212428,-6.6418856607875805,0.0012677635334403803,PL-PHU,20x,1000
-6.916666666666664,-14.32427678541141,0.4909434520780813,0.06606682453472246,Q5-PHU,20x,1000
6.583333333333339,-0.8242767854114064,13.990943452078085,0.07982338532436761,Q5-PL,20x,1000
36.500000000000014,28.404541231219177,44.59545876878085,1.0535880168305312e-8,K-ACC,25x,1000
-0.9999999999999911,-8.494938445017244,6.494938445017261,0.9930163663870222,PHU-ACC,25x,1000
1.0000000000000089,-6.494938445017243,8.494938445017262,0.9930163663870217,PL-ACC,25x,1000
-1.9999999999999893,-9.49493844501724,5.4949384450172625,0.916355270883124,Q5-ACC,25x,1000
-37.50000000000001,-45.595458768780844,-29.40454123121917,7.338746388363404e-9,PHU-K,25x,1000
-35.50000000000001,-43.595458768780844,-27.40454123121917,1.5231128913661962e-8,PL-K,25x,1000
-38.50000000000001,-46.595458768780844,-30.40454123121917,5.148599435678136e-9,Q5-K,25x,1000
2,-5.494938445017252,9.494938445017251,0.9163552708831225,PL-PHU,25x,1000
-0.9999999999999982,-8.494938445017251,6.494938445017254,0.993016366387022,Q5-PHU,25x,1000
-2.9999999999999982,-10.494938445017251,4.494938445017254,0.7254142814192415,Q5-PL,25x,1000
22.02777777777777,9.311063309817058,34.744492245738485,1.7995253178604287e-4,K-ACC,30x,1000
3.249999999999986,-11.713717358673716,18.213717358673687,0.9694970947052661,PHU-ACC,30x,1000
15.549999999999997,3.030455837643652,28.069544162356344,0.009004138767719438,PL-ACC,30x,1000
6.549999999999997,-5.969544162356348,19.069544162356344,0.5626966991065303,Q5-ACC,30x,1000
-18.777777777777786,-31.4944922457385,-6.061063309817072,0.0014502568917091896,PHU-K,30x,1000
-6.477777777777774,-16.20099615970048,3.24544060414493,0.3252377808024317,PL-K,30x,1000
-15.477777777777774,-25.20099615970048,-5.75455939585507,5.707679025644952e-4,Q5-K,30x,1000
12.300000000000011,-0.21954416235633367,24.819544162356358,0.05607985105341862,PL-PHU,30x,1000
3.3000000000000114,-9.219544162356334,15.819544162356356,0.9396706339406539,Q5-PHU,30x,1000
-9,-18.463885823281526,0.46388582328152594,0.06864433846602058,Q5-PL,30x,1000
-0.24999999999999645,-6.699250085683766,6.199250085683773,0.9994226804886523,PHU-ACC,25x,5000
9.500000000000007,3.0507499143162375,15.949250085683776,0.004342340481196971,PL-ACC,25x,5000
0.5000000000000036,-5.949250085683766,6.949250085683773,0.9954661808861649,Q5-ACC,25x,5000
9.750000000000004,3.300749914316234,16.199250085683772,0.0035698533855533787,PL-PHU,25x,5000
0.75,-5.69925008568377,7.19925008568377,0.9851591574920278,Q5-PHU,25x,5000
-9.000000000000004,-15.449250085683772,-2.550749914316234,0.00644772420890205,Q5-PL,25x,5000
