Group,numOTUs,cycles,taq,sample_type,sample_name,scaled_numOTU
20x_ACC_PMM_FS_DA10040,159,20x,ACC,FS,DA10040,-0.6827364295671252
20x_K_PMM_FS_DA10040,171,20x,K,FS,DA10040,1.7269215571403715
20x_PHU_PMM_FS_DA10001,128,20x,PHU,FS,DA10001,-0.6575959492214292
20x_PHU_PMM_FS_DA10040,161,20x,PHU,FS,DA10040,-0.28112676511587575
20x_PL_PMM_FS_DA10001,139,20x,PL,FS,DA10001,1.150792911137501
20x_PL_PMM_FS_DA10016,119,20x,PL,FS,DA10016,NaN
20x_PL_PMM_FS_DA10040,162,20x,PL,FS,DA10040,-0.08032193289025104
20x_Q5_PMM_FS_DA10001,129,20x,Q5,FS,DA10001,-0.4931969619160719
20x_Q5_PMM_FS_DA10016,119,20x,Q5,FS,DA10016,NaN
20x_Q5_PMM_FS_DA10040,159,20x,Q5,FS,DA10040,-0.6827364295671252
25x_ACC_PMM_FS_DA10001,131,25x,ACC,FS,DA10001,-1.656472891122698
25x_ACC_PMM_FS_DA10016,130,25x,ACC,FS,DA10016,-0.8555277382080452
25x_ACC_PMM_FS_DA10040,187,25x,ACC,FS,DA10040,0.2390457218668821
25x_K_PMM_FS_DA10001,151,25x,K,FS,DA10001,0.5521576303742327
25x_K_PMM_FS_DA10040,189,25x,K,FS,DA10040,0.8366600265340789
25x_PHU_PMM_FS_DA10001,144,25x,PHU,FS,DA10001,-0.22086305214969307
25x_PHU_PMM_FS_DA10016,131,25x,PHU,FS,DA10016,-0.4752931878933584
25x_PHU_PMM_FS_DA10029,126,25x,PHU,FS,DA10029,-1
25x_PHU_PMM_FS_DA10040,185,25x,PHU,FS,DA10040,-0.3585685828003147
25x_PL_PMM_FS_DA10001,151,25x,PL,FS,DA10001,0.5521576303742327
25x_PL_PMM_FS_DA10016,132,25x,PL,FS,DA10016,-0.09505863757867168
25x_PL_PMM_FS_DA10029,130,25x,PL,FS,DA10029,0
25x_PL_PMM_FS_DA10040,181,25x,PL,FS,DA10040,-1.5537971921347082
25x_Q5_PMM_FS_DA10001,153,25x,Q5,FS,DA10001,0.7730206825239258
25x_Q5_PMM_FS_DA10016,136,25x,Q5,FS,DA10016,1.4258795636800752
25x_Q5_PMM_FS_DA10029,134,25x,Q5,FS,DA10029,1
25x_Q5_PMM_FS_DA10040,189,25x,Q5,FS,DA10040,0.8366600265340789
30x_ACC_PMM_FS_DA10001,176,30x,ACC,FS,DA10001,-0.6869039877509919
30x_ACC_PMM_FS_DA10016,148,30x,ACC,FS,DA10016,-1.0093300716484683
30x_ACC_PMM_FS_DA10029,120,30x,ACC,FS,DA10029,-1.3640199627262046
30x_ACC_PMM_FS_DA10040,220,30x,ACC,FS,DA10040,-0.48146921870705156
30x_PHU_PMM_FS_DA10001,228,30x,PHU,FS,DA10001,1.4778843372824373
30x_PHU_PMM_FS_DA10016,180,30x,PHU,FS,DA10016,1.3396562769152398
30x_PHU_PMM_FS_DA10029,163,30x,PHU,FS,DA10029,0.8918592063979031
30x_PHU_PMM_FS_DA10040,273,30x,PHU,FS,DA10040,1.3743757697637655
30x_PL_PMM_FS_DA10001,180,30x,PL,FS,DA10001,-0.5203818089022666
30x_PL_PMM_FS_DA10016,163,30x,PL,FS,DA10016,0.09175727924076985
30x_PL_PMM_FS_DA10029,157,30x,PL,FS,DA10029,0.5770853688457019
30x_PL_PMM_FS_DA10040,235,30x,PL,FS,DA10040,0.04376992897336832
30x_Q5_PMM_FS_DA10001,186,30x,Q5,FS,DA10001,-0.27059854062917865
30x_Q5_PMM_FS_DA10016,156,30x,Q5,FS,DA10016,-0.4220834845075413
30x_Q5_PMM_FS_DA10029,144,30x,Q5,FS,DA10029,-0.10492461251740036
30x_Q5_PMM_FS_DA10040,207,30x,Q5,FS,DA10040,-0.9366764800300822
35x_ACC_PMM_FS_DA10001,175,35x,ACC,FS,DA10001,-0.7167957507178334
35x_ACC_PMM_FS_DA10016,160,35x,ACC,FS,DA10016,-0.8572151502191164
35x_ACC_PMM_FS_DA10029,139,35x,ACC,FS,DA10029,-0.9556258335970672
35x_ACC_PMM_FS_DA10040,207,35x,ACC,FS,DA10040,-0.6985399882492384
35x_K_PMM_FS_DA10001,156,35x,K,FS,DA10001,-1.01031125208936
35x_K_PMM_FS_DA10029,136,35x,K,FS,DA10029,-1.0580143157681816
35x_K_PMM_FS_DA10040,183,35x,K,FS,DA10040,-1.0583030723260993
35x_PHU_PMM_FS_DA10001,204,35x,PHU,FS,DA10001,-0.26879840651918757
35x_PHU_PMM_FS_DA10016,172,35x,PHU,FS,DA10016,-0.5455005501394377
35x_PHU_PMM_FS_DA10029,174,35x,PHU,FS,DA10029,0.2389064583992668
35x_PHU_PMM_FS_DA10040,236,35x,PHU,FS,DA10040,-0.26382626165636464
35x_PL_PMM_FS_DA10001,315,35x,PL,FS,DA10001,1.4459500488618362
35x_PL_PMM_FS_DA10016,247,35x,PL,FS,DA10016,1.4027157003585542
35x_PL_PMM_FS_DA10029,205,35x,PL,FS,DA10029,1.2969207741674484
35x_PL_PMM_FS_DA10040,346,35x,PL,FS,DA10040,1.385087873695915
35x_Q5_PMM_FS_DA10001,257,35x,Q5,FS,DA10001,0.5499553604645444
35x_Q5_PMM_FS_DA10016,193,35x,Q5,FS,DA10016,0
35x_Q5_PMM_FS_DA10029,181,35x,Q5,FS,DA10029,0.4778129167985336
35x_Q5_PMM_FS_DA10040,296,35x,Q5,FS,DA10040,0.6355814485357878
