Group,numOTUs,cycles,taq,sample_type,sample_name
20x_PHU_Mock_DNA1,27,20x,PHU,Mock,DNA1
20x_PHU_Mock_DNA2,28,20x,PHU,Mock,DNA2
20x_PHU_Mock_DNA3,19,20x,PHU,Mock,DNA3
20x_PHU_Mock_DNA4,19,20x,PHU,Mock,DNA4
20x_PL_Mock_DNA1,10,20x,PL,Mock,DNA1
20x_PL_Mock_DNA2,8,20x,PL,Mock,DNA2
20x_PL_Mock_DNA3,13,20x,PL,Mock,DNA3
20x_PL_Mock_DNA4,8,20x,PL,Mock,DNA4
20x_Q5_Mock_DNA2,15,20x,Q5,Mock,DNA2
20x_Q5_Mock_DNA3,17,20x,Q5,Mock,DNA3
20x_Q5_Mock_DNA4,17,20x,Q5,Mock,DNA4
25x_ACC_Mock_DNA1,14,25x,ACC,Mock,DNA1
25x_ACC_Mock_DNA2,12,25x,ACC,Mock,DNA2
25x_ACC_Mock_DNA3,11,25x,ACC,Mock,DNA3
25x_ACC_Mock_DNA4,9,25x,ACC,Mock,DNA4
25x_K_Mock_DNA2,57,25x,K,Mock,DNA2
25x_K_Mock_DNA3,45,25x,K,Mock,DNA3
25x_K_Mock_DNA4,42,25x,K,Mock,DNA4
25x_PHU_Mock_DNA1,13,25x,PHU,Mock,DNA1
25x_PHU_Mock_DNA2,11,25x,PHU,Mock,DNA2
25x_PHU_Mock_DNA3,9,25x,PHU,Mock,DNA3
25x_PHU_Mock_DNA4,9,25x,PHU,Mock,DNA4
25x_PL_Mock_DNA1,12,25x,PL,Mock,DNA1
25x_PL_Mock_DNA2,11,25x,PL,Mock,DNA2
25x_PL_Mock_DNA3,12,25x,PL,Mock,DNA3
25x_PL_Mock_DNA4,15,25x,PL,Mock,DNA4
25x_Q5_Mock_DNA1,9,25x,Q5,Mock,DNA1
25x_Q5_Mock_DNA2,11,25x,Q5,Mock,DNA2
25x_Q5_Mock_DNA3,9,25x,Q5,Mock,DNA3
25x_Q5_Mock_DNA4,9,25x,Q5,Mock,DNA4
30x_K_Mock_DNA10,15,30x,K,Mock,DNA10
30x_K_Mock_DNA1,40,30x,K,Mock,DNA1
30x_K_Mock_DNA2,46,30x,K,Mock,DNA2
30x_K_Mock_DNA4,48,30x,K,Mock,DNA4
30x_K_Mock_DNA5,46,30x,K,Mock,DNA5
30x_K_Mock_DNA6,41,30x,K,Mock,DNA6
30x_K_Mock_DNA7,17,30x,K,Mock,DNA7
30x_K_Mock_DNA8,24,30x,K,Mock,DNA8
30x_K_Mock_DNA9,18,30x,K,Mock,DNA9
30x_PHU_Mock_DNA1,13,30x,PHU,Mock,DNA1
30x_PHU_Mock_DNA2,13,30x,PHU,Mock,DNA2
30x_PHU_Mock_DNA3,13,30x,PHU,Mock,DNA3
30x_PHU_Mock_DNA4,17,30x,PHU,Mock,DNA4
30x_PL_Mock_DNA10,30,30x,PL,Mock,DNA10
30x_PL_Mock_DNA1,30,30x,PL,Mock,DNA1
30x_PL_Mock_DNA2,25,30x,PL,Mock,DNA2
30x_PL_Mock_DNA3,26,30x,PL,Mock,DNA3
30x_PL_Mock_DNA4,25,30x,PL,Mock,DNA4
30x_PL_Mock_DNA5,24,30x,PL,Mock,DNA5
30x_PL_Mock_DNA6,21,30x,PL,Mock,DNA6
30x_PL_Mock_DNA7,25,30x,PL,Mock,DNA7
30x_PL_Mock_DNA8,30,30x,PL,Mock,DNA8
