Group,numOTUs,cycles,taq,sample_type,sample_name,scaled_numOTU
20x_PHU_PMM_FS_DA10001,172,20x,PHU,FS,DA10001,-0.7071067811865476
20x_PHU_PMM_FS_DA10040,217,20x,PHU,FS,DA10040,0.7258661863113006
20x_PL_PMM_FS_DA10001,185,20x,PL,FS,DA10001,0.7071067811865476
20x_PL_PMM_FS_DA10040,211,20x,PL,FS,DA10040,-1.1406468642034648
20x_Q5_PMM_FS_DA10040,216,20x,Q5,FS,DA10040,0.41478067789217304
25x_ACC_PMM_FS_DA10001,161,25x,ACC,FS,DA10001,-1.4125589802416876
25x_ACC_PMM_FS_DA10016,173,25x,ACC,FS,DA10016,-0.4433103474667865
25x_ACC_PMM_FS_DA10040,242,25x,ACC,FS,DA10040,-0.9615638128278104
25x_K_PMM_FS_DA10040,257,25x,K,FS,DA10040,1.2921013734873683
25x_PHU_PMM_FS_DA10001,194,25x,PHU,FS,DA10001,0.2088130666444234
25x_PHU_PMM_FS_DA10016,167,25x,PHU,FS,DA10016,-1.2032709431241349
25x_PHU_PMM_FS_DA10029,165,25x,PHU,FS,DA10029,-1.1547005383792532
25x_PHU_PMM_FS_DA10040,244,25x,PHU,FS,DA10040,-0.6610751213191199
25x_PL_PMM_FS_DA10001,209,25x,PL,FS,DA10001,0.9458003606835648
25x_PL_PMM_FS_DA10016,183,25x,PL,FS,DA10016,0.8232906452954606
25x_PL_PMM_FS_DA10029,176,25x,PL,FS,DA10029,0.5773502691896244
25x_PL_PMM_FS_DA10040,245,25x,PL,FS,DA10040,-0.5108307755647747
25x_Q5_PMM_FS_DA10001,195,25x,Q5,FS,DA10001,0.25794555291369947
25x_Q5_PMM_FS_DA10016,183,25x,Q5,FS,DA10016,0.8232906452954606
25x_Q5_PMM_FS_DA10029,176,25x,Q5,FS,DA10029,0.5773502691896244
25x_Q5_PMM_FS_DA10040,254,25x,Q5,FS,DA10040,0.8413683362243326
30x_ACC_PMM_FS_DA10001,247,30x,ACC,FS,DA10001,-0.9141076311541821
30x_ACC_PMM_FS_DA10016,205,30x,ACC,FS,DA10016,-1.068770374533384
30x_ACC_PMM_FS_DA10029,158,30x,ACC,FS,DA10029,-1.3867675724907842
30x_ACC_PMM_FS_DA10040,304,30x,ACC,FS,DA10040,-0.7763142462563728
30x_PHU_PMM_FS_DA10001,363,30x,PHU,FS,DA10001,1.3540524803727725
30x_PHU_PMM_FS_DA10016,302,30x,PHU,FS,DA10016,1.3282406388709687
30x_PHU_PMM_FS_DA10029,230,30x,PHU,FS,DA10029,0.47953645030055153
30x_PHU_PMM_FS_DA10040,418,30x,PHU,FS,DA10040,1.4088665950578618
30x_PL_PMM_FS_DA10001,300,30x,PL,FS,DA10001,0.12220690256071955
30x_PL_PMM_FS_DA10016,250,30x,PL,FS,DA10016,0.043245044056264094
30x_PL_PMM_FS_DA10029,247,30x,PL,FS,DA10029,0.9201915667929502
30x_PL_PMM_FS_DA10040,345,30x,PL,FS,DA10040,0.009584126496992256
30x_Q5_PMM_FS_DA10001,265,30x,Q5,FS,DA10001,-0.5621517517793099
30x_Q5_PMM_FS_DA10016,236,30x,Q5,FS,DA10016,-0.30271530839384864
30x_Q5_PMM_FS_DA10029,211,30x,Q5,FS,DA10029,-0.01296044460271761
30x_Q5_PMM_FS_DA10040,311,30x,Q5,FS,DA10040,-0.6421364752984812
35x_ACC_PMM_FS_DA10001,237,35x,ACC,FS,DA10001,-0.9056989027343785
35x_ACC_PMM_FS_DA10016,231,35x,ACC,FS,DA10016,-1.0541562043996557
35x_ACC_PMM_FS_DA10029,182,35x,ACC,FS,DA10029,-1.1899010363832938
35x_ACC_PMM_FS_DA10040,316,35x,ACC,FS,DA10040,-0.6599626476420133
35x_K_PMM_FS_DA10040,252,35x,K,FS,DA10040,-1.1454524114246438
35x_PHU_PMM_FS_DA10001,289,35x,PHU,FS,DA10001,-0.6028285301158082
35x_PHU_PMM_FS_DA10016,267,35x,PHU,FS,DA10016,-0.6371273762855062
35x_PHU_PMM_FS_DA10029,259,35x,PHU,FS,DA10029,-0.10881100922679088
35x_PHU_PMM_FS_DA10040,385,35x,PHU,FS,DA10040,-0.13654399606386483
35x_PL_PMM_FS_DA10001,622,35x,PL,FS,DA10001,1.3367067406915747
35x_PL_PMM_FS_DA10016,409,35x,PL,FS,DA10016,1.007819667942528
35x_PL_PMM_FS_DA10029,356,35x,PL,FS,DA10029,1.2530816223859464
35x_PL_PMM_FS_DA10040,586,35x,PL,FS,DA10040,1.388197293315959
35x_Q5_PMM_FS_DA10001,422,35x,Q5,FS,DA10001,0.17182069215861198
35x_Q5_PMM_FS_DA10016,381,35x,Q5,FS,DA10016,0.683463912742634
35x_Q5_PMM_FS_DA10029,270,35x,Q5,FS,DA10029,0.04563042322413811
35x_Q5_PMM_FS_DA10040,476,35x,Q5,FS,DA10040,0.5537617618145628
