Group,numOTUs,cycles,taq,sample_type,sample_name,scaled_numOTU
20x_PHU_PMM_FS_DA10040,228,20x,PHU,FS,DA10040,0.7071067811865476
20x_PL_PMM_FS_DA10001,196,20x,PL,FS,DA10001,NaN
20x_Q5_PMM_FS_DA10040,221,20x,Q5,FS,DA10040,-0.7071067811865476
25x_ACC_PMM_FS_DA10001,171,25x,ACC,FS,DA10001,-1.4591938447355213
25x_ACC_PMM_FS_DA10016,173,25x,ACC,FS,DA10016,-1.3507515193954287
25x_ACC_PMM_FS_DA10040,255,25x,ACC,FS,DA10040,-1.4094607774363264
25x_K_PMM_FS_DA10040,274,25x,K,FS,DA10040,0.424769001419164
25x_PHU_PMM_FS_DA10001,213,25x,PHU,FS,DA10001,0.517778461035185
25x_PHU_PMM_FS_DA10016,191,25x,PHU,FS,DA10016,-0.16472579504822302
25x_PHU_PMM_FS_DA10029,175,25x,PHU,FS,DA10029,-1.1406468642034693
25x_PHU_PMM_FS_DA10040,264,25x,PHU,FS,DA10040,-0.5406150927153046
25x_PL_PMM_FS_DA10001,218,25x,PL,FS,DA10001,0.753132306960269
25x_PL_PMM_FS_DA10016,205,25x,PL,FS,DA10016,0.7577386572218259
25x_PL_PMM_FS_DA10029,187,25x,PL,FS,DA10029,0.7258661863112963
25x_PL_PMM_FS_DA10040,273,25x,PL,FS,DA10040,0.32823059200571714
25x_Q5_PMM_FS_DA10001,206,25x,Q5,FS,DA10001,0.18828307674006725
25x_Q5_PMM_FS_DA10016,205,25x,Q5,FS,DA10016,0.7577386572218259
25x_Q5_PMM_FS_DA10029,185,25x,Q5,FS,DA10029,0.41478067789216866
25x_Q5_PMM_FS_DA10040,282,25x,Q5,FS,DA10040,1.1970762767267389
30x_ACC_PMM_FS_DA10001,274,30x,ACC,FS,DA10001,-0.9698120085386557
30x_ACC_PMM_FS_DA10016,221,30x,ACC,FS,DA10016,-1.070106533665639
30x_ACC_PMM_FS_DA10029,168,30x,ACC,FS,DA10029,-1.3067529849593114
30x_ACC_PMM_FS_DA10040,331,30x,ACC,FS,DA10040,-0.861535051225127
30x_PHU_PMM_FS_DA10001,416,30x,PHU,FS,DA10001,1.3064409701801725
30x_PHU_PMM_FS_DA10016,331,30x,PHU,FS,DA10016,1.1198789305803198
30x_PHU_PMM_FS_DA10029,240,30x,PHU,FS,DA10029,0.34388236446297665
30x_PHU_PMM_FS_DA10040,476,30x,PHU,FS,DA10040,1.2380041492394682
30x_PL_PMM_FS_DA10001,348,30x,PL,FS,DA10001,0.21640433248383226
30x_PL_PMM_FS_DA10016,301,30x,PL,FS,DA10016,0.5226101676041492
30x_PL_PMM_FS_DA10029,272,30x,PL,FS,DA10029,1.0774980753173269
30x_PL_PMM_FS_DA10040,417,30x,PL,FS,DA10040,0.38370888836077083
30x_Q5_PMM_FS_DA10001,300,30x,Q5,FS,DA10001,-0.5530332941253491
30x_Q5_PMM_FS_DA10016,246,30x,Q5,FS,DA10016,-0.5723825645188302
30x_Q5_PMM_FS_DA10029,220,30x,Q5,FS,DA10029,-0.11462745482099222
30x_Q5_PMM_FS_DA10040,338,30x,Q5,FS,DA10040,-0.760177986375112
35x_ACC_PMM_FS_DA10001,263,35x,ACC,FS,DA10001,-0.9071758794036484
35x_ACC_PMM_FS_DA10016,251,35x,ACC,FS,DA10016,-0.9720293312020789
35x_ACC_PMM_FS_DA10029,213,35x,ACC,FS,DA10029,-1.0962032460818585
35x_ACC_PMM_FS_DA10040,342,35x,ACC,FS,DA10040,-1.0750256367089415
35x_PHU_PMM_FS_DA10001,321,35x,PHU,FS,DA10001,-0.5985764600170701
35x_PHU_PMM_FS_DA10016,280,35x,PHU,FS,DA10016,-0.6990138289758292
35x_PHU_PMM_FS_DA10029,288,35x,PHU,FS,DA10029,-0.18270054101364308
35x_PHU_PMM_FS_DA10040,435,35x,PHU,FS,DA10040,-0.4672603831288104
35x_PL_PMM_FS_DA10001,685,35x,PL,FS,DA10001,1.338150930615939
35x_PL_PMM_FS_DA10016,474,35x,PL,FS,DA10016,1.127365737641152
35x_PL_PMM_FS_DA10029,412,35x,PL,FS,DA10029,1.3276239313658065
35x_PL_PMM_FS_DA10040,696,35x,PL,FS,DA10040,1.2384033930476863
35x_Q5_PMM_FS_DA10001,465,35x,Q5,FS,DA10001,0.1676014088047796
35x_Q5_PMM_FS_DA10016,412,35x,Q5,FS,DA10016,0.543677422536756
35x_Q5_PMM_FS_DA10029,299,35x,Q5,FS,DA10029,-0.04872014427030482
35x_Q5_PMM_FS_DA10040,553,35x,Q5,FS,DA10040,0.3038826267900655
